SMILES,TITLE,f_avg_IC50,intermediate
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)Nc3nc4ccc(cc4s3)OC,LON-WEI-4d77710c-58,,linker-isoquinoline  
Cn1cc(c2ccccc2c1=O)NC(=O)NCCc3ccc(cc3)Cl,MAT-POS-2492181e-1,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCc3ccc(cc3)Cl,MAT-POS-2492181e-4,,linker-isoquinoline  
Cn1cc(c2ccccc2c1=O)NC(=O)NCCc3ccsc3,MAT-POS-2492181e-5,,linker-isoquinoline  
CC1CCN(CC1)CCCNC(=O)Nc2cn(c(=O)c3c2cccc3)CC(C)C,MAT-POS-2492181e-6,,linker-isoquinoline  
CCCCN(CCNC(=O)Nc1cn(c(=O)c2c1cccc2)C)Cc3ccco3,MAT-POS-b5746674-34,,linker-isoquinoline  
Cn1cc(c2ccccc2c1=O)NC(=O)N3CCN(CC3)C(=O)c4ccco4,MAT-POS-b5746674-36,,linker-isoquinoline  
Cn1cc(c2ccccc2c1=O)NC(=O)N(Cc3ccco3)CC4CCCO4,MAT-POS-b5746674-37,,linker-isoquinoline  
CC(C)OCCCN(Cc1ccco1)C(=O)Nc2cn(c(=O)c3c2cccc3)C,MAT-POS-b5746674-38,,linker-isoquinoline  
CCc1ccccc1N(CC)C(=O)Nc2cn(c(=O)c3c2cccc3)C,MAT-POS-b5746674-42,,linker-isoquinoline  
CCOC(=O)N1CCC(CC1)NC(=O)Nc2cn(c(=O)c3c2cccc3)C,MAT-POS-b5746674-97,,linker-isoquinoline  
Cn1cc(c2ccccc2c1=O)NC(=O)NCCCN3CCc4ccccc4C3,MAT-POS-b5746674-98,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCCN3CCCC3=O,MAT-POS-b5746674-100,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)N3CCC(C3)c4ccccc4,MAT-POS-b5746674-101,,linker-isoquinoline  
CCCCN(CCCNC(=O)Nc1cn(c(=O)c2c1cccc2)CC(C)C)c3ccccc3,MAT-POS-b5746674-102,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)N3CCC(CC3)Cc4ccccc4,MAT-POS-b5746674-107,,linker-isoquinoline  
Cc1ccc(cc1)CN2CCC(C2)CNC(=O)Nc3cn(c(=O)c4c3cccc4)CC(C)C,MAT-POS-b5746674-108,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCN3CCOCC3,MAT-POS-b5746674-109,,linker-isoquinoline  
Cn1cc(c2ccccc2c1=O)NC(=O)Nc3ccccn3,MAT-POS-af71705c-1,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NC3=NN(CC3)c4ccccc4,MAT-POS-af71705c-2,,linker-isoquinoline  
