SMILES,TITLE,CID,SMILES,RUN,DDG (kcal/mol),dDDG (kcal/mol)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3c(nc(s3)NC(=O)OC(C)(C)C)C,EN300-1886131,EN300-1886131,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3c(nc(s3)NC(=O)OC(C)(C)C)C,RUN4609,-1.28,0.37
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccn(n3)c4cc(ccc4F)F,EN300-1084907,EN300-1084907,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccn(n3)c4cc(ccc4F)F,RUN180,-1.27,0.13
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccc(cc3F)OC(F)F,EN300-1929484,EN300-1929484,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccc(cc3F)OC(F)F,RUN1708,-1.27,0.13
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccc(c(c3)OC)OC(F)F,EN300-155655,EN300-155655,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccc(c(c3)OC)OC(F)F,RUN2011,-1.25,0.16
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nn3)[C@@H]4CCOC5(C4)CC[NH2+]CC5,EN300-843582,EN300-843582,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nn3)[C@@H]4CCOC5(C4)CC[NH2+]CC5,RUN907,-1.16,0.17
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nn3)CCC[NH3+],EN300-844309,EN300-844309,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nn3)CCC[NH3+],RUN645,-1.13,0.13
CCOC(=O)c1c2ccccc2oc1COc3cc(cc(c3)Cl)CC(=O)Nc4cnccc4C,EN300-60436,EN300-60436,CCOC(=O)c1c2ccccc2oc1COc3cc(cc(c3)Cl)CC(=O)Nc4cnccc4C,RUN4577,-1.12,0.30
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC(=C)c3ccc(o3)[C@H]4C[C@@H]4C,EN300-1938856,EN300-1938856,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC(=C)c3ccc(o3)[C@H]4C[C@@H]4C,RUN4615,-1.12,0.37
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cc(no3)c4ccc(cc4)Cl,EN300-24531,EN300-24531,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cc(no3)c4ccc(cc4)Cl,RUN3389,-1.09,0.14
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3c4ccccc4ccc3OC,EN300-1897350,EN300-1897350,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3c4ccccc4ccc3OC,RUN3624,-1.05,0.16
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccc(cc3)OCc4ccccc4F,EN300-378667,EN300-378667,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccc(cc3)OCc4ccccc4F,RUN2751,-1.05,0.15
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cc(no3)c4ccc(cc4)OC,EN300-24227,EN300-24227,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cc(no3)c4ccc(cc4)OC,RUN3755,-1.04,0.15
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC(=O)c3ccc(c(c3)N(=O)=O)C#N,EN300-2009659,EN300-2009659,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC(=O)c3ccc(c(c3)N(=O)=O)C#N,RUN4481,-1.03,0.20
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3c4ccccc4n(n3)C(=O)OC(C)(C)C,EN300-301686,EN300-301686,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3c4ccccc4n(n3)C(=O)OC(C)(C)C,RUN4523,-1.02,0.27
