product,EN-code,SMILES,parent_SMILES
CC(C)(C)OC(=O)CCNC(=O)CCCCCN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-7435278,CC(C)(C)OC(=O)CCNC(=O)CCCCCN,CC(C)(C)OC(=O)CCNC(=O)CCCCCN
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O,EN300-7443835,Cl.N[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O,N[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O
C#CCC(CC(=O)OC)N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-7439257,C#CCC(N)CC(=O)OC.Cl,C#CCC(N)CC(=O)OC
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1CC[C@@H]1c1ccc(F)cc1F,EN300-7426139,Cl.N[C@@H]1CC[C@@H]1c1ccc(F)cc1F,N[C@@H]1CC[C@@H]1c1ccc(F)cc1F
CO[C@@H]1C[C@H](CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)N(c2cc(C)ncn2)C1,EN300-7426157,CO[C@@H]1C[C@H](CN)N(c2cc(C)ncn2)C1.Cl.Cl,CO[C@@H]1C[C@H](CN)N(c2cc(C)ncn2)C1
CO[C@@H]1CN[C@H](CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1,EN300-7471420,CO[C@@H]1CN[C@H](CN)C1.Cl.Cl,CO[C@@H]1CN[C@H](CN)C1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C[C@@H]1C[C@H](O)CN1)C(=O)c1ccco1,EN300-7444820,NC[C@@H]1C[C@H](O)CN1,NC[C@@H]1C[C@H](O)CN1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1[C@@H]2CC[C@H]1N(Cc1ccccc1)C2,EN300-7356352,N[C@@H]1[C@@H]2CC[C@H]1N(Cc1ccccc1)C2,N[C@@H]1[C@@H]2CC[C@H]1N(Cc1ccccc1)C2
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1CCCC[C@@H]1Oc1ccccc1,EN300-7356179,Cl.N[C@@H]1CCCC[C@@H]1Oc1ccccc1,N[C@@H]1CCCC[C@@H]1Oc1ccccc1
CNc1cc(N2C[C@H](O)C[C@@H]2CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)ncn1,EN300-7460995,CNc1cc(N2C[C@H](O)C[C@@H]2CN)ncn1.Cl.Cl,CNc1cc(N2C[C@H](O)C[C@@H]2CN)ncn1
CO[C@H]1CC(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C[C@H]1OC,EN300-7434207,CO[C@H]1CC(N)C[C@H]1OC,CO[C@H]1CC(N)C[C@H]1OC
CCN(C)c1cc(N2C[C@H](O)C[C@@H]2CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)ncn1,EN300-7461382,CCN(C)c1cc(N2C[C@H](O)C[C@@H]2CN)ncn1.Cl.Cl,CCN(C)c1cc(N2C[C@H](O)C[C@@H]2CN)ncn1
CC1(C)CN(c2ccccc2N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1=O,EN300-7433128,CC1(C)CN(c2ccccc2N)C1=O,CC1(C)CN(c2ccccc2N)C1=O
CC[C@@H](COC(F)(F)F)N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-6762896,CC[C@H](N)COC(F)(F)F.Cl,CC[C@H](N)COC(F)(F)F
C=C1C(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C[C@H]2C[C@@H]1C2(C)C,EN300-1720902,C=C1C(N)C[C@H]2C[C@@H]1C2(C)C.Cl,C=C1C(N)C[C@H]2C[C@@H]1C2(C)C
CO[C@@H]1CC(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C[C@H]1OC,EN300-7355138,CO[C@@H]1CC(N)C[C@H]1OC,CO[C@@H]1CC(N)C[C@H]1OC
COC1CC2(CC(CN(C(=O)c3ccco3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)C2)C1,EN300-6498695,COC1CC2(CC(CN)C2)C1,COC1CC2(CC(CN)C2)C1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1nc(C(O)C2CC2)n[nH]1)C(=O)c1ccco1,EN300-6746627,Cl.NCc1nc(C(O)C2CC2)n[nH]1,NCc1nc(C(O)C2CC2)n[nH]1
COC(=O)[C@@H]1CC[C@@](F)(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1,EN300-7354939,COC(=O)[C@@H]1CC[C@@](F)(CN)C1.Cl,COC(=O)[C@@H]1CC[C@@](F)(CN)C1
O=C1NCCc2c1cncc2N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-6746638,Cl.Nc1cncc2c1CCNC2=O,Nc1cncc2c1CCNC2=O
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C[C@@H]1C[C@H](O)CCO1)C(=O)c1ccco1,EN300-1708899,NC[C@@H]1C[C@H](O)CCO1,NC[C@@H]1C[C@H](O)CCO1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1[C@H]2CC[C@@H]1C[C@H](CO)C2,EN300-7459518,Cl.NC1[C@H]2CC[C@@H]1C[C@H](CO)C2,NC1[C@H]2CC[C@@H]1C[C@H](CO)C2
Cc1cnc(C(O)(CCN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C(F)(F)F)o1,EN300-6498860,Cc1cnc(C(O)(CCN)C(F)(F)F)o1.Cl,Cc1cnc(C(O)(CCN)C(F)(F)F)o1
CC1(C)CCOC1CCN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-1726087,CC1(C)CCOC1CCN,CC1(C)CCOC1CCN
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1(c2ccc(O)nc2)CCC1,EN300-7436102,Cl.NC1(c2ccc(O)nc2)CCC1,NC1(c2ccc(O)nc2)CCC1
C=CCC(C)(C(F)F)N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-7464670,C=CCC(C)(N)C(F)F.Cl,C=CCC(C)(N)C(F)F
CCOC(=O)C12CC(CN(C(=O)c3ccco3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)(C1)OC21CCC1,EN300-1720706,CCOC(=O)C12CC(CN)(C1)OC21CCC1.Cl,CCOC(=O)C12CC(CN)(C1)OC21CCC1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@H]1C[C@@H](CO)[C@@H]2C[C@H]12,EN300-6766461,Cl.N[C@H]1C[C@@H](CO)[C@@H]2C[C@H]12,N[C@H]1C[C@@H](CO)[C@@H]2C[C@H]12
C=CCC1(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)CCS(=O)(=O)CC1,EN300-7493923,C=CCC1(N)CCS(=O)(=O)CC1.Cl,C=CCC1(N)CCS(=O)(=O)CC1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1ccncc1-c1cc[nH]n1)C(=O)c1ccco1,EN300-7460200,Cl.Cl.Cl.NCc1ccncc1-c1cc[nH]n1,NCc1ccncc1-c1cc[nH]n1
CC1(C)CC(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1OCc1ccccc1,EN300-6499037,CC1(C)CC(N)C1OCc1ccccc1,CC1(C)CC(N)C1OCc1ccccc1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1(Cc2cccc(Cl)n2)CCC1,EN300-7562805,Cl.Cl.NC1(Cc2cccc(Cl)n2)CCC1,NC1(Cc2cccc(Cl)n2)CCC1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CC[C@H]1C[C@H](F)C1)C(=O)c1ccco1,EN300-1706197,Cl.NCC[C@H]1C[C@H](F)C1,NCC[C@H]1C[C@H](F)C1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CCC(F)(F)CO)C(=O)c1ccco1,EN300-7119375,NCCC(F)(F)CO,NCCC(F)(F)CO
COC(=O)c1ccccc1[C@H]1C[C@H](N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1,EN300-6490067,COC(=O)c1ccccc1[C@H]1C[C@H](N)C1.Cl,COC(=O)c1ccccc1[C@H]1C[C@H](N)C1
C[C@@H]1CCO[C@@H]1CCN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-4070545,C[C@@H]1CCO[C@@H]1CCN,C[C@@H]1CCO[C@@H]1CCN
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1C(F)CC2CC21,EN300-7494365,Cl.NC1C(F)CC2CC21,NC1C(F)CC2CC21
COC(=O)C1(C)CC(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1,EN300-6491566,COC(=O)C1(C)CC(N)C1,COC(=O)C1(C)CC(N)C1
COC(=O)[C@@H]1CC=CC[C@@H]1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-6496602,COC(=O)[C@@H]1CC=CC[C@@H]1N.Cl,COC(=O)[C@@H]1CC=CC[C@@H]1N
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1C[C@]12CCOc1ccccc12,EN300-6748376,Cl.N[C@@H]1C[C@]12CCOc1ccccc12,N[C@@H]1C[C@]12CCOc1ccccc12
C=CCC1C(OC(C)(C)C)CC1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-6745327,C=CCC1C(N)CC1OC(C)(C)C,C=CCC1C(N)CC1OC(C)(C)C
CN1CC(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)CC12CCOCC2,EN300-6497636,CN1CC(N)CC12CCOCC2,CN1CC(N)CC12CCOCC2
C[C@@H]1C[C@]1(Cc1ccccc1)N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-6740085,C[C@@H]1C[C@@]1(N)Cc1ccccc1.Cl,C[C@@H]1C[C@@]1(N)Cc1ccccc1
COC(=O)C[C@@H](COCc1ccccc1)N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-2008049,COC(=O)C[C@H](N)COCc1ccccc1.Cl,COC(=O)C[C@H](N)COCc1ccccc1
CCOC(=O)C1(CCN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)CCC1,EN300-6738188,CCOC(=O)C1(CCN)CCC1.Cl,CCOC(=O)C1(CCN)CCC1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1C[C@H](O)C[C@H]1O,EN300-6758671,Cl.N[C@@H]1C[C@H](O)C[C@H]1O,N[C@@H]1C[C@H](O)C[C@H]1O
CC1(C)OC2(CN(C(=O)c3ccco3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)CC1C2,EN300-1698458,CC1(C)OC2(CN)CC1C2,CC1(C)OC2(CN)CC1C2
C#CC(CC1CCOCC1)N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-6494043,C#CC(N)CC1CCOCC1.Cl,C#CC(N)CC1CCOCC1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1(c2ccccc2)CC1C(F)(F)F,EN300-6736656,Cl.NC1(c2ccccc2)CC1C(F)(F)F,NC1(c2ccccc2)CC1C(F)(F)F
CN1CC[C@@H](N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)[C@@H]1c1ccc(Cl)c(F)c1,EN300-1706556,CN1CC[C@@H](N)[C@@H]1c1ccc(Cl)c(F)c1,CN1CC[C@@H](N)[C@@H]1c1ccc(Cl)c(F)c1
N#Cc1ccc([C@H]2C[C@H](N(C(=O)c3ccco3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)C2)cc1,EN300-6482538,Cl.N#Cc1ccc([C@H]2C[C@H](N)C2)cc1,N#Cc1ccc([C@H]2C[C@H](N)C2)cc1
COC(=O)c1cccc([C@H]2C[C@H](N(C(=O)c3ccco3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)C2)c1,EN300-6735776,COC(=O)c1cccc([C@H]2C[C@H](N)C2)c1.Cl,COC(=O)c1cccc([C@H]2C[C@H](N)C2)c1
CCOC(=O)c1nc(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)sc1N,EN300-6488222,CCOC(=O)c1nc(CN)sc1N.Cl.Cl,CCOC(=O)c1nc(CN)sc1N
CC(C)(C)N1CC[C@@H](N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)[C@@H]1c1ccc(Cl)c(F)c1,EN300-1706911,CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccc(Cl)c(F)c1,CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccc(Cl)c(F)c1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1Cc2cscc2C1,EN300-7352030,Cl.NC1Cc2cscc2C1,NC1Cc2cscc2C1
CC1(C)C(O)CC1CN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-1722644,CC1(C)C(O)CC1CN.Cl,CC1(C)C(O)CC1CN
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CCN1CCOC(C(F)(F)F)(C(F)(F)F)C1)C(=O)c1ccco1,EN300-6481828,NCCN1CCOC(C(F)(F)F)(C(F)(F)F)C1,NCCN1CCOC(C(F)(F)F)(C(F)(F)F)C1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1CN(Cc2ccccc2)C[C@H]1C(F)F,EN300-7068233,N[C@@H]1CN(Cc2ccccc2)C[C@H]1C(F)F,N[C@@H]1CN(Cc2ccccc2)C[C@H]1C(F)F
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C[C@H]1C[C@H](n2cccn2)C1)C(=O)c1ccco1,EN300-7456278,Cl.Cl.NC[C@H]1C[C@H](n2cccn2)C1,NC[C@H]1C[C@H](n2cccn2)C1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1CC[C@H]2CCN(Cc3ccccc3)[C@H]21,EN300-6477927,Cl.Cl.N[C@@H]1CC[C@H]2CCN(Cc3ccccc3)[C@H]21,N[C@@H]1CC[C@H]2CCN(Cc3ccccc3)[C@H]21
CC1CCC(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)Cc2ccccc21,EN300-7425354,CC1CCC(CN)Cc2ccccc21.Cl,CC1CCC(CN)Cc2ccccc21
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@H]1C[C@H](n2cncn2)C1,EN300-6735284,Cl.Cl.N[C@H]1C[C@H](n2cncn2)C1,N[C@H]1C[C@H](n2cncn2)C1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1(Cn2cccn2)CC(F)(F)C1,EN300-6490336,Cl.Cl.NC1(Cn2cccn2)CC(F)(F)C1,NC1(Cn2cccn2)CC(F)(F)C1
C#C[C@@H](N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(C)(C)C,EN300-26667006,C#C[C@@H](N)C(C)(C)C.Cl,C#C[C@@H](N)C(C)(C)C
CO[C@H]1C[C@@](CO)(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1,EN300-26667015,CO[C@H]1C[C@](N)(CO)C1.Cl,CO[C@H]1C[C@](N)(CO)C1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CC1(C(F)F)CC2(CCC2)C1)C(=O)c1ccco1,EN300-7455904,Cl.NCC1(C(F)F)CC2(CCC2)C1,NCC1(C(F)F)CC2(CCC2)C1
CS(=O)(=O)[C@H]1CC[C@@H](N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)CC1,EN300-6473207,CS(=O)(=O)[C@H]1CC[C@@H](N)CC1.Cl,CS(=O)(=O)[C@H]1CC[C@@H](N)CC1
COC(=O)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)c2c1CNC2=O,EN300-1609215,COC(=O)c1ccc(N)c2c1CNC2=O,COC(=O)c1ccc(N)c2c1CNC2=O
CCOC(=O)[C@H]1C[C@@](F)(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1,EN300-6734913,CCOC(=O)[C@H]1C[C@@](F)(CN)C1.Cl,CCOC(=O)[C@H]1C[C@@](F)(CN)C1
CCOC(=O)Cc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)c(C(=O)OCC)c1,EN300-6473587,CCOC(=O)Cc1ccc(N)c(C(=O)OCC)c1.Cl,CCOC(=O)Cc1ccc(N)c(C(=O)OCC)c1
NC1(C(=O)N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)CC(CO)C1,EN300-1609231,Cl.NC(=O)C1(N)CC(CO)C1,NC(=O)C1(N)CC(CO)C1
CCOC(=O)[C@@H]1C[C@H]2C[C@@H]1C[C@H]2N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-6736469,CCOC(=O)[C@@H]1C[C@H]2C[C@@H]1C[C@H]2N.Cl,CCOC(=O)[C@@H]1C[C@H]2C[C@@H]1C[C@H]2N
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CCOc1c[nH]nc1C(F)(F)F)C(=O)c1ccco1,EN300-6479895,Cl.NCCOc1c[nH]nc1C(F)(F)F,NCCOc1c[nH]nc1C(F)(F)F
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H](C(F)F)C1CC1,EN300-7541513,Cl.N[C@@H](C(F)F)C1CC1,N[C@@H](C(F)F)C1CC1
CN1CC(C)(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1=O,EN300-1720106,CN1CC(C)(CN)C1=O.Cl,CN1CC(C)(CN)C1=O
Cn1nccc1[C@@H]1CCCC[C@@H]1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-1726009,Cn1nccc1[C@@H]1CCCC[C@@H]1N,Cn1nccc1[C@@H]1CCCC[C@@H]1N
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1C2CC3C(C2)C31CO,EN300-26664542,NC1C2CC3C(C2)C13CO,NC1C2CC3C(C2)C13CO
CCCO[C@@H]1CCCC[C@H]1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-3804846,CCCO[C@@H]1CCCC[C@H]1N,CCCO[C@@H]1CCCC[C@H]1N
COC(=O)C12CCC(CC1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C2(C)C,EN300-1726326,COC(=O)C12CCC(CC1N)C2(C)C.Cl,COC(=O)C12CCC(CC1N)C2(C)C
COC(=O)c1cc(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)c(C)s1,EN300-1608326,COC(=O)c1cc(CN)c(C)s1.Cl,COC(=O)c1cc(CN)c(C)s1
CCO[C@@H]1CCCCC[C@H]1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-1724977,CCO[C@@H]1CCCCC[C@H]1N,CCO[C@@H]1CCCCC[C@H]1N
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CC[C@@H]1COC[C@H]1O)C(=O)c1ccco1,EN300-7353953,NCC[C@@H]1COC[C@H]1O,NCC[C@@H]1COC[C@H]1O
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1CCOCCC1(F)F,EN300-1709301,Cl.NC1CCOCCC1(F)F,NC1CCOCCC1(F)F
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CC1CC(O)C12CCC2)C(=O)c1ccco1,EN300-7431700,Cl.NCC1CC(O)C12CCC2,NCC1CC(O)C12CCC2
C[C@@H](Cc1ccnn1C)N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-7437536,C[C@H](N)Cc1ccnn1C.Cl.Cl,C[C@H](N)Cc1ccnn1C
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CC1(n2ccnn2)CC1)C(=O)c1ccco1,EN300-1721883,NCC1(n2ccnn2)CC1,NCC1(n2ccnn2)CC1
COc1cccc2c1CCCC(N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C2,EN300-1177806,COc1cccc2c1CCCC(N)C2,COc1cccc2c1CCCC(N)C2
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1CCC2OCCC2C1,EN300-1166963,NC1CCC2OCCC2C1,NC1CCC2OCCC2C1
COC(=O)c1cnc2n1CCC(CN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C2,EN300-6488725,COC(=O)c1cnc2n1CCC(CN)C2.Cl,COC(=O)c1cnc2n1CCC(CN)C2
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1C2CCCC1COC2,EN300-7226805,NC1C2CCCC1COC2,NC1C2CCCC1COC2
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CCCCCC1CC1)C(=O)c1ccco1,EN300-1832950,NCCCCCC1CC1,NCCCCCC1CC1
COC[C@H](CN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1)OC,EN300-1706166,COC[C@H](CN)OC,COC[C@H](CN)OC
Cn1c(N2CC[C@H](N(C(=O)c3ccco3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)C2)cc(=O)n(C)c1=O,EN300-7434125,Cl.Cl.Cn1c(N2CC[C@H](N)C2)cc(=O)n(C)c1=O,Cn1c(N2CC[C@H](N)C2)cc(=O)n(C)c1=O
CC(C)(C)C1(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)CCC1,EN300-7562727,CC(C)(C)C1(N)CCC1.Cl,CC(C)(C)C1(N)CCC1
C[C@@H](CS(N)(=O)=O)N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-1703560,C[C@H](N)CS(N)(=O)=O.Cl,C[C@H](N)CS(N)(=O)=O
CC(C)(C)NS(=O)(=O)C1(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)CCC1,EN300-396534,CC(C)(C)NS(=O)(=O)C1(CN)CCC1.Cl,CC(C)(C)NS(=O)(=O)C1(CN)CCC1
CC1(C(CO)N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)CC1,EN300-1448453,CC1(C(N)CO)CC1,CC1(C(N)CO)CC1
NS(=O)(=O)C1(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)CCC1,EN300-396535,Cl.NCC1(S(N)(=O)=O)CCC1,NCC1(S(N)(=O)=O)CCC1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(-c2n[nH]c3c2COCC3)cc1,EN300-1082478,Nc1ccc(-c2n[nH]c3c2COCC3)cc1,Nc1ccc(-c2n[nH]c3c2COCC3)cc1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CC1(C2CCCO2)CCC1)C(=O)c1ccco1,EN300-746119,NCC1(C2CCCO2)CCC1,NCC1(C2CCCO2)CCC1
CC1(C)CNCC1CN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,EN300-1704171,CC1(C)CNCC1CN.Cl.Cl,CC1(C)CNCC1CN
