tert_butyl_product,EN-code,parent_SMILES
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1[C@@H]2CC[C@H]1N(Cc1ccccc1)C2,EN300-7356352,N[C@@H]1[C@@H]2CC[C@H]1N(Cc1ccccc1)C2
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1CCCC[C@@H]1Oc1ccccc1,EN300-7356179,N[C@@H]1CCCC[C@@H]1Oc1ccccc1
CNc1cc(N2C[C@H](O)C[C@@H]2CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)ncn1,EN300-7460995,CNc1cc(N2C[C@H](O)C[C@@H]2CN)ncn1
CO[C@H]1CC(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C[C@H]1OC,EN300-7434207,CO[C@H]1CC(N)C[C@H]1OC
CCN(C)c1cc(N2C[C@H](O)C[C@@H]2CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)ncn1,EN300-7461382,CCN(C)c1cc(N2C[C@H](O)C[C@@H]2CN)ncn1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1ccccc1N1CC(C)(C)C1=O,EN300-7433128,CC1(C)CN(c2ccccc2N)C1=O
CC[C@@H](COC(F)(F)F)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-6762896,CC[C@H](N)COC(F)(F)F
C=C1C(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C[C@H]2C[C@@H]1C2(C)C,EN300-1720902,C=C1C(N)C[C@H]2C[C@@H]1C2(C)C
CO[C@@H]1CC(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C[C@H]1OC,EN300-7355138,CO[C@@H]1CC(N)C[C@H]1OC
COC1CC2(CC(CN(C(=O)c3ccco3)C(C(=O)NC(C)(C)C)c3cccnc3)C2)C1,EN300-6498695,COC1CC2(CC(CN)C2)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(Cc1nc(C(O)C2CC2)n[nH]1)C(=O)c1ccco1,EN300-6746627,NCc1nc(C(O)C2CC2)n[nH]1
COC(=O)[C@@H]1CC[C@@](F)(CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C1,EN300-7354939,COC(=O)[C@@H]1CC[C@@](F)(CN)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1cncc2c1CCNC2=O,EN300-6746638,Nc1cncc2c1CCNC2=O
CC(C)(C)NC(=O)C(c1cccnc1)N(C[C@@H]1C[C@H](O)CCO1)C(=O)c1ccco1,EN300-1708899,NC[C@@H]1C[C@H](O)CCO1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1[C@H]2CC[C@@H]1C[C@H](CO)C2,EN300-7459518,NC1[C@H]2CC[C@@H]1C[C@H](CO)C2
Cc1cnc(C(O)(CCN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C(F)(F)F)o1,EN300-6498860,Cc1cnc(C(O)(CCN)C(F)(F)F)o1
CC(C)(C)NC(=O)C(c1cccnc1)N(CCC1OCCC1(C)C)C(=O)c1ccco1,EN300-1726087,CC1(C)CCOC1CCN
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1(c2ccc(O)nc2)CCC1,EN300-7436102,NC1(c2ccc(O)nc2)CCC1
C=CCC(C)(C(F)F)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-7464670,C=CCC(C)(N)C(F)F
CCOC(=O)C12CC(CN(C(=O)c3ccco3)C(C(=O)NC(C)(C)C)c3cccnc3)(C1)OC21CCC1,EN300-1720706,CCOC(=O)C12CC(CN)(C1)OC21CCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@H]1C[C@@H](CO)[C@@H]2C[C@H]12,EN300-6766461,N[C@H]1C[C@@H](CO)[C@@H]2C[C@H]12
C=CCC1(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)CCS(=O)(=O)CC1,EN300-7493923,C=CCC1(N)CCS(=O)(=O)CC1
CC(C)(C)NC(=O)C(c1cccnc1)N(Cc1ccncc1-c1cc[nH]n1)C(=O)c1ccco1,EN300-7460200,NCc1ccncc1-c1cc[nH]n1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1CC(C)(C)C1OCc1ccccc1,EN300-6499037,CC1(C)CC(N)C1OCc1ccccc1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1(Cc2cccc(Cl)n2)CCC1,EN300-7562805,NC1(Cc2cccc(Cl)n2)CCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(CC[C@H]1C[C@H](F)C1)C(=O)c1ccco1,EN300-1706197,NCC[C@H]1C[C@H](F)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(CCC(F)(F)CO)C(=O)c1ccco1,EN300-7119375,NCCC(F)(F)CO
COC(=O)c1ccccc1[C@H]1C[C@H](N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C1,EN300-6490067,COC(=O)c1ccccc1[C@H]1C[C@H](N)C1
C[C@@H]1CCO[C@@H]1CCN(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-4070545,C[C@@H]1CCO[C@@H]1CCN
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1C(F)CC2CC21,EN300-7494365,NC1C(F)CC2CC21
COC(=O)C1(C)CC(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C1,EN300-6491566,COC(=O)C1(C)CC(N)C1
COC(=O)[C@@H]1CC=CC[C@@H]1N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-6496602,COC(=O)[C@@H]1CC=CC[C@@H]1N
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1C[C@]12CCOc1ccccc12,EN300-6748376,N[C@@H]1C[C@]12CCOc1ccccc12
C=CCC1C(OC(C)(C)C)CC1N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-6745327,C=CCC1C(N)CC1OC(C)(C)C
CN1CC(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)CC12CCOCC2,EN300-6497636,CN1CC(N)CC12CCOCC2
C[C@@H]1C[C@]1(Cc1ccccc1)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-6740085,C[C@@H]1C[C@@]1(N)Cc1ccccc1
COC(=O)C[C@@H](COCc1ccccc1)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-2008049,COC(=O)C[C@H](N)COCc1ccccc1
CCOC(=O)C1(CCN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)CCC1,EN300-6738188,CCOC(=O)C1(CCN)CCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1C[C@H](O)C[C@H]1O,EN300-6758671,N[C@@H]1C[C@H](O)C[C@H]1O
CC(C)(C)NC(=O)C(c1cccnc1)N(CC12CC(C1)C(C)(C)O2)C(=O)c1ccco1,EN300-1698458,CC1(C)OC2(CN)CC1C2
C#CC(CC1CCOCC1)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-6494043,C#CC(N)CC1CCOCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1(c2ccccc2)CC1C(F)(F)F,EN300-6736656,NC1(c2ccccc2)CC1C(F)(F)F
CN1CC[C@@H](N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)[C@@H]1c1ccc(Cl)c(F)c1,EN300-1706556,CN1CC[C@@H](N)[C@@H]1c1ccc(Cl)c(F)c1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@H]1C[C@H](c2ccc(C#N)cc2)C1,EN300-6482538,N#Cc1ccc([C@H]2C[C@H](N)C2)cc1
COC(=O)c1cccc([C@H]2C[C@H](N(C(=O)c3ccco3)C(C(=O)NC(C)(C)C)c3cccnc3)C2)c1,EN300-6735776,COC(=O)c1cccc([C@H]2C[C@H](N)C2)c1
CCOC(=O)c1nc(CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)sc1N,EN300-6488222,CCOC(=O)c1nc(CN)sc1N
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1CCN(C(C)(C)C)[C@H]1c1ccc(Cl)c(F)c1,EN300-1706911,CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccc(Cl)c(F)c1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1Cc2cscc2C1,EN300-7352030,NC1Cc2cscc2C1
CC(C)(C)NC(=O)C(c1cccnc1)N(CC1CC(O)C1(C)C)C(=O)c1ccco1,EN300-1722644,CC1(C)C(O)CC1CN
CC(C)(C)NC(=O)C(c1cccnc1)N(CCN1CCOC(C(F)(F)F)(C(F)(F)F)C1)C(=O)c1ccco1,EN300-6481828,NCCN1CCOC(C(F)(F)F)(C(F)(F)F)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1CN(Cc2ccccc2)C[C@H]1C(F)F,EN300-7068233,N[C@@H]1CN(Cc2ccccc2)C[C@H]1C(F)F
CC(C)(C)NC(=O)C(c1cccnc1)N(C[C@H]1C[C@H](n2cccn2)C1)C(=O)c1ccco1,EN300-7456278,NC[C@H]1C[C@H](n2cccn2)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1CC[C@H]2CCN(Cc3ccccc3)[C@H]21,EN300-6477927,N[C@@H]1CC[C@H]2CCN(Cc3ccccc3)[C@H]21
CC1CCC(CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)Cc2ccccc21,EN300-7425354,CC1CCC(CN)Cc2ccccc21
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@H]1C[C@H](n2cncn2)C1,EN300-6735284,N[C@H]1C[C@H](n2cncn2)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1(Cn2cccn2)CC(F)(F)C1,EN300-6490336,NC1(Cn2cccn2)CC(F)(F)C1
C#C[C@@H](N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1)C(C)(C)C,EN300-26667006,C#C[C@@H](N)C(C)(C)C
CO[C@H]1C[C@@](CO)(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C1,EN300-26667015,CO[C@H]1C[C@](N)(CO)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(CC1(C(F)F)CC2(CCC2)C1)C(=O)c1ccco1,EN300-7455904,NCC1(C(F)F)CC2(CCC2)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@H]1CC[C@@H](S(C)(=O)=O)CC1,EN300-6473207,CS(=O)(=O)[C@H]1CC[C@@H](N)CC1
COC(=O)c1ccc(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)c2c1CNC2=O,EN300-1609215,COC(=O)c1ccc(N)c2c1CNC2=O
CCOC(=O)[C@H]1C[C@@](F)(CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C1,EN300-6734913,CCOC(=O)[C@H]1C[C@@](F)(CN)C1
CCOC(=O)Cc1ccc(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)c(C(=O)OCC)c1,EN300-6473587,CCOC(=O)Cc1ccc(N)c(C(=O)OCC)c1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C(=O)C1(N)CC(CO)C1,EN300-1609231,NC(=O)C1(N)CC(CO)C1
CCOC(=O)[C@@H]1C[C@H]2C[C@@H]1C[C@H]2N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-6736469,CCOC(=O)[C@@H]1C[C@H]2C[C@@H]1C[C@H]2N
CC(C)(C)NC(=O)C(c1cccnc1)N(CCOc1c[nH]nc1C(F)(F)F)C(=O)c1ccco1,EN300-6479895,NCCOc1c[nH]nc1C(F)(F)F
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H](C(F)F)C1CC1,EN300-7541513,N[C@@H](C(F)F)C1CC1
CN1CC(C)(CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C1=O,EN300-1720106,CN1CC(C)(CN)C1=O
Cn1nccc1[C@@H]1CCCC[C@@H]1N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-1726009,Cn1nccc1[C@@H]1CCCC[C@@H]1N
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1C2CC3C(C2)C31CO,EN300-26664542,NC1C2CC3C(C2)C13CO
CCCO[C@@H]1CCCC[C@H]1N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-3804846,CCCO[C@@H]1CCCC[C@H]1N
COC(=O)C12CCC(CC1N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1)C2(C)C,EN300-1726326,COC(=O)C12CCC(CC1N)C2(C)C
COC(=O)c1cc(CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)c(C)s1,EN300-1608326,COC(=O)c1cc(CN)c(C)s1
CCO[C@@H]1CCCCC[C@H]1N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-1724977,CCO[C@@H]1CCCCC[C@H]1N
CC(C)(C)NC(=O)C(c1cccnc1)N(CC[C@@H]1COC[C@H]1O)C(=O)c1ccco1,EN300-7353953,NCC[C@@H]1COC[C@H]1O
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1CCOCCC1(F)F,EN300-1709301,NC1CCOCCC1(F)F
CC(C)(C)NC(=O)C(c1cccnc1)N(CC1CC(O)C12CCC2)C(=O)c1ccco1,EN300-7431700,NCC1CC(O)C12CCC2
C[C@@H](Cc1ccnn1C)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-7437536,C[C@H](N)Cc1ccnn1C
CC(C)(C)NC(=O)C(c1cccnc1)N(CC1(n2ccnn2)CC1)C(=O)c1ccco1,EN300-1721883,NCC1(n2ccnn2)CC1
COc1cccc2c1CCCC(N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1)C2,EN300-1177806,COc1cccc2c1CCCC(N)C2
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1CCC2OCCC2C1,EN300-1166963,NC1CCC2OCCC2C1
COC(=O)c1cnc2n1CCC(CN(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1)C2,EN300-6488725,COC(=O)c1cnc2n1CCC(CN)C2
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1C2CCCC1COC2,EN300-7226805,NC1C2CCCC1COC2
CC(C)(C)NC(=O)C(c1cccnc1)N(CCCCCC1CC1)C(=O)c1ccco1,EN300-1832950,NCCCCCC1CC1
COC[C@H](CN(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1)OC,EN300-1706166,COC[C@H](CN)OC
Cn1c(N2CC[C@H](N(C(=O)c3ccco3)C(C(=O)NC(C)(C)C)c3cccnc3)C2)cc(=O)n(C)c1=O,EN300-7434125,Cn1c(N2CC[C@H](N)C2)cc(=O)n(C)c1=O
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1(C(C)(C)C)CCC1,EN300-7562727,CC(C)(C)C1(N)CCC1
C[C@@H](CS(N)(=O)=O)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-1703560,C[C@H](N)CS(N)(=O)=O
CC(C)(C)NC(=O)C(c1cccnc1)N(CC1(S(=O)(=O)NC(C)(C)C)CCC1)C(=O)c1ccco1,EN300-396534,CC(C)(C)NS(=O)(=O)C1(CN)CCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C(CO)C1(C)CC1,EN300-1448453,CC1(C(N)CO)CC1
CC(C)(C)NC(=O)C(c1cccnc1)N(CC1(S(N)(=O)=O)CCC1)C(=O)c1ccco1,EN300-396535,NCC1(S(N)(=O)=O)CCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(-c2n[nH]c3c2COCC3)cc1,EN300-1082478,Nc1ccc(-c2n[nH]c3c2COCC3)cc1
CC(C)(C)NC(=O)C(c1cccnc1)N(CC1(C2CCCO2)CCC1)C(=O)c1ccco1,EN300-746119,NCC1(C2CCCO2)CCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(CC1CNCC1(C)C)C(=O)c1ccco1,EN300-1704171,CC1(C)CNCC1CN
CC(C)(C)NC(=O)C(c1cccnc1)N(CC12CCC(CO1)C2)C(=O)c1ccco1,EN300-26573019,NCC12CCC(CO1)C2
Cn1ccn2c(CN(C(=O)c3ccco3)C(C(=O)NC(C)(C)C)c3cccnc3)nnc2c1=O,EN300-367574,Cn1ccn2c(CN)nnc2c1=O
CC(C)(C)NC(=O)C(c1cccnc1)N(C[C@@H]1C[C@H]1CO)C(=O)c1ccco1,EN300-1277662,NC[C@@H]1C[C@H]1CO
CCO[C@@H]1C[C@H]1N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-754590,CCO[C@@H]1C[C@H]1N
CC(CCC(F)F)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-344266,CC(N)CCC(F)F
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1CC(O)C12CCOCC2,EN300-704039,NC1CC(O)C12CCOCC2
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1(c2ccc(Br)cc2)CC(F)C1,EN300-378941,NC1(c2ccc(Br)cc2)CC(F)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,EN300-1588404,N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1C[C@H]1C1CCOCC1,EN300-365170,N[C@@H]1C[C@H]1C1CCOCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1(C2CCCCO2)CCC1,EN300-365003,NC1(C2CCCCO2)CCC1
CNC1CCC(C)(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)CC1,EN300-6763729,CNC1CCC(C)(N)CC1
COC(=O)CCN(C)C(=O)CCN(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-7548979,COC(=O)CCN(C)C(=O)CCN
CC(C)(C)NC(=O)C(c1cccnc1)N(C[C@@H]1C[C@H]1C1CCOCC1)C(=O)c1ccco1,EN300-365108,NC[C@@H]1C[C@H]1C1CCOCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(C[C@]12C[C@H]1COC21CCC1)C(=O)c1ccco1,EN300-747005,NC[C@]12C[C@H]1COC21CCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(CC(C)(O)C1CCCCO1)C(=O)c1ccco1,EN300-7431323,CC(O)(CN)C1CCCCO1
COC(=O)c1nccc2cc(N(C(=O)c3ccco3)C(C(=O)NC(C)(C)C)c3cccnc3)ccc12,EN300-1722233,COC(=O)c1nccc2cc(N)ccc12
COC(=O)C1C[C@@H]2C[C@H](N(C(=O)c3ccco3)C(C(=O)NC(C)(C)C)c3cccnc3)[C@@H]2C1,EN300-731007,COC(=O)C1C[C@@H]2C[C@H](N)[C@@H]2C1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C(=O)[C@H]1OCC[C@H]1N,EN300-7435545,NC(=O)[C@H]1OCC[C@H]1N
CC(C)(C)NC(=O)C(c1cccnc1)N(CCC1CCC2(CCOCC2)CO1)C(=O)c1ccco1,EN300-384518,NCCC1CCC2(CCOCC2)CO1
CC(CC1(O)CCOCC1)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-716108,CC(N)CC1(O)CCOCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(CCN1CCc2c(Br)cccc21)C(=O)c1ccco1,EN300-6482931,NCCN1CCc2c(Br)cccc21
Cc1ncc(CN2CC(N(C(=O)c3ccco3)C(C(=O)NC(C)(C)C)c3cccnc3)C2)o1,EN300-7539797,Cc1ncc(CN2CC(N)C2)o1
COc1nsc(OC)c1CN(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-1440158,COc1nsc(OC)c1CN
COC[C@H]1C[C@H](N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C1,EN300-6309415,COC[C@H]1C[C@H](N)C1
CC(CC1(O)CCC1)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-1702673,CC(N)CC1(O)CCC1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1CC[C@H](CS(N)(=O)=O)C1,EN300-1425899,N[C@@H]1CC[C@H](CS(N)(=O)=O)C1
COc1ccnc(C2(CN(C(=O)c3ccco3)C(C(=O)NC(C)(C)C)c3cccnc3)CCCCC2)c1,EN300-1781037,COc1ccnc(C2(CN)CCCCC2)c1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1C[C@H]1c1ccsc1,EN300-320861,N[C@@H]1C[C@H]1c1ccsc1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@H]1c2ccccc2OC[C@H]1CO,EN300-658624,N[C@H]1c2ccccc2OC[C@H]1CO
CC(C)(C)NC(=O)C(c1cccnc1)N(CCCCc1c[nH]nc1C(F)(F)F)C(=O)c1ccco1,EN300-6491141,NCCCCc1c[nH]nc1C(F)(F)F
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1C2Cc3c(Br)cccc3C21,EN300-322865,NC1C2Cc3c(Br)cccc3C12
CC(C)(C)NC(=O)C(c1cccnc1)N(C[C@@H]1CC[C@H](C2CC2)O1)C(=O)c1ccco1,EN300-658519,NC[C@@H]1CC[C@H](C2CC2)O1
COC(=O)C1(N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)CC2(CCOCC2)C1,EN300-7542016,COC(=O)C1(N)CC2(CCOCC2)C1
C[C@H]1C[C@@H]1N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-332522,C[C@H]1C[C@@H]1N
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C(Cc1ccc(F)cc1)C(C)(C)O,EN300-1722770,CC(C)(O)C(N)Cc1ccc(F)cc1
Cc1cccc(C(C(=O)OC(C)(C)C)N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)c1,EN300-651721,Cc1cccc(C(N)C(=O)OC(C)(C)C)c1
COC(=O)C(C1CC(F)(F)C1)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-6763390,COC(=O)C(N)C1CC(F)(F)C1
CCOC(=O)Cc1nc(CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)no1,EN300-7463929,CCOC(=O)Cc1nc(CN)no1
COC(=O)C1CC2CC(N(C(=O)c3ccco3)C(C(=O)NC(C)(C)C)c3cccnc3)C2C1,EN300-736738,COC(=O)C1CC2CC(N)C2C1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C(C)(Cc1c(Cl)cccc1Cl)C(F)(F)F,EN300-1387147,CC(N)(Cc1c(Cl)cccc1Cl)C(F)(F)F
