Molecule Name,SMILES,Batch Name,Canonical PostEra ID,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0019753,CNC(=O)CN1C[C@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,001,MIK-ENA-5d9157e9-4,0.0964,0.0906,0.103,1.14,2.1
CVD-0019752,CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,001,MIK-ENA-5d9157e9-3,14.6,12.2,17.4,1.09,1.1
CVD-0019751,Clc1ccc2CN(C[C@@]3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,001,MIK-ENA-5d9157e9-2,13.5,11.5,15.7,1.02,1.1
CVD-0019749,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4CCCCc34)c2c1)S(=O)(=O)CC1(CC1)C#N,001,EDJ-MED-705e09b8-2,0.515,0.490,0.540,1.00,1.1
CVD-0019748,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3CCCCc23)C1,001,EDJ-MED-705e09b8-1,0.258,0.247,0.271,1.08,1.1
CVD-0019743,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC#N)CC1,001,ALP-POS-ecbed2ba-22,0.337,0.320,0.354,1.10,1.1
CVD-0019742,COCCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,001,ALP-POS-ecbed2ba-21,0.993,0.927,1.06,1.11,1.1
CVD-0019741,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)N1CCC1,001,ALP-POS-ecbed2ba-20,0.330,0.313,0.347,1.08,1.1
CVD-0019739,CCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,001,ALP-POS-ecbed2ba-18,0.563,0.526,0.601,1.06,1.1
CVD-0019737,CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,001,ALP-POS-ecbed2ba-16,0.613,0.579,0.648,1.10,1.1
CVD-0019735,Clc1ccc2CN(CC(=O)NCC#N)CC3(CCN(C3=O)c3cncc4ccccc34)c2c1,001,ALP-POS-ecbed2ba-14,0.263,0.248,0.279,1.18,1.1
CVD-0019734,CC(C)(CS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1)C#N,001,ALP-POS-ecbed2ba-13,0.448,0.410,0.489,1.04,1.1
CVD-0019732,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CCOCC1)C#N,001,ALP-POS-ecbed2ba-11,0.338,0.301,0.381,0.948,2.1
CVD-0019731,COC1CN(C1)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,001,ALP-POS-ecbed2ba-10,0.224,0.213,0.235,1.14,2.1
CVD-0019730,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)N1CC(C1)C#N,001,ALP-POS-ecbed2ba-9,0.181,0.174,0.188,1.08,2.1
CVD-0019729,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CCC1)C#N,001,ALP-POS-ecbed2ba-8,0.263,0.233,0.296,0.931,2.1
CVD-0019727,COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccccc34)C2)CC1,001,ALP-POS-ecbed2ba-6,0.356,0.325,0.391,0.988,2.1
CVD-0019726,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1CS(=O)(=O)C1,001,ALP-POS-ecbed2ba-5,0.353,0.315,0.395,0.946,2.1
CVD-0019725,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccccc34)C2)CC1,001,ALP-POS-ecbed2ba-3,0.265,0.243,0.289,0.932,2.1
CVD-0019724,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CCS(=O)(=O)CC1)C#N,001,ALP-POS-ecbed2ba-2,0.211,0.201,0.222,1.03,2.1
CVD-0019723,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccccc34)C2)CS(=O)(=O)C1,001,ALP-POS-ecbed2ba-1,0.144,0.137,0.150,1.05,2.1
CVD-0019667,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4cc(ccc34)S(C)(=O)=O)C2)CC1,001,MAT-POS-853c0ffa-22,0.155,0.148,0.163,1.14,2.1
CVD-0019661,COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4cc(ccc34)S(C)(=O)=O)C2)CC1,001,MAT-POS-853c0ffa-16,0.413,0.332,0.514,0.897,1.1
CVD-0019660,CS(=O)(=O)c1ccc2c(cncc2c1)N1CCC2(CN(Cc3ccc(Cl)cc23)S(=O)(=O)CC2(CC2)C#N)C1=O,001,MAT-POS-853c0ffa-15,0.103,0.0983,0.109,1.08,2.1
CVD-0019658,Fc1ccc2cncc(N3CCC4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,001,MAT-POS-853c0ffa-13,0.828,0.699,0.981,1.05,1.1
CVD-0019655,COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccc(OCCN(C)C)cc34)C2)CC1,001,MAT-POS-853c0ffa-10,0.181,0.173,0.189,1.08,2.1
CVD-0019654,CN(C)CCOc1ccc2cncc(N3CCC4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,002,MAT-POS-853c0ffa-9,0.161,0.146,0.177,0.883,2.1
CVD-0019650,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4cccc(Cl)c34)c2c1)S(=O)(=O)CC1(CC1)C#N,002,MAT-POS-853c0ffa-5,7.79,6.61,9.19,0.872,1.1
CVD-0019649,CNC(=O)CN1CC2(CCN(C2=O)c2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,002,MAT-POS-853c0ffa-1,1.67,1.53,1.83,1.38,1.1
CVD-0019646,Clc1ccc2CN(C[C@@]3(CC(=O)N(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,001,LUO-POS-868e8996-10,30.2,22.0,41.4,0.693,2.1
CVD-0019644,CNC(=O)CN1C[C@]2(CC(=O)N(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,001,LUO-POS-868e8996-8,84.6,64.7,110,1.26,2.3
CVD-0019643,CNC(=O)CN1C[C@@]2(CC(=O)N(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,001,LUO-POS-868e8996-7,0.123,0.109,0.138,1.10,2.1
CVD-0019638,CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,001,LUO-POS-868e8996-2,16.1,12.2,21.2,1.24,1.1
CVD-0019637,CNC(=O)CN1C[C@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,001,LUO-POS-868e8996-1,0.0758,0.0719,0.0799,1.14,2.1
CVD-0019636,Clc1ccc2CN(C[C@@H](C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CNC1)C#N,001,MAT-POS-777f5926-4,0.0849,0.0718,0.100,1.00,1.1
CVD-0019636,Clc1ccc2CN(C[C@@H](C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CNC1)C#N,001,MAT-POS-777f5926-4,0.0562,0.0500,0.0632,0.892,2.1
CVD-0019635,Clc1ccc2CN(C[C@H](C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CNC1)C#N,001,MAT-POS-777f5926-3,1.62,1.31,2.00,1.14,1.1
CVD-0019634,Clc1ccc2CN(C[C@@H](C(=O)Nc3cncc4ccccc34)c2c1)[C@@H]1CCNC1=O,001,MAT-POS-777f5926-2,4.09,3.36,4.98,1.07,1.1
CVD-0019633,C[C@@H]1NC(=O)c2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12,001,MAT-POS-777f5926-1,0.454,0.399,0.516,1.10,1.1
CVD-0019576,CC1(CS(=O)(=O)N2C[C@@H](C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2)CC1,001,MAT-POS-dd1fff26-2,0.0846,0.0691,0.103,1.36,1.1
CVD-0019575,CC1(CS(=O)(=O)N2C[C@H](C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2)CC1,001,MAT-POS-dd1fff26-1,4.58,4.23,4.96,1.12,1.1
CVD-0019558,CNC(=O)CN1C[C@H](C(=O)Nc2cncc3cc(Cl)ccc23)c2cc(Cl)ccc2C1=O,001,LUO-POS-74179f4f-1,0.149,0.130,0.172,1.01,2.1
CVD-0019557,CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cc(Cl)ccc23)c2cc(Cl)ccc2C1=O,001,LUO-POS-edefcc0e-1,0.939,0.830,1.06,1.09,1.1
CVD-0019556,Clc1ccc2c(c1)C(CNS2(=O)=O)C(=O)Nc1cncc2CCCCc12,001,ALP-POS-4483ae88-4,0.452,0.350,0.584,1.44,1.1
CVD-0019555,CNC(=O)CN1CC(C(=O)Nc2cncc3CCCCc23)c2cc(Cl)ccc2C1=O,001,ALP-POS-4483ae88-3,0.448,0.389,0.518,1.07,1.1
CVD-0019554,CNC(=O)CN1CC2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,001,ALP-POS-4483ae88-2,0.275,0.262,0.288,1.04,1.1
CVD-0019544,Cc1nc(CN2CC(C(=O)Nc3cncc4cc(ccc34)S(C)(=O)=O)c3cc(Cl)ccc3C2=O)c[nH]1,001,EDJ-MED-41558c53-6,0.226,0.206,0.248,1.19,1.1
CVD-0019485,Fc1ccc2cncc(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(CC3)C#N)c2c1,001,MAT-POS-b4d6b7fc-9,0.137,0.118,0.158,1.07,2.1
CVD-0019484,Clc1ccc2CN(CC(C(=O)Nc3cncc4cccc(Cl)c34)c2c1)S(=O)(=O)CC1(CC1)C#N,001,MAT-POS-b4d6b7fc-8,0.259,0.231,0.290,1.16,1.1
CVD-0019481,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccc(F)cc23)C1,001,MAT-POS-b4d6b7fc-5,0.267,0.227,0.313,1.05,1.1
CVD-0019477,CNC(=O)CN1CC(C(=O)Nc2cncc3cc(NS(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1,001,MAT-POS-b4d6b7fc-1,0.0728,0.0662,0.0801,1.15,2.1
CVD-0019474,CNC(=O)c1ccc2cncc(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(C)CS(=O)(=O)C3)c2c1,001,MAT-POS-78ab8081-3,0.110,0.0997,0.122,1.15,2.1
CVD-0019473,CN(C)CCOc1ccc2cncc(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(CC3)C#N)c2c1,001,MAT-POS-78ab8081-2,0.117,0.102,0.135,1.14,2.1
CVD-0019471,CC(C)S(=O)(=O)Nc1ccc2c(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(CC3)C#N)cncc2c1,001,MAT-POS-22373164-3,0.0898,0.0840,0.0960,1.19,2.1
CVD-0019469,CN(c1ccc2c(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(CC3)C#N)cncc2c1)S(C)(=O)=O,001,MAT-POS-22373164-1,0.232,0.198,0.272,1.02,2.1
CVD-0019467,CS(=O)(=O)Nc1ccc2c(NC(=O)[C@H]3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(CC3)C#N)cncc2c1,001,MAT-POS-c7726e07-7,0.742,0.606,0.909,1.17,1.1
CVD-0019466,CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(C2=O)c2cncc3ccccc23)C1,002,MAT-POS-c7726e07-6,11.9,10.5,13.5,1.26,1.1
CVD-0019465,CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(C2=O)c2cncc3ccccc23)C1,002,MAT-POS-c7726e07-5,0.0950,0.0810,0.111,1.16,1.1
CVD-0019465,CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(C2=O)c2cncc3ccccc23)C1,002,MAT-POS-c7726e07-5,0.0578,0.0536,0.0623,1.02,2.1
CVD-0019464,CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3ccc(F)cc23)c2cc(Cl)ccc2C1=O,001,MAT-POS-c7726e07-4,0.0946,0.0854,0.105,0.980,2.1
CVD-0019463,CNC(=O)CN1C[C@H](C(=O)Nc2cncc3ccc(F)cc23)c2cc(Cl)ccc2C1=O,001,MAT-POS-c7726e07-3,0.0964,0.0890,0.105,1.10,2.1
CVD-0019460,CNC(=O)CN1CC2(CCN(C2=O)c2cncc3cc(Cl)ccc23)c2cc(Cl)ccc2C1=O,001,EDG-MED-b1ef7fe3-4,0.449,0.421,0.480,1.02,1.1
CVD-0019459,CNC(=O)CN1CC2(CCN(C2=O)c2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,001,EDG-MED-b1ef7fe3-3,0.426,0.375,0.484,0.955,2.1
CVD-0019457,CNC(=O)CN1CC2(CCN(C2=O)c2cncc3ccc(Cl)cc23)c2cc(Cl)ccc2C1=O,001,EDG-MED-b1ef7fe3-1,0.143,0.131,0.156,0.882,2.1
CVD-0019456,C[C@@]1(CNS(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-806462de-2,0.0968,0.0902,0.104,0.938,2.1
CVD-0019455,C[C@]1(CNS(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-806462de-1,2.53,2.38,2.69,0.970,1.1
CVD-0019444,CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,001,SHA-THE-408e7524-13,85.1,78.6,92.2,5.44,2.1
CVD-0019444,CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12,001,SHA-THE-408e7524-13,46.1,(IC50 CI (Lower) could not be calculated; confidence interval too large),(IC50 CI (Upper) could not be calculated; confidence interval too large),23.4,1.1
CVD-0019423,CC1(CN(CC2CC2)S(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2cc(ccc12)S(C)(=O)=O,001,EDG-MED-b8f93667-6,0.615,0.517,0.732,1.09,1.1
CVD-0019421,CN1CC(C)(C(=O)Nc2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2S1(=O)=O,001,EDG-MED-b8f93667-4,0.523,0.451,0.607,1.06,1.1
CVD-0019417,CC1(CNS(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2cccc(Cl)c12,001,MAT-POS-c88128cb-15,1.87,1.56,2.24,1.19,1.1
CVD-0019416,CC1(CNS(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2cc(ccc12)S(C)(=O)=O,001,MAT-POS-c88128cb-14,0.172,0.159,0.186,1.11,2.1
CVD-0019414,CC1(CNS(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2ccc(F)cc12,001,MAT-POS-c88128cb-12,0.441,0.406,0.480,1.03,1.1
CVD-0019407,CC1(CN(CC2CC2)S(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,001,MAT-POS-c88128cb-5,0.634,0.522,0.770,1.11,1.1
CVD-0019406,CC(C)CN1CC(C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,001,MAT-POS-c88128cb-4,0.153,0.142,0.165,1.04,2.1
CVD-0019403,CC(C)CS(=O)(=O)N1CC(C(=O)Nc2cncc3ccc(cc23)C(C)(C)O)c2cc(Cl)ccc2C1,001,MAT-POS-c88128cb-1,1.22,0.980,1.51,1.06,1.1
CVD-0019400,CN(C)CCOc1ccc2cncc(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(C)CS(=O)(=O)C3)c2c1,002,MAT-POS-83f73d0a-2,0.125,0.111,0.141,1.15,2.1
CVD-0019399,CC(C)(O)c1ccc2cncc(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(C)CS(=O)(=O)C3)c2c1,002,MAT-POS-83f73d0a-1,2.36,1.93,2.87,1.03,1.1
CVD-0019392,CC1(CN(CC(=O)NC2CC2)S(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2cc(ccc12)S(C)(=O)=O,001,EDJ-MED-dac03e7f-2,0.468,0.403,0.545,1.10,1.1
CVD-0019380,CNC(=O)CN1CC(C(=O)Nc2cncc3ccc(cc23)C(C)(C)O)c2cc(Cl)ccc2C1=O,001,MAT-POS-97ec4bd1-4,0.384,0.329,0.448,1.07,1.1
CVD-0019379,CNC(=O)CN1CC(C(=O)Nc2cncc3ccc(cc23)C(C)(C)O)c2cc(Cl)ccc2C1,001,MAT-POS-97ec4bd1-3,0.564,0.458,0.693,1.04,1.1
CVD-0019378,CC(C)(O)c1ccc2cncc(NC(=O)C3CN(Cc4ccc(Cl)cc34)S(=O)(=O)CC3(CC3)C#N)c2c1,001,MAT-POS-97ec4bd1-2,1.14,1.01,1.28,1.07,1.1
CVD-0019377,COC1(CS(=O)(=O)N2CC(C(=O)Nc3cncc4ccc(cc34)C(C)(C)O)c3cc(Cl)ccc3C2)CC1,001,MAT-POS-97ec4bd1-1,1.77,1.40,2.23,1.07,1.1
CVD-0019375,COC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2cc(ccc12)S(=O)(=O)N(C)C,001,EDJ-MED-1b46f08e-1,0.458,0.406,0.518,1.10,1.1
CVD-0019373,COC1(CS(=O)(=O)N2CC(C(=O)Nc3cncc4cc(ccc34)S(C)(=O)=O)c3cc(Cl)ccc3C2=O)CC1,001,EDJ-MED-968bafd9-2,0.773,0.648,0.921,0.997,1.1
CVD-0019372,COC1(CS(=O)(=O)N2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,001,EDJ-MED-968bafd9-1,0.371,0.309,0.446,0.917,1.1
CVD-0019370,Fc1cc(Cl)c2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,001,EDJ-MED-c5ca5386-1,0.718,0.660,0.781,1.49,1.1
CVD-0019369,CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NCC(F)(F)F)C(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-e69ed63d-18,0.287,0.273,0.302,1.10,1.1
CVD-0019368,Fc1ccc2c(NC(=O)C3CN(CC(=O)NCC(F)(F)F)C(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-e69ed63d-17,0.879,0.764,1.01,1.12,1.1
CVD-0019367,CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NCC4CC4)C(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-e69ed63d-16,0.174,0.154,0.196,1.15,1.1
CVD-0019367,CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NCC4CC4)C(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-e69ed63d-16,0.179,0.167,0.192,1.10,2.1
CVD-0019366,Fc1ccc2c(NC(=O)C3CN(CC(=O)NCC4CC4)C(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-e69ed63d-15,0.216,0.199,0.234,0.981,2.1
CVD-0019365,CCCNC(=O)CN1CC(C(=O)Nc2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2C1=O,001,EDJ-MED-e69ed63d-14,0.209,0.195,0.223,1.17,1.1
CVD-0019365,CCCNC(=O)CN1CC(C(=O)Nc2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2C1=O,001,EDJ-MED-e69ed63d-14,0.127,0.121,0.133,1.06,2.1
CVD-0019364,CCCNC(=O)CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,001,EDJ-MED-e69ed63d-13,0.320,0.283,0.361,1.12,1.1
CVD-0019363,CC(C)(C)NC(=O)CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,001,EDJ-MED-e69ed63d-11,1.01,0.874,1.16,1.12,1.1
CVD-0019362,CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NC4CCC4)C(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-e69ed63d-10,0.252,0.234,0.272,1.14,1.1
CVD-0019361,Fc1ccc2c(NC(=O)C3CN(CC(=O)NC4CCC4)C(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-e69ed63d-9,0.340,0.322,0.359,1.02,1.1
CVD-0019360,CCNC(=O)CN1CC(C(=O)Nc2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2C1=O,001,EDJ-MED-e69ed63d-8,0.134,0.118,0.152,1.21,1.1
CVD-0019360,CCNC(=O)CN1CC(C(=O)Nc2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2C1=O,001,EDJ-MED-e69ed63d-8,0.0675,0.0625,0.0729,0.977,2.1
CVD-0019359,CCNC(=O)CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,001,EDJ-MED-e69ed63d-7,0.161,0.149,0.173,1.04,2.1
CVD-0019358,Fc1ccc2c(NC(=O)C3CN(CC(=O)NC4COC4)C(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-e69ed63d-6,1.01,0.880,1.16,0.894,1.1
CVD-0019357,CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC(=O)NC4CC4)C(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-e69ed63d-4,0.214,0.193,0.237,1.12,2.1
CVD-0019356,Fc1ccc2c(NC(=O)C3CN(CC(=O)NC4CC4)C(=O)c4ccc(Cl)cc34)cncc2c1,001,EDJ-MED-e69ed63d-3,0.556,0.505,0.611,1.11,1.1
CVD-0019355,CC(C)NC(=O)CN1CC(C(=O)Nc2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2C1=O,001,EDJ-MED-e69ed63d-2,0.332,0.316,0.349,1.03,1.1
CVD-0019354,CC(C)NC(=O)CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,001,EDJ-MED-e69ed63d-1,0.810,0.759,0.865,0.961,1.1
CVD-0019352,CNC(=O)CN1CC(C)(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2S1(=O)=O,001,EDJ-MED-3bfd841e-1,0.248,0.237,0.260,1.06,2.1
CVD-0019351,Clc1ccc2OC3CC(C3)(C(=O)Nc3cncc4cccc(Cl)c34)c2c1,001,EDJ-MED-c3ea9889-8,75.1,56.3,100,1.22,2.3
CVD-0019349,Fc1ccc2c(NC(=O)C34CC(C3)Oc3ccc(Cl)cc43)cncc2c1,001,EDJ-MED-c3ea9889-6,76.6,59.4,98.8,1.32,2.3
