SMILES,TITLE,fragments,CrystalName,CompoundCode,MountingResult,DataCollectionOutcome,DataProcessingResolutionHigh,RefinementOutcome,Deposition_PDB_ID,Hybrid2,docked_fragment,Mpro-x0500_dock,site
c1ccc(cc1)OCc2c3c(cccc3sc2C(=O)NCc4cnccn4)F,x2602,x2602,Mpro-x2602,Z4444622069,OK: Crystalline:No comment,success,1.6,7 - Analysed & Rejected,None,-10.726959,x0678,,active-noncovalent
c1cnccc1CCNC(=O)NC2CCCCC2,x0540,x0540,Mpro-x0540,Z111507846,OK: No comment:No comment,success,1.8,6 - Deposited,5REH,-10.720702,x0967,,active-noncovalent
CC1([C@H](C[C@H]1OCc2ccccc2)NC(=O)C=C)C,x2878,x2878,Mpro-x2878,11 A02,OK: Clear:No comment,success,2.26,7 - Analysed & Rejected,None,-10.708556,x0749,,active-covalent
c1cc(cc(c1)Cl)CNC(=O)Cc2c[nH]c3c2cccn3,x2482,x2482,Mpro-x2482,Z1400783129,OK: Clear:Normal,success,1.83,7 - Analysed & Rejected,None,-10.682974,x0678,,active-noncovalent
c1cc(cc(c1)Cl)CNC(=O)Cc2c[nH]c3c2cccn3,x2650,x2650,Mpro-x2650,Z1400783129,OK: Precipitated:No comment,success,1.76,7 - Analysed & Rejected,None,-10.682974,x0678,,active-noncovalent
c1cc(cc(c1)O)NC(=O)Nc2ccc(cc2)F,x0511,x0511,Mpro-x0511,Z55290386,OK: No comment:No comment,success,2.06,7 - Analysed & Rejected,None,-10.646367,x0678,,active-noncovalent
Cc1cnc(o1)CC(=O)Nc2cccnc2,x2811,x2811,Mpro-x2811,DAR-DIA-842-16,OK: Clear:No comment,success,2.19,7 - Analysed & Rejected,None,-10.643672,x0678,,active-noncovalent
Cc1c([nH]cn1)C[N@@H+]2CCc3ccccc3C2,x0391,x0391,Mpro-x0391,Z2856434879,OK: No comment:No comment,success,1.76,7 - Analysed & Rejected,None,-10.638167,x0161,,active-noncovalent
c1ccc2c(c1)C[C@@H](C[N@]2CC(=O)Nc3cnccn3)C(=O)N,x2585,x2585,Mpro-x2585,Z2599591955,OK: No comment:No comment,success,1.71,7 - Analysed & Rejected,None,-10.617538,x0678,,active-noncovalent
Cc1cccc(c1)NC(=O)Nc2nc(cs2)C,x1245,x1245,Mpro-x1245,Z44602971,OK: No comment:No comment,success,1.47,7 - Analysed & Rejected,None,-10.544705,x0678,,active-noncovalent
Cc1cccc(c1)NC(=O)Nc2nc(cs2)C,x0367,x0367,Mpro-x0367,Z44602971,OK: Precipitated:No comment,Failed - low resolution,4.48,,None,-10.544705,x0678,,active-noncovalent
Cc1nnc(s1)CC(=O)Nc2cccnc2,x2601,x2601,Mpro-x2601,Z4444621942,OK: No comment:No comment,None,None,,None,-10.544547,x0678,,active-noncovalent
c1ccc(cc1)NC(=O)Cc2cncc3c2cccc3,x2563,x2563,Mpro-x2563,Z4444622066,OK: No comment:No comment,success,1.82,6 - Deposited,5RGV,-10.520862,x0678,,active-noncovalent
CN(CC(=O)[O-])C(=O)c1ccccn1,x0508,x0508,Mpro-x0508,Z1171978788,OK: No comment:No comment,success,2.13,7 - Analysed & Rejected,None,-10.517735,x0397,,active-noncovalent
Cn1c2ccccc2nc1[C@@H](c3ccccc3)NC(=O)Cc4cnnn4C,x2800,x2800,Mpro-x2800,BAR-COM-4e0-6,OK: Clear:No comment,success,2.78,7 - Analysed & Rejected,None,-10.500115,x0678,,active-noncovalent
Cc1ccncc1NC(=O)Nc2ccccc2,x2820,x2820,Mpro-x2820,ALE-HEI-f28-1,OK: Clear:No comment,success,2.22,7 - Analysed & Rejected,None,-10.495522,x0678,,active-noncovalent
c1cnc(cn1)C(=O)NCCC2=CCCCC2,x0558,x0558,Mpro-x0558,Z69091635,OK: Precipitated:No comment,success,1.89,7 - Analysed & Rejected,None,-10.487701,x0678,,active-noncovalent
Cc1ccncc1NC(=O)Cc2ccc(cc2)S(=O)(=O)N,x2579,x2579,Mpro-x2579,Z1135790839,OK: Bad Dispense:No comment,None,None,,None,-10.478170,x0107,,active-noncovalent
c1ccc(cc1)C[NH+]2CCC(CC2)n3cccc3,x1287,x1287,Mpro-x1287,Z2856434898,OK: No comment:No comment,success,1.86,7 - Analysed & Rejected,None,-10.477966,x0104,,active-noncovalent
c1ccc(cc1)C[NH+]2CCC(CC2)n3cccc3,x0430,x0430,Mpro-x0430,Z2856434898,OK: No comment:Cracked,success,1.84,7 - Analysed & Rejected,None,-10.477966,x0104,,active-noncovalent
Cc1ccncc1NC(=O)Cc2ccccc2,x2629,x2629,Mpro-x2629,Z1129283253,OK: No comment:No comment,success,1.93,7 - Analysed & Rejected,None,-10.434412,x0678,,active-noncovalent
C[C@H](C(=O)[O-])Oc1ccc(cc1)c2ccccc2,x1204,x1204,Mpro-x1204,Z111782404,OK: No comment:No comment,None,None,,None,-10.414139,x0678,,active-noncovalent
C[C@H](C(=O)[O-])Oc1ccc(cc1)c2ccccc2,x0301,x0301,Mpro-x0301,Z111782404,OK: No comment:No comment,success,2.95,7 - Analysed & Rejected,None,-10.414139,x0678,,active-noncovalent
c1cc(ccc1NC(=O)Nc2ccc(cc2)F)F,x0632,x0632,Mpro-x0632,Z44586758,Mounted_Clear,success,1.85,7 - Analysed & Rejected,None,-10.410782,x0678,,active-noncovalent
c1cc(ccc1N2CCC(CC2)c3ccncc3)S(=O)(=O)N,x2568,x2568,Mpro-x2568,Z3076880033,OK: No comment:No comment,success,1.76,7 - Analysed & Rejected,None,-10.408019,x0195,,active-noncovalent
Cc1ccncc1NC(=O)Cc2cccc(c2)Cl,x2478,x2478,Mpro-x2478,Z1129289650,OK: Clear:Normal,success,2.41,3 - In Refinement,None,-10.387289,x0678,,active-noncovalent
Cc1ccncc1NC(=O)Cc2cccc(c2)Cl,x2646,x2646,Mpro-x2646,Z1129289650,OK: No comment:No comment,success,1.83,6 - Deposited,5RH2,-10.387289,x0678,,active-noncovalent
c1ccc(cc1)NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,x2848,x2848,Mpro-x2848,WAR-XCH-b68-29,OK: Clear:No comment,success,1.91,7 - Analysed & Rejected,None,-10.363422,x0072,,active-noncovalent
CNC(=O)C[N@H+](C)C1CCCCCC1,x0626,x0626,Mpro-x0626,Z204776284,Mounted_Clear,None,None,,None,-10.361785,x0678,,active-noncovalent
Cc1ncc(s1)CNc2cc(cnc2)F,x0404,x0404,Mpro-x0404,Z1983897532,OK: No comment:No comment,success,2.42,7 - Analysed & Rejected,None,-10.347001,x0678,,active-noncovalent
Cc1ncc(s1)CNc2cc(cnc2)F,x1272,x1272,Mpro-x1272,Z1983897532,OK: No comment:No comment,success,3.22,7 - Analysed & Rejected,None,-10.347001,x0678,,active-noncovalent
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],x2659,x2659,Mpro-x2659,Z1530425063,OK: No comment:Cracked,success,1.34,6 - Deposited,5RH4,-10.343470,x0749,,active-covalent
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],x2491,x2491,Mpro-x2491,Z1530425063,OK: Clear:Normal,success,1.82,3 - In Refinement,None,-10.343470,x0749,,active-covalent
c1cc(ccc1C(=O)N)NC(=O)c2cnccn2,x0531,x0531,Mpro-x0531,Z30242120,OK: No comment:No comment,Failed - low resolution,3.72,,None,-10.329702,x0678,,active-noncovalent
c1cc(ccc1C(=O)N)NC(=O)c2cnccn2,x1255,x1255,Mpro-x1255,Z30242120,OK: No comment:No comment,success,3.18,7 - Analysed & Rejected,None,-10.329702,x0678,,active-noncovalent
c1ccc(c(c1)C(=O)NC[C@@H](Cn2ccnn2)O)OC3CCC3,x2596,x2596,Mpro-x2596,Z2305221270,OK: Bad Dispense:Cracked,success,1.85,7 - Analysed & Rejected,None,-10.300408,x0678,,active-noncovalent
Cc1ccc(cc1)OCC(=O)Nc2cc(on2)C,x0655,x0655,Mpro-x0655,Z19731563,Mounted_Clear,success,2.14,7 - Analysed & Rejected,None,-10.299666,x0678,,active-noncovalent
CCn1cc(cn1)CNC(=O)c2cccnc2,x0389,x0389,Mpro-x0389,Z275181224,OK: No comment:No comment,success,1.85,7 - Analysed & Rejected,None,-10.282750,x0107,,active-noncovalent
Cc1c(cncn1)NC(=O)Nc2ccccc2,x2618,x2618,Mpro-x2618,Z4444621905,OK: No comment:No comment,success,1.66,7 - Analysed & Rejected,None,-10.278812,x0678,,active-noncovalent
c1ccc(cc1)NC(=O)Nc2cccnc2,x0434,x0434,Mpro-x0434,Z44592329,OK: No comment:No comment,success,1.58,6 - Deposited,5R83,-10.248122,x0678,,active-noncovalent
c1cc(cc(c1)N2CCC2=O)NC(=O)NCc3cccnn3,x2626,x2626,Mpro-x2626,Z1931403851,OK: No comment:No comment,success,2.27,7 - Analysed & Rejected,None,-10.245558,x0397,,active-noncovalent
c1ccc(cc1)CC2CCN(CC2)C(=O)CC#N,x0127,x0127,Mpro-x0127,Z1688493887,OK: Phase Separation:Normal,success,1.82,7 - Analysed & Rejected,None,-10.243844,x0749,,active-covalent
c1ccc(c(c1)CNc2[nH]c3ccccc3n2)O,x0390,x0390,Mpro-x0390,Z1587220559,OK: No comment:No comment,success,1.73,6 - Deposited,5REC,-10.243726,x0434,,active-noncovalent
c1cc(c(cc1C(F)(F)F)N)N2CCCCC2,x0219,x0219,Mpro-x0219,Z56792776,OK: Clear:Cracked,success,1.69,7 - Analysed & Rejected,None,-10.238253,x0749,,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1440,x1440,Mpro-x1440,PCM-0102432,OK: No comment:No comment,success,1.98,7 - Analysed & Rejected,None,-10.232087,x0831,,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1337,x1337,Mpro-x1337,PCM-0102432,OK: No comment:No comment,success,1.82,7 - Analysed & Rejected,None,-10.232087,x0831,,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1373,x1373,Mpro-x1373,PCM-0102432,OK: No comment:No comment,success,1.77,7 - Analysed & Rejected,None,-10.232087,x0831,,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1492,x1492,Mpro-x1492,PCM-0102432,OK: No comment:No comment,success,1.71,7 - Analysed & Rejected,None,-10.232087,x0831,,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x0702,x0702,Mpro-x0702,PCM-0102432,OK: Clear:Normal,success,1.86,7 - Analysed & Rejected,None,-10.232087,x0831,,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1470,x1470,Mpro-x1470,PCM-0102432,OK: No comment:No comment,success,1.69,7 - Analysed & Rejected,None,-10.232087,x0831,,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x0776,x0776,Mpro-x0776,PCM-0102432,OK: Clear:Normal,success,2.99,7 - Analysed & Rejected,None,-10.232087,x0831,,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1392,x1392,Mpro-x1392,PCM-0102432,OK: No comment:No comment,success,1.58,6 - Deposited,5RFT,-10.232087,x0831,,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1420,x1420,Mpro-x1420,PCM-0102432,OK: No comment:No comment,success,1.98,7 - Analysed & Rejected,None,-10.232087,x0831,,active-covalent
Cn1cc(nn1)CNC(=O)N(CCc2ccccc2)Cc3cccnc3,x2825,x2825,Mpro-x2825,BAR-COM-4e0-47,OK: Clear:No comment,success,3.18,7 - Analysed & Rejected,None,-10.219568,x0678,,active-noncovalent
CC(=O)N[C@H](Cc1ccc(cc1)O)C(=O)NCC#CBr,x0967,x0967,Mpro-x0967,NCL-00024905,OK: No comment:No comment,success,1.65,6 - Deposited,5RG1,-10.207242,x0678,,active-noncovalent
c1cc(cc(c1)NC(=O)[C@H](c2cccnc2)O)c3cc[nH]n3,x2835,x2835,Mpro-x2835,BAR-COM-4e0-68,OK: Clear:No comment,success,1.79,7 - Analysed & Rejected,None,-10.195171,x0195,,active-noncovalent
c1cc(oc1)CNC(=O)Nc2ccc(cc2)F,x0453,x0453,Mpro-x0453,Z44584202,OK: No comment:Cracked,None,None,,None,-10.193295,x1093,,active-noncovalent
c1ccc(cc1)c2ccc(cc2)n3cnnn3,x0042,x0042,Mpro-x0042,Z57479285,OK: No comment:No comment,success,2.56,7 - Analysed & Rejected,None,-10.162877,x0749,,active-covalent
c1ccc(cc1)c2ccc(cc2)n3cnnn3,x1055,x1055,Mpro-x1055,Z57479285,OK: Clear:Normal,success,1.56,7 - Analysed & Rejected,None,-10.162877,x0749,,active-covalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)F,x0104,x0104,Mpro-x0104,Z1220452176,OK: No comment:No comment,success,1.59,6 - Deposited,5R7Z,-10.150834,x0195,,active-noncovalent
C[C@H]1CCC[C@H](C1)OCc2cccc(c2)NC(=O)N[C@@H](C)c3cc[nH]n3,x2821,x2821,Mpro-x2821,BAR-COM-4e0-63,OK: Clear:No comment,success,1.87,7 - Analysed & Rejected,None,-10.126563,x0195,,active-noncovalent
Cc1ccc(cc1)Nc2c3c[nH]nc3ncn2,x1233,x1233,Mpro-x1233,Z57101343,OK: Precipitated:No comment,success,1.27,7 - Analysed & Rejected,None,-10.091614,x0072,,active-noncovalent
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cc3)Cl,x2647,x2647,Mpro-x2647,Z1400780364,OK: No comment:No comment,success,1.87,7 - Analysed & Rejected,None,-10.089762,x0678,,active-noncovalent
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cc3)Cl,x2479,x2479,Mpro-x2479,Z1400780364,OK: Crystalline:Normal,success,1.84,7 - Analysed & Rejected,None,-10.089762,x0678,,active-noncovalent
Cc1cc(no1)C(=O)Nc2ccc3c(c2)cc[nH]3,x0459,x0459,Mpro-x0459,Z1190787729,OK: No comment:No comment,success,1.95,7 - Analysed & Rejected,None,-10.088093,x0678,,active-noncovalent
Cc1ccncc1NC(=O)CCNc2ccc(cc2)S(=O)(=O)N,x2853,x2853,Mpro-x2853,GAB-REV-70c-3,OK: Clear:No comment,success,2.03,7 - Analysed & Rejected,None,-10.081774,x0107,,active-noncovalent
Cc1ccc(c(c1)OC(=O)c2ccncc2)C,x0607,x0607,Mpro-x0607,Z30891796,OK: No comment:No comment,success,1.77,7 - Analysed & Rejected,None,-10.074556,x0749,,active-covalent
Cc1nnc(s1)NC(=O)Nc2cccnc2,x2613,x2613,Mpro-x2613,Z798924654,OK: Precipitated:No comment,success,2.03,7 - Analysed & Rejected,None,-10.058550,x0678,,active-noncovalent
Cc1ccc(s1)NC(=O)Nc2cccnc2,x2608,x2608,Mpro-x2608,Z1286870272,OK: No comment:No comment,success,1.92,6 - Deposited,5RH0,-10.044557,x0678,,active-noncovalent
c1cc(ccc1N2CCN(CC2)C(=O)C3CC3)F,x1251,x1251,Mpro-x1251,Z30620520,OK: No comment:No comment,success,1.71,7 - Analysed & Rejected,None,-10.040556,x0749,,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)C3CC3)F,x0490,x0490,Mpro-x0490,Z30620520,OK: No comment:No comment,Failed - low resolution,4.24,,None,-10.040556,x0749,,active-covalent
Cc1ccc(cc1)CC(=O)Nc2nccs2,x0095,x0095,Mpro-x0095,Z90713255,OK: No comment:No comment,success,2.14,7 - Analysed & Rejected,None,-10.034944,x0678,,active-noncovalent
Cc1c(cnn1C)C(=O)NCC2CCC2,x0408,x0408,Mpro-x0408,Z396380540,OK: No comment:No comment,success,2.75,7 - Analysed & Rejected,None,-10.012135,x0678,,active-noncovalent
Cc1c(cnn1C)C(=O)NCC2CCC2,x1079,x1079,Mpro-x1079,Z396380540,OK: Clear:Normal,success,1.79,7 - Analysed & Rejected,None,-10.012135,x0678,,active-noncovalent
c1ccc(cc1)C2CC[NH+](CC2)CC(=O)[O-],x0210,x0210,Mpro-x0210,Z287148438,OK: Clear:Normal,success,1.81,7 - Analysed & Rejected,None,-10.005326,x0678,,active-noncovalent
c1ccc(cc1)[C@H](C[NH+]2CCOCC2)NC(=O)CCn3ccnn3,x2605,x2605,Mpro-x2605,Z296475158,OK: No comment:No comment,success,1.73,7 - Analysed & Rejected,None,-10.001107,x0678,,active-noncovalent
c1ccc2c(c1)c(cc(n2)Cl)NC(=O)C3CCN(CC3)C(=O)CCl,x2724,x2724,Mpro-x2724,PG-COV-17,OK: Clear:No comment,success,2.35,7 - Analysed & Rejected,None,-9.996580,x0831,,active-covalent
c1ccc2c(c1)c(cc(n2)Cl)NC(=O)C3CCN(CC3)C(=O)CCl,x2048,x2048,Mpro-x2048,PG-COV-17,OK: No comment:No comment,success,1.53,7 - Analysed & Rejected,None,-9.996580,x0831,,active-covalent
CC(=O)N1CCC(CC1)[NH2+]CCc2ccccc2,x0494,x0494,Mpro-x0494,Z2856434883,OK: No comment:No comment,success,2.38,7 - Analysed & Rejected,None,-9.992181,x0678,,active-noncovalent
c1ccc(cc1)C(=O)/C=C/c2cccc(c2)N(=O)=O,x2881,x2881,Mpro-x2881,SKRS 01-36,OK: Clear:No comment,success,1.92,7 - Analysed & Rejected,None,-9.984150,x0749,,active-covalent
C=CC(=O)Nc1cc(cc(c1)F)N2CCCC2,x2877,x2877,Mpro-x2877,10 B09,OK: Clear:No comment,success,3.3,7 - Analysed & Rejected,None,-9.966409,x0749,,active-covalent
COc1ccc(cc1)C(=O)C2CC[NH2+]CC2,x0149,x0149,Mpro-x0149,Z1741973467,OK: Precipitated:Normal,success,1.93,7 - Analysed & Rejected,None,-9.966073,x0749,,active-covalent
Cc1ccccc1CNc2ccccc2NC(=O)[C@H](c3cccnc3)O,x2597,x2597,Mpro-x2597,Z1644866655,OK: No comment:No comment,success,2.34,7 - Analysed & Rejected,None,-9.960861,x0678,,active-noncovalent
Cc1nc(on1)C[C@H](c2ccccc2)[NH3+],x0288,x0288,Mpro-x0288,Z2442269480,OK: No comment:No comment,success,1.71,7 - Analysed & Rejected,None,-9.955351,x0678,,active-noncovalent
Cc1nc(on1)C[C@H](c2ccccc2)[NH3+],x1140,x1140,Mpro-x1140,Z2442269480,OK: No comment:No comment,success,1.85,7 - Analysed & Rejected,None,-9.955351,x0678,,active-noncovalent
Cc1nc(cs1)C[NH+]2CCC(CC2)C[NH3+],x0461,x0461,Mpro-x0461,Z1259335913,OK: No comment:No comment,success,1.8,7 - Analysed & Rejected,None,-9.916791,x0678,,active-noncovalent
CC(C)[NH+]1CCN(CC1)C(=O)c2cccs2,x0442,x0442,Mpro-x0442,Z2856434826,OK: No comment:No comment,success,1.82,7 - Analysed & Rejected,None,-9.915393,x0104,,active-noncovalent
C[C@@H](c1cnccn1)C(=O)Nc2cccc(c2)O[C@H]3CC(=O)N3,x2829,x2829,Mpro-x2829,BAR-COM-4e0-53,OK: Clear:No comment,success,2.29,7 - Analysed & Rejected,None,-9.905735,x0195,,active-noncovalent
CS(=O)(=O)Nc1cccc(c1)C(=O)Oc2cccc(c2)N3CCCC3=O,x2858,x2858,Mpro-x2858,MAK-UNK-915-7,OK: Clear:No comment,success,2.16,7 - Analysed & Rejected,None,-9.903871,x0161,,active-noncovalent
c1ccc2c(c1)ncn2Cc3ccc(cc3)F,x0505,x0505,Mpro-x0505,Z26333448,OK: No comment:No comment,success,1.72,7 - Analysed & Rejected,None,-9.898929,x0749,,active-covalent
c1ccc(cc1)OCC(=O)N2CCNC(=O)C2,x0414,x0414,Mpro-x0414,Z31602870,OK: No comment:No comment,success,1.75,7 - Analysed & Rejected,None,-9.892899,x0678,,active-noncovalent
c1ccc(cc1)[C@@H]2C[C@H]2C(=O)Nc3nccs3,x0362,x0362,Mpro-x0362,Z2064107709,OK: No comment:No comment,success,2.47,7 - Analysed & Rejected,None,-9.891851,x0678,,active-noncovalent
C[C@H](c1nc(no1)Cc2ccccc2)[NH3+],x0243,x0243,Mpro-x0243,Z2442288995,OK: No comment:No comment,success,1.8,7 - Analysed & Rejected,None,-9.891538,x0107,,active-noncovalent
C[C@H](c1nc(no1)Cc2ccccc2)[NH3+],x1151,x1151,Mpro-x1151,Z2442288995,OK: No comment:No comment,success,1.6,7 - Analysed & Rejected,None,-9.891538,x0107,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)O,x2462,x2462,Mpro-x2462,N-Ac-5-hydroxytryptamine,OK: Clear:Normal,success,1.96,7 - Analysed & Rejected,None,-9.873528,x0195,,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)O,x2362,x2362,Mpro-x2362,N-Ac-5-hydroxytryptamine,OK: Clear:Normal,None,None,,None,-9.873528,x0195,,active-noncovalent
c1cc(ccc1NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N)F,x2822,x2822,Mpro-x2822,WAR-XCH-b68-26,OK: Clear:No comment,success,2.24,7 - Analysed & Rejected,None,-9.858924,x0072,,active-noncovalent
C[C@H](c1ccccc1)[NH+]2CCN(CC2)C(=O)CCl,x0699,x0699,Mpro-x0699,PCM-0102710,OK: Clear:Normal,success,1.88,7 - Analysed & Rejected,None,-9.851532,x0831,,active-covalent
C[C@H](c1ccccc1)[NH+]2CCN(CC2)C(=O)CCl,x1370,x1370,Mpro-x1370,PCM-0102710,OK: No comment:No comment,success,2.14,7 - Analysed & Rejected,None,-9.851532,x0831,,active-covalent
C[C@H](c1ccccc1)[NH+]2CCN(CC2)C(=O)CCl,x0773,x0773,Mpro-x0773,PCM-0102710,OK: Clear:Normal,success,1.84,7 - Analysed & Rejected,None,-9.851532,x0831,,active-covalent
CCOC(=O)C1CCN(CC1)c2cnccn2,x0393,x0393,Mpro-x0393,Z31217395,OK: No comment:No comment,success,1.73,7 - Analysed & Rejected,None,-9.851280,x0678,,active-noncovalent
c1cc(cnc1)NC(=O)Nc2cc(cnc2)Cl,x2850,x2850,Mpro-x2850,Z4444621923,OK: Clear:No comment,success,2.14,7 - Analysed & Rejected,None,-9.845115,x0107,,active-noncovalent
CS(=O)(=O)Cc1ccc(o1)C(=O)Nc2cccnc2,x2642,x2642,Mpro-x2642,Z995832158,OK: No comment:No comment,success,1.89,7 - Analysed & Rejected,None,-9.845098,x0107,,active-noncovalent
CS(=O)(=O)Cc1ccc(o1)C(=O)Nc2cccnc2,x2474,x2474,Mpro-x2474,Z995832158,OK: Clear:Normal,success,1.85,7 - Analysed & Rejected,None,-9.845098,x0107,,active-noncovalent
c1cc(cc(c1)Cl)NC(=O)Cc2c[nH]c3c2cccn3,x2480,x2480,Mpro-x2480,Z1400781098,OK: Clear:Normal,success,1.9,7 - Analysed & Rejected,None,-9.791058,x0397,,active-noncovalent
c1cc(cc(c1)Cl)NC(=O)Cc2c[nH]c3c2cccn3,x2648,x2648,Mpro-x2648,Z1400781098,OK: Precipitated:Cracked,success,2.3,7 - Analysed & Rejected,None,-9.791058,x0397,,active-noncovalent
c1ccc(cc1)CCCc2cccc(c2)NC(=O)Cc3cncnc3,x2599,x2599,Mpro-x2599,Z2172190193,OK: Precipitated:No comment,success,1.71,7 - Analysed & Rejected,None,-9.786640,x0678,,active-noncovalent
c1cc(cc(c1)F)C[NH2+]Cc2ccco2,x0350,x0350,Mpro-x0350,Z2737076969,OK: No comment:No comment,success,1.81,6 - Deposited,5RE8,-9.775595,x1093,,active-noncovalent
c1cnccc1c2nc(on2)C3CCCCC3,x0437,x0437,Mpro-x0437,Z57715447,OK: No comment:No comment,success,2.46,7 - Analysed & Rejected,None,-9.766360,x0749,,active-covalent
