SMILES,TITLE,fragments,CrystalName,CompoundCode,MountingResult,DataCollectionOutcome,DataProcessingResolutionHigh,RefinementOutcome,Deposition_PDB_ID,Hybrid2,docked_fragment,Mpro-x2643_dock,site,run
CNC(=O)OC1CCN(CC1)C(=O)c2ccccc2,x2857,x2857,Mpro-x2857,GIA-UNK-595-2,OK: Clear:No comment,success,2.55,7 - Analysed & Rejected,None,-9.340299,x0104,,active-noncovalent,RUN73
c1ccc(c(c1)C(=O)N)NC(=O)c2ccncc2,x0472,x0472,Mpro-x0472,Z91797745,OK: No comment:No comment,success,1.62,7 - Analysed & Rejected,None,-9.338719,x0749,,active-covalent,RUN74
CCC(=O)NCC[C@@H]1CCc2c1c3c(cc2)OCC3,x2674,x2674,Mpro-x2674,Z2037281108,OK: No comment:No comment,success,2.23,7 - Analysed & Rejected,None,-9.332843,x0104,,active-noncovalent,RUN75
c1cc(cc(c1)Cl)N2CCN(CC2)CC#N,x0571,x0571,Mpro-x0571,Z2856434806,OK: Phase Separation:No comment,Failed - low resolution,3.76,,None,-9.320927,x0749,,active-covalent,RUN76
CC(=O)N1CC[NH+](CC1)CCCc2ccccc2,x0501,x0501,Mpro-x0501,Z2856434884,OK: No comment:No comment,success,1.76,7 - Analysed & Rejected,None,-9.310516,x0678,,active-noncovalent,RUN77
c1ccc(cc1)CNC(=O)c2cccc(c2)F,x0549,x0549,Mpro-x0549,Z27749656,OK: Crystalline:Cracked,success,2.2,7 - Analysed & Rejected,None,-9.303605,x1093,,active-noncovalent,RUN78
COC(=O)N1CCN(CC1)c2ccc(cc2)F,x0570,x0570,Mpro-x0570,Z192955056,OK: No comment:Cracked,None,None,,None,-9.301781,x0749,,active-covalent,RUN79
c1ccc(cc1)C#CC[NH+]2CCCCC2,x1279,x1279,Mpro-x1279,Z57257264,OK: No comment:No comment,success,2.17,7 - Analysed & Rejected,None,-9.289313,x0195,,active-noncovalent,RUN80
c1ccc(cc1)C#CC[NH+]2CCCCC2,x1059,x1059,Mpro-x1059,Z57257264,OK: Clear:Normal,success,2.31,7 - Analysed & Rejected,None,-9.289313,x0195,,active-noncovalent,RUN81
c1nncn1NC(=O)CC2CCCCC2,x1285,x1285,Mpro-x1285,Z57261895,OK: No comment:No comment,success,1.62,7 - Analysed & Rejected,None,-9.278269,x0678,,active-noncovalent,RUN82
c1nncn1NC(=O)CC2CCCCC2,x1081,x1081,Mpro-x1081,Z57261895,OK: Clear:Normal,success,1.65,7 - Analysed & Rejected,None,-9.278269,x0678,,active-noncovalent,RUN83
CN(CCc1ccccn1)C(=O)c2ccccc2,x1257,x1257,Mpro-x1257,Z68277692,OK: No comment:No comment,success,1.52,7 - Analysed & Rejected,None,-9.243225,x0397,,active-noncovalent,RUN84
CN(CCc1ccccn1)C(=O)c2ccccc2,x0568,x0568,Mpro-x0568,Z68277692,OK: No comment:No comment,Failed - low resolution,4.34,,None,-9.243225,x0397,,active-noncovalent,RUN85
c1ccc(cc1)C[N@@H+]2CCO[C@@H](C2)CO,x0574,x0574,Mpro-x0574,Z1259086950,OK: No comment:Cracked,success,1.88,7 - Analysed & Rejected,None,-9.206902,x0678,,active-noncovalent,RUN86
c1ccc(cc1)CC(=O)N2CCc3c2cccc3,x0090,x0090,Mpro-x0090,Z30624464,OK: No comment:No comment,success,1.54,7 - Analysed & Rejected,None,-9.179364,x0749,,active-covalent,RUN87
CC(=O)N1CCC(CC1)c2c[nH]c3c2cccc3,x0062,x0062,Mpro-x0062,Z223388508,OK: No comment:No comment,success,2.07,7 - Analysed & Rejected,None,-9.172703,x0072,,active-noncovalent,RUN88
C[NH2+][C@@H]1CCN(C1=O)c2ccccc2F,x1164,x1164,Mpro-x1164,Z1186029914,OK: No comment:No comment,success,1.85,7 - Analysed & Rejected,None,-9.170418,x0195,,active-noncovalent,RUN89
c1ccc2c(c1)ncn2Cc3ccc(cc3)C#N,x0486,x0486,Mpro-x0486,Z26333434,OK: No comment:No comment,success,2.06,7 - Analysed & Rejected,None,-9.151552,x0749,,active-covalent,RUN90
CC[C@H](c1ccccc1OCC(=O)N2CCCC2)NC(=O)NCc3cnccn3,x2824,x2824,Mpro-x2824,BAR-COM-4e0-27,OK: Clear:No comment,success,2.06,7 - Analysed & Rejected,None,-9.135799,x0072,,active-noncovalent,RUN91
CS(=O)(=O)Nc1ccc(cc1)c2ccccc2,x0582,x0582,Mpro-x0582,Z45641455,OK: Precipitated:No comment,Failed - low resolution,3.6,,None,-9.133917,x0161,,active-noncovalent,RUN92
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x2667,x2667,Mpro-x2667,Z291278798,OK: No comment:No comment,success,1.7,7 - Analysed & Rejected,None,-9.132237,x0749,,active-covalent,RUN93
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x0818,x0818,Mpro-x0818,PCM-0102972,OK: Clear:Normal,Failed - low resolution,3.53,,None,-9.132237,x0749,,active-covalent,RUN94
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,x0738,x0738,Mpro-x0738,PCM-0102972,OK: Clear:Normal,None,None,,None,-9.132237,x0749,,active-covalent,RUN95
Cc1c(cco1)C(=O)N2CCc3c2cccc3,x0533,x0533,Mpro-x0533,Z89307993,OK: No comment:No comment,success,3.25,7 - Analysed & Rejected,None,-9.126317,x0749,,active-covalent,RUN96
CCOC(=O)c1cc(no1)c2ccc(cc2)C,x1062,x1062,Mpro-x1062,Z793500562,OK: Clear:Normal,success,1.56,7 - Analysed & Rejected,None,-9.125563,x0749,,active-covalent,RUN97
Cc1ccc(cc1O)NC(=O)c2cccc(c2)F,x0596,x0596,Mpro-x0596,Z1430613393,OK: No comment:No comment,success,2.31,7 - Analysed & Rejected,None,-9.122139,x0749,,active-covalent,RUN98
CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC#CBr,x0968,x0968,Mpro-x0968,NCL-00024907,OK: No comment:No comment,success,1.94,7 - Analysed & Rejected,None,-9.117947,x0678,,active-noncovalent,RUN99
CCC(=O)Nc1c2ccccc2oc1C(=O)N,x1063,x1063,Mpro-x1063,Z108545814,OK: Crystalline:Normal,success,1.44,7 - Analysed & Rejected,None,-9.109912,x0195,,active-noncovalent,RUN100
Cc1cc(on1)C(=O)NC[C@@H]2CCOC2,x1165,x1165,Mpro-x1165,Z384361454,OK: No comment:No comment,success,1.77,7 - Analysed & Rejected,None,-9.108032,x0678,,active-noncovalent,RUN101
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cn3)Cl,x2676,x2676,Mpro-x2676,Z1593808911,OK: No comment:No comment,success,2.19,7 - Analysed & Rejected,None,-9.105130,x0749,,active-covalent,RUN102
COc1ccc(cc1)N2CCN(CC2)C(=O)CCl,x0720,x0720,Mpro-x0720,PCM-0102254,OK: Clear:Normal,success,1.9,7 - Analysed & Rejected,None,-9.104680,x0749,,active-covalent,RUN103
COc1ccc(cc1)N2CCN(CC2)C(=O)CCl,x1347,x1347,Mpro-x1347,PCM-0102254,OK: No comment:No comment,None,None,,None,-9.104680,x0749,,active-covalent,RUN104
c1c(cn(n1)CC(=O)[O-])Br,x0956,x0956,Mpro-x0956,NCL-00024890,OK: No comment:No comment,None,None,,None,-9.091599,x0397,,active-noncovalent,RUN105
CC(=O)NCCc1c[nH]c2c1cc(c(c2)O)OC,x2463,x2463,Mpro-x2463,6-hydroxymelatonin,OK: Clear:Normal,success,3.21,7 - Analysed & Rejected,None,-9.089545,x0104,,active-noncovalent,RUN106
CC(=O)NCCc1c[nH]c2c1cc(c(c2)O)OC,x2357,x2357,Mpro-x2357,6-hydroxymelatonin,OK: Clear:Normal,None,None,,None,-9.089545,x0104,,active-noncovalent,RUN107
CC(=O)N1CCN(CC1)S(=O)(=O)c2cccs2,x2664,x2664,Mpro-x2664,Z29501928,OK: No comment:No comment,success,1.93,7 - Analysed & Rejected,None,-9.079074,x0072,,active-noncovalent,RUN108
CC(=O)N1CCN(CC1)S(=O)(=O)c2cccs2,x2496,x2496,Mpro-x2496,Z29501928,OK: Clear:Normal,success,1.83,7 - Analysed & Rejected,None,-9.079074,x0072,,active-noncovalent,RUN109
c1ccc(cc1)NC(=O)NCc2ccc(cc2)F,x0498,x0498,Mpro-x0498,Z44609285,OK: No comment:No comment,success,1.57,7 - Analysed & Rejected,None,-9.076805,x0678,,active-noncovalent,RUN110
C[C@H](c1cn(nn1)c2ccccc2)[NH3+],x0083,x0083,Mpro-x0083,Z2527301677,OK: No comment:No comment,Failed - low resolution,3.72,,None,-9.072893,x0195,,active-noncovalent,RUN111
CC(=O)N1CCN(CC1)S(=O)(=O)c2cccc(c2)F,x2656,x2656,Mpro-x2656,Z30722976,OK: No comment:No comment,success,1.79,7 - Analysed & Rejected,None,-9.055698,x0072,,active-noncovalent,RUN112
CC(=O)N1CCN(CC1)S(=O)(=O)c2cccc(c2)F,x2488,x2488,Mpro-x2488,Z30722976,OK: Clear:Normal,success,2.1,7 - Analysed & Rejected,None,-9.055698,x0072,,active-noncovalent,RUN113
Cc1ccnc(c1)NC(=O)C[NH2+]C,x0584,x0584,Mpro-x0584,Z927746322,OK: No comment:No comment,success,2.01,7 - Analysed & Rejected,None,-9.047160,x0195,,active-noncovalent,RUN114
Cc1cccc(c1)C(=O)Nc2ccc(cc2O)C,x0488,x0488,Mpro-x0488,Z33452549,OK: No comment:No comment,success,1.8,7 - Analysed & Rejected,None,-9.044549,x0195,,active-noncovalent,RUN115
c1ccc(cc1)OCC(=O)NC2CCCCC2,x0460,x0460,Mpro-x0460,Z19735904,OK: No comment:No comment,success,1.7,7 - Analysed & Rejected,None,-9.040543,x1093,,active-noncovalent,RUN116
c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,x0441,x0441,Mpro-x0441,Z32327641,OK: No comment:No comment,success,2.51,7 - Analysed & Rejected,None,-8.991626,x0195,,active-noncovalent,RUN117
c1cc(c(nc1)NCC2CCOCC2)F,x0504,x0504,Mpro-x0504,Z1373430305,OK: No comment:No comment,success,1.68,7 - Analysed & Rejected,None,-8.984223,x0072,,active-noncovalent,RUN118
CC(=O)N1CCN(CC1)c2ccc(cc2)Cl,x0056,x0056,Mpro-x0056,Z275165822,OK: No comment:No comment,success,2.04,7 - Analysed & Rejected,None,-8.982459,x0749,,active-covalent,RUN119
CC(=O)N1CC[C@@H]2[C@]1(C2)C(=O)c3cccnc3,x0932,x0932,Mpro-x0932,POB0163,OK: No comment:No comment,None,None,,None,-8.980422,x0195,,active-noncovalent,RUN120
c1cc(sc1)C(=O)N2CCN(CC2)C(=O)CCl,x0758,x0758,Mpro-x0758,PCM-0102306,OK: Clear:Normal,success,1.75,7 - Analysed & Rejected,None,-8.973487,x0749,,active-covalent,RUN121
