compound_name,compound_structure,measurement,qualifier,reassigned_structure
EDJ-MED-705e09b8-1,CNC(=O)CN1Cc2ccc(cc2C3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,6.6,=,
ALP-POS-ecbed2ba-22,c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)CC#N,6.5,=,
ALP-POS-ecbed2ba-21,CN(CCOC)S(=O)(=O)N1Cc2ccc(cc2C3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,6,=,
ALP-POS-ecbed2ba-20,c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)N6CCC6,6.5,=,
ALP-POS-ecbed2ba-18,CCN(C)S(=O)(=O)N1Cc2ccc(cc2C3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,6.2,=,
ALP-POS-ecbed2ba-16,CN(CCC#N)S(=O)(=O)N1Cc2ccc(cc2C3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,6.2,=,
ALP-POS-ecbed2ba-14,c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)CC(=O)NCC#N,6.6,=,
ALP-POS-ecbed2ba-13,CC(C)(CS(=O)(=O)N1Cc2ccc(cc2C3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl)C#N,6.3,=,
ALP-POS-ecbed2ba-12,c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)CC(=O)NCC6CC6,7.1,=,
ALP-POS-ecbed2ba-11,c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CCOCC6)C#N,6.5,=,
ALP-POS-ecbed2ba-10,COC1CN(C1)S(=O)(=O)N2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5cccc6)Cl,6.7,=,
ALP-POS-ecbed2ba-9,c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)N6CC(C6)C#N,6.7,=,
ALP-POS-ecbed2ba-8,c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CCC6)C#N,6.6,=,
MAT-POS-576f7758-1,CNC(=O)C1(CC1)N2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5cccc6)Cl,7.1,=,
ALP-POS-ecbed2ba-6,COC1(CC1)CS(=O)(=O)N2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5cccc6)Cl,6.4,=,
ALP-POS-ecbed2ba-5,c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6CS(=O)(=O)C6,6.5,=,
ALP-POS-ecbed2ba-3,CC1(CC1)CS(=O)(=O)N2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5cccc6)Cl,6.6,=,
ALP-POS-ecbed2ba-2,c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CCS(=O)(=O)CC6)C#N,6.7,=,
ALP-POS-ecbed2ba-1,CC1(CS(=O)(=O)C1)CS(=O)(=O)N2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5cccc6)Cl,6.8,=,
MAT-POS-853c0ffa-22,CC1(CC1)CS(=O)(=O)N2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5ccc(c6)S(=O)(=O)C)Cl,6.8,=,
MAT-POS-853c0ffa-16,COC1(CC1)CS(=O)(=O)N2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5ccc(c6)S(=O)(=O)C)Cl,6.4,=,
MAT-POS-853c0ffa-15,CS(=O)(=O)c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)C#N,7,=,
MAT-POS-853c0ffa-13,c1cc2cncc(c2cc1F)N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)C#N,6.1,=,
MAT-POS-853c0ffa-10,CN(C)CCOc1ccc2cncc(c2c1)N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)OC,6.7,=,
MAT-POS-38eb6498-1,CN(C)CCOc1ccc2cncc(c2c1)N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)C#N,6.8,=,
MAT-POS-853c0ffa-6,c1cc2c(cc1Cl)C3(CCN(C3=O)c4cncc5c4c(cc(c5)F)Cl)CN(C2)S(=O)(=O)CC6(CC6)C#N,4.6,=,
MAT-POS-1d5ab790-1,c1cc2cncc(c2c(c1)Cl)N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)C#N,5.1,=,
MAT-POS-1d5ab790-3,CNC(=O)CN1CC2(CCN(C2=O)c3cncc4c3c(ccc4)Cl)c5cc(ccc5C1=O)Cl,5.8,=,
LUO-POS-868e8996-10,c1ccc2c(c1)cncc2N3C(=O)C[C@]4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)C#N,4.5,=,
LUO-POS-868e8996-9,c1ccc2c(c1)cncc2N3C(=O)C[C@@]4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)C#N,7.3,>,
LUO-POS-868e8996-8,CNC(=O)CN1C[C@@]2(CC(=O)N(C2=O)c3cncc4c3cccc4)c5cc(ccc5C1=O)Cl,4.1,=,YES
LUO-POS-868e8996-7,CNC(=O)CN1C[C@]2(CC(=O)N(C2=O)c3cncc4c3cccc4)c5cc(ccc5C1=O)Cl,6.9,=,YES
LUO-POS-868e8996-2,C[C@@]1(CN(S(=O)(=O)c2c1cc(cc2)Cl)CC(=O)NC)C(=O)Nc3cncc4c3cccc4,4.8,=,YES
LUO-POS-868e8996-1,C[C@]1(CN(S(=O)(=O)c2c1cc(cc2)Cl)CC(=O)NC)C(=O)Nc3cncc4c3cccc4,7.1,=,YES
MAT-POS-777f5926-4,c1ccc2c(c1)cncc2NC(=O)[C@@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CNC5)C#N,7.2,=,
MAT-POS-777f5926-3,c1ccc2c(c1)cncc2NC(=O)[C@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CNC5)C#N,5.8,=,
MAT-POS-777f5926-2,c1ccc2c(c1)cncc2NC(=O)[C@@H]3CN(Cc4c3cc(cc4)Cl)[C@@H]5CCNC5=O,5.4,=,
MAT-POS-777f5926-1,C[C@H]1[C@H](c2cc(ccc2C(=O)N1)Cl)C(=O)Nc3cncc4c3cccc4,6.3,=,
MAT-POS-dd1fff26-2,CC1(CC1)CS(=O)(=O)N2Cc3ccc(cc3[C@@H](C2)C(=O)Nc4cncc5c4cccc5)Cl,7.2,=,
MAT-POS-dd1fff26-1,CC1(CC1)CS(=O)(=O)N2Cc3ccc(cc3[C@H](C2)C(=O)Nc4cncc5c4cccc5)Cl,5.3,=,
ALP-POS-5fe48310-1,CC1(CNS(=O)(=O)c2c1cc(cc2)Cl)C(=O)Nc3cncc4c3CCCC4,4,<,
LUO-POS-74179f4f-1,CNC(=O)CN1C[C@H](c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3ccc(c4)Cl,6.8,=,YES
LUO-POS-edefcc0e-1,CNC(=O)CN1C[C@@H](c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3ccc(c4)Cl,6,=,YES
ALP-POS-4483ae88-4,c1cc2c(cc1Cl)C(CNS2(=O)=O)C(=O)Nc3cncc4c3CCCC4,6.3,=,
ALP-POS-4483ae88-3,CNC(=O)CN1CC(c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3CCCC4,6.3,=,
ALP-POS-4483ae88-2,CNC(=O)CN1CC2(CCN(C2=O)c3cncc4c3cccc4)c5cc(ccc5S1(=O)=O)Cl,6.6,=,
EDJ-MED-41558c53-6,Cc1[nH]cc(n1)CN2CC(c3cc(ccc3C2=O)Cl)C(=O)Nc4cncc5c4ccc(c5)S(=O)(=O)C,6.6,=,
MAT-POS-b4d6b7fc-9,c1cc2cncc(c2cc1F)NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N,6.9,=,
MAT-POS-b4d6b7fc-8,c1cc2cncc(c2c(c1)Cl)NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N,6.6,=,
MAT-POS-b4d6b7fc-5,CNC(=O)CN1Cc2ccc(cc2C3(C1)CCN(C3=O)c4cncc5c4cc(cc5)F)Cl,6.6,=,
MAT-POS-b4d6b7fc-2,CNC(=O)CN1CC(c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3ccc(c4)NS(=O)(=O)C,7.4,=,
MAT-POS-b4d6b7fc-1,CNC(=O)CN1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3ccc(c4)NS(=O)(=O)C)Cl,7.1,=,
MAT-POS-78ab8081-3,CC1(CS(=O)(=O)C1)CS(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cc(cc5)C(=O)NC)Cl,7,=,
MAT-POS-78ab8081-2,CN(C)CCOc1ccc2cncc(c2c1)NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N,6.9,=,
MAT-POS-22373164-4,c1cc2c(cc1NS(=O)(=O)C3CC3)cncc2NC(=O)C4CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)C#N,7.3,>,
MAT-POS-22373164-3,CC(C)S(=O)(=O)Nc1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N,7,=,
MAT-POS-22373164-2,CCS(=O)(=O)Nc1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N,7.3,>,
MAT-POS-22373164-1,CN(c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N)S(=O)(=O)C,6.6,=,
MAT-POS-c7726e07-8,CS(=O)(=O)Nc1ccc2c(c1)cncc2NC(=O)[C@@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N,7.3,>,
MAT-POS-c7726e07-7,CS(=O)(=O)Nc1ccc2c(c1)cncc2NC(=O)[C@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N,6.1,=,
LUO-POS-868e8996-12,CNC(=O)CN1Cc2ccc(cc2[C@@]3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,4.9,=,
LUO-POS-868e8996-11,CNC(=O)CN1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,7.1,=,
MAT-POS-c7726e07-4,CNC(=O)CN1C[C@H](c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3cc(cc4)F,7,=,
MAT-POS-c7726e07-3,CNC(=O)CN1C[C@@H](c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3cc(cc4)F,7,=,
EDG-MED-b1ef7fe3-4,CNC(=O)CN1CC2(CCN(C2=O)c3cncc4c3ccc(c4)Cl)c5cc(ccc5C1=O)Cl,6.3,=,
EDG-MED-b1ef7fe3-3,CNC(=O)CN1CC2(CCN(C2=O)c3cncc4c3ccc(c4)F)c5cc(ccc5C1=O)Cl,6.4,=,
EDG-MED-b1ef7fe3-1,CNC(=O)CN1CC2(CCN(C2=O)c3cncc4c3cc(cc4)Cl)c5cc(ccc5C1=O)Cl,6.8,=,
MAT-POS-806462de-2,C[C@]1(CNS(=O)(=O)c2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,7,=,YES
MAT-POS-806462de-1,C[C@@]1(CNS(=O)(=O)c2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,5.6,=,YES
SHA-THE-408e7524-23,CC(C)C(C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)N,4,<,
SHA-THE-408e7524-22,CN1Cc2c(cc(cc2Cl)Cl)[C@@H](C1)c3cccc(c3)S(=O)(=O)NCCOCCOCCNC(=O)NCCCCNC(=O)NCCOCCOCCNS(=O)(=O)c4cccc(c4)[C@@H]5CN(Cc6c5cc(cc6Cl)Cl)C,4,<,
SHA-THE-408e7524-21,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O,4,<,
SHA-THE-408e7524-19,C[C@H](C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O,4,<,
SHA-THE-408e7524-17,c1ccc(cc1)C[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N2)Cc3ccc(cc3)O)N)C(=O)N4CCC[C@H]4C(=O)NC(CCCCN)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,4,<,
SHA-THE-408e7524-15,CC(C)C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)Cc2c[nH]c3c2cccc3)Cc4ccc(cc4)O)NC(=O)C(Cc5ccc6ccccc6c5)N)C(=O)NC(C(C)O)C(=O)N,4,<,
SHA-THE-408e7524-13,CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O,4.2,=,
SHA-THE-408e7524-10,C[C@H](C(=O)N[C@H](CCCN=C(N)N)C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](C)NC(=O)[C@@H](CSSC[C@@H](C(=O)O)N)NC(=O)C,4,<,
SHA-THE-408e7524-9,Cc1cc(cc(c1C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2ccccc2)C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)N)C)O,4,<,
SHA-THE-408e7524-8,CC(C)C[C@H](C(=O)N[C@H](CCCCN)C(=O)N1CCC(CC1)(C(=O)O)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](Cc3ccccc3)N,4,<,
SHA-THE-408e7524-7,CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)N)C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](CC(=O)N)N,4,<,
SHA-THE-408e7524-6,CC(C)[C@@H](C(=O)N1CCC[C@H]1c2[nH]c(cn2)c3ccc(cc3)c4ccc(cc4)c5cnc([nH]5)[C@@H]6CCCN6C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,4,<,
SHA-THE-408e7524-4,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O)O)O)O,4,<,
SHA-THE-408e7524-3,C[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)O)N,4,<,
EDG-MED-ee636701-1,CC1C(c2cc(ccc2C(=O)N1CC(=O)NC)Cl)C(=O)Nc3cncc4c3ccc(c4)S(=O)(=O)C,7.3,>,
EDG-MED-b8f93667-6,CC1(CN(S(=O)(=O)c2c1cc(cc2)Cl)CC3CC3)C(=O)Nc4cncc5c4ccc(c5)S(=O)(=O)C,6.2,=,
EDG-MED-b8f93667-4,CC1(CN(S(=O)(=O)c2c1cc(cc2)Cl)C)C(=O)Nc3cncc4c3ccc(c4)S(=O)(=O)C,6.3,=,
MAT-POS-c88128cb-15,CC1(CNS(=O)(=O)c2c1cc(cc2)Cl)C(=O)Nc3cncc4c3c(ccc4)Cl,5.7,=,
MAT-POS-c88128cb-14,CC1(CNS(=O)(=O)c2c1cc(cc2)Cl)C(=O)Nc3cncc4c3ccc(c4)S(=O)(=O)C,6.8,=,
MAT-POS-c88128cb-12,CC1(CNS(=O)(=O)c2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cc(cc4)F,6.4,=,
MAT-POS-c88128cb-5,CC1(CN(S(=O)(=O)c2c1cc(cc2)Cl)CC3CC3)C(=O)Nc4cncc5c4cccc5,6.2,=,
MAT-POS-c88128cb-4,CC(C)CN1CC(c2cc(ccc2S1(=O)=O)Cl)(C)C(=O)Nc3cncc4c3cccc4,6.8,=,
MAT-POS-c88128cb-1,CC(C)CS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cc(cc4)C(C)(C)O)Cl,5.9,=,
MAT-POS-78ab8081-1,CC1(CS(=O)(=O)C1)CS(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cc(cc5)OCCN(C)C)Cl,6.9,=,
MAT-POS-666635d5-2,CC1(CS(=O)(=O)C1)CS(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cc(cc5)C(C)(C)O)Cl,5.6,=,
EDJ-MED-dac03e7f-2,CC1(CN(S(=O)(=O)c2c1cc(cc2)Cl)CC(=O)NC3CC3)C(=O)Nc4cncc5c4ccc(c5)S(=O)(=O)C,6.3,=,
MAT-POS-97ec4bd1-4,CC(C)(c1ccc2cncc(c2c1)NC(=O)C3CN(C(=O)c4c3cc(cc4)Cl)CC(=O)NC)O,6.4,=,
MAT-POS-97ec4bd1-3,CC(C)(c1ccc2cncc(c2c1)NC(=O)C3CN(Cc4c3cc(cc4)Cl)CC(=O)NC)O,6.2,=,
MAT-POS-97ec4bd1-2,CC(C)(c1ccc2cncc(c2c1)NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N)O,5.9,=,
MAT-POS-97ec4bd1-1,CC(C)(c1ccc2cncc(c2c1)NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)OC)O,5.8,=,
EDJ-MED-1b46f08e-1,CN(C)S(=O)(=O)c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)OC,6.3,=,
EDJ-MED-968bafd9-2,COC1(CC1)CS(=O)(=O)N2CC(c3cc(ccc3C2=O)Cl)C(=O)Nc4cncc5c4ccc(c5)S(=O)(=O)C,6.1,=,
EDJ-MED-968bafd9-1,COC1(CC1)CS(=O)(=O)N2CC(c3cc(ccc3C2=O)Cl)C(=O)Nc4cncc5c4cccc5,6.9,>,
EDJ-MED-c5ca5386-1,c1cc(cc(c1)Cl)CC(=O)Nc2cncc3c2c(cc(c3)F)Cl,6.1,=,
