CatalogID,SMILES,scaffold_SMILES,product_SMILES
EN300-61309,CC(C)(C)OC(=O)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)OC(C)(C)C)c1
EN300-19283,BrCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCBr)c1
EN300-18932,BrCc1cccc(CBr)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2cccc(CBr)c2)c1
EN300-65864,CCOC(=O)CCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCOC(=O)CCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-19401,BrCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCCBr)c1
EN300-52880,CCOC(=O)CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCOC(=O)CCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-85792,BrCCCCOc1ccccc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCOc2ccccc2)c1
EN300-90230,O=S(=O)(O)CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCS(=O)(=O)O)c1
EN300-249904,CC(=O)OCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CC(=O)OCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-23991,N#Cc1cccc(CBr)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2cccc(C#N)c2)c1
EN300-19715,O=C(O)C(Br)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC(CBr)C(=O)O)c1
EN300-19289,BrCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCBr)c1
EN300-82277,BrCc1ccc2ccccc2c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ccc3ccccc3c2)c1
EN300-17712,N#Cc1ccc(CBr)cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ccc(C#N)cc2)c1
EN300-18144,N#Cc1ccccc1CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ccccc2C#N)c1
EN300-19407,CCCCCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCCCCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-19787,BrCC(Br)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(Br)CBr)c1
EN300-01848,O=C(CBr)C12CC3CC(CC(C3)C1)C2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)C23CC4CC(CC(C4)C2)C3)c1
EN300-16660,COC(=O)C(Br)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COC(=O)C(CBr)Oc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-20313,O=C(O)CCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCCC(=O)O)c1
EN300-201825,COC(=O)[C@H](CI)NC(=O)OC(C)(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COC(=O)[C@H](COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1)NC(=O)OC(C)(C)C
EN300-310365,FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1
EN300-96351,CC(Br)CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC(C)CCBr)c1
EN300-19287,CC(C)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(C)C)c1
EN300-59820,COC(=O)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COC(=O)COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-20664,O=C(O)CCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCC(=O)O)c1
EN300-20768,Cc1ccc(C(=O)CBr)cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccc(C(=O)COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)cc1
EN300-09230,O=C(O)c1ccc(CBr)cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ccc(C(=O)O)cc2)c1
EN300-68332,COC(CBr)OC,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COC(COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1)OC
EN300-59858,NC(=O)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(N)=O)c1
EN300-67455,N#CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC#N)c1
EN300-25769,O=C(Br)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC(=O)CBr)c1
EN300-21258,OCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCO)c1
EN300-99423,CCOP(=O)(CCBr)OCC,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCOP(=O)(CCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1)OCC
EN300-93161,BrCCC1OCCCO1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCC2OCCCO2)c1
EN300-75633,CCOC(=O)CCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCOC(=O)CCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-216821,CC(C)(C)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(C)(C)C)c1
EN300-42499,BrCCC1OCCO1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCC2OCCO2)c1
EN300-17894,O=C1c2ccccc2C(=O)N1CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCN2C(=O)c3ccccc3C2=O)c1
EN300-97960,COCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-1913009,O=[N+]([O-])c1ccc(O)c(CBr)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2cc([N+](=O)[O-])ccc2O)c1
EN300-332263,COc1ccc([N+](=O)[O-])cc1CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COc1ccc([N+](=O)[O-])cc1COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-17648,BrCc1ccccc1Br,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ccccc2Br)c1
EN300-21107,BrCc1cccc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2cccc(Br)c2)c1
EN300-67360,O=C(O)C(=O)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)C(=O)O)c1
EN300-60950,COC(=O)C(=O)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COC(=O)C(=O)COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-20603,CCOC(=O)C(=O)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCOC(=O)C(=O)COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-140319,O=C(O)C(CBr)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(CBr)C(=O)O)c1
EN300-74262,C=CCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,C=CCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-49992,COC(=O)C=CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COC(=O)C=CCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-61875,CC#CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CC#CCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-20415,O=C(O)CCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCC(=O)O)c1
EN300-43960,CCOC(=O)CCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCOC(=O)CCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-107148,N#CCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCC#N)c1
EN300-50186,O=C(O)CCCCCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCCCCCCCC(=O)O)c1
EN300-31848,ClCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCl)c1
EN300-31202,ClCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCCl)c1
EN300-67396,OCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCO)c1
EN300-21705,ClCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCl)c1
EN300-19286,CCCCI,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-101170,CCOC(=O)C=CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCOC(=O)C=CCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-19409,CCCCCCCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCCCCCCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-72660,O=C(CBr)OCc1ccccc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)OCc2ccccc2)c1
EN300-19282,CCCI,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-18582,O=C(CBr)c1ccc([N+](=O)[O-])cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)c2ccc([N+](=O)[O-])cc2)c1
EN300-19919,OCCI,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCO)c1
EN300-19883,CCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-83275,CCCCCCCCCCCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCCCCCCCCCCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-19402,CCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-85129,OCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCCCO)c1
EN300-171052,C=CCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,C=CCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-64250,CC(C)(C)OC(=O)NCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCNC(=O)OC(C)(C)C)c1
EN300-195215,CC(C)(C)OC(=O)NCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCNC(=O)OC(C)(C)C)c1
EN300-77465,C=C(CBr)C(=O)OCC,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,C=C(COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1)C(=O)OCC
EN300-142442,C=C(CBr)C(=O)OC,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,C=C(COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1)C(=O)OC
EN300-20749,BrCC1CCCCC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC2CCCCC2)c1
EN300-78939,BrCC1CC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC2CC2)c1
EN300-77092,BrCC1OCCO1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC2OCCO2)c1
EN300-101623,O=C(O)Cc1ccc(CBr)cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ccc(CC(=O)O)cc2)c1
EN300-21114,O=C1c2ccccc2C(=O)N1CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCN2C(=O)c3ccccc3C2=O)c1
EN300-126650,CC(C)=CCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CC(C)=CCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-125484,CCCCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCCCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-6740901,OCCCCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCCCCCCO)c1
EN300-19411,CCCCCCCCCCCCCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCCCCCCCCCCCCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-91258,FC(F)(F)CI,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(F)(F)F)c1
EN300-19791,CCCCCCCI,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-6735861,BrCC(Br)c1ccccc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(Br)c2ccccc2)c1
EN300-85284,O=C(O)CCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCCCCC(=O)O)c1
EN300-19410,CCCCCCCCCCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCCCCCCCCCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-79870,C=CCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,C=CCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-18264,O=C(CBr)c1ccc(Br)cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)c2ccc(Br)cc2)c1
EN300-1246893,BrCC=Cc1ccccc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC=Cc2ccccc2)c1
EN300-21881,CC(C)(C)C(=O)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)C(C)(C)C)c1
EN300-179511,OCCCCCCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCCCCCCCCO)c1
EN300-49493,COC(=O)CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COC(=O)CCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
