SMILES,ID,product_1,product_2
C#CC(N)CO,EN300-233538,C#CC(CO)NC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CC(CO)NC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CN(C)CC#CCN,EN300-241661,CN(C)CC#CCNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CN(C)CC#CCNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CC1CCN(C(=O)CN)CC1,EN300-219604,C#CC1CCN(C(=O)CNC(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,C#CC1CCN(C(=O)CNC(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
C#CC[C@H](O)CN,EN300-219061,C#CC[C@H](O)CNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CC[C@H](O)CNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCC(N)CO,EN300-215264,C#CCC(CO)NC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCC(CO)NC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCNC(=O)CN1CCNCC1,EN300-213013,C#CCNC(=O)CN1CCN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,C#CCNC(=O)CN1CCN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
C#CCCC(O)CN,EN300-198500,C#CCCC(O)CNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCCC(O)CNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCNC(=O)C1CCNCC1,EN300-204107,C#CCNC(=O)C1CCN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,C#CCNC(=O)C1CCN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
C#CCNCCO,EN300-148307,C#CCN(CCO)C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN(CCO)C(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCNC(=O)C(C)N1CCNCC1,EN300-145314,C#CCNC(=O)C(C)N1CCN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,C#CCNC(=O)C(C)N1CCN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
C#CC1(O)CCNC1,EN300-132582,C#CC1(O)CCN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1,C#CC1(O)CCN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1
C#CCOCCN,EN300-134148,C#CCOCCNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCOCCNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCC(N)C(N)=O,EN300-118938,C#CCC(NC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)C(N)=O,C#CCC(NC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)C(N)=O
C#CCNC(=O)CN1CCCNCC1,EN300-70271,C#CCNC(=O)CN1CCCN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,C#CCNC(=O)CN1CCCN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
C#CCNC(=O)CN,EN300-60761,C#CCNC(=O)CNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)CNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCNC(=O)CN1CCNCC1,EN300-68745,C#CCNC(=O)CN1CCN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,C#CCNC(=O)CN1CCN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
C#CCNC(=O)C(C)N1CCNCC1,EN300-68344,C#CCNC(=O)C(C)N1CCN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,C#CCNC(=O)C(C)N1CCN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
C#CCN1CCNCC1,EN300-27346,C#CCN1CCN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,C#CCN1CCN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
NCc1nnc(CO)s1,EN300-7550655,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCc1nnc(CO)s1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCc1nnc(CO)s1
NCCc1nnc(CO)s1,EN300-7549247,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCCc1nnc(CO)s1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCCc1nnc(CO)s1
NCCOCCOCCOCCO,EN300-1589200,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCCOCCOCCOCCO,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCCOCCOCCOCCO
CO[C@@H]1CNC[C@@H](CO)O1,EN300-7444807,CO[C@@H]1CN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C[C@@H](CO)O1,CO[C@@H]1CN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C[C@@H](CO)O1
CC1(N)CC(O)C1,EN300-7396882,CC1(NC(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC(O)C1,CC1(NC(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC(O)C1
N#CC1(O)CNC1,EN300-7440741,N#CC1(O)CN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1,N#CC1(O)CN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1
NCCN1CCC(CO)C1,EN300-2965876,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCCN1CCC(CO)C1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCCN1CCC(CO)C1
NC1(CO)CCS(=O)(=O)C1,EN300-7465386,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC1(CO)CCS(=O)(=O)C1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC1(CO)CCS(=O)(=O)C1
CC(O)[C@@H]1C[C@H]1N,EN300-7463275,CC(O)[C@@H]1C[C@H]1NC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC(O)[C@@H]1C[C@H]1NC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CC1NCC1O,EN300-7471076,CC1C(O)CN1C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC1C(O)CN1C(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
NC[C@H](O)C(F)(F)F,EN300-64499,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC[C@H](O)C(F)(F)F,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC[C@H](O)C(F)(F)F
CC(C)(O)C1CNCCO1,EN300-7435544,CC(C)(O)C1CN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CCO1,CC(C)(O)C1CN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CCO1
NC(=O)C[C@@H]1CNC[C@H]1O,EN300-7436546,NC(=O)C[C@@H]1CN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C[C@H]1O,NC(=O)C[C@@H]1CN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C[C@H]1O
OC1CNCC12CCOCC2,EN300-7435482,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CC(O)C2(CCOCC2)C1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CC(O)C2(CCOCC2)C1
COC1(CO)CCNCC1,EN300-154330,COC1(CO)CCN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,COC1(CO)CCN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
OCC1COCCN1,EN300-154201,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCOCC1CO,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCOCC1CO
CC1(C)CNCCN1CCO,EN300-154174,CC1(C)CN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CCN1CCO,CC1(C)CN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CCN1CCO
COC(=O)C(O)C1CCNCC1,EN300-107730,COC(=O)C(O)C1CCN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,COC(=O)C(O)C1CCN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
NCC1(CO)CCOC1,EN300-682529,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCC1(CO)CCOC1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCC1(CO)CCOC1
NCC1(O)COC1,EN300-1215712,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCC1(O)COC1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCC1(O)COC1
CN(C)CCC(C)(O)CN,EN300-152452,CN(C)CCC(C)(O)CNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CN(C)CCC(C)(O)CNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
O=S1(=O)CCC(NCCO)C1,EN300-10673,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N(CCO)C1CCS(=O)(=O)C1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N(CCO)C1CCS(=O)(=O)C1
COCC(O)(CN)COC,EN300-7438937,COCC(O)(CNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)COC,COCC(O)(CNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)COC
CNC(=O)C[C@@H]1CNC[C@H]1O,EN300-7438176,CNC(=O)C[C@@H]1CN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C[C@H]1O,CNC(=O)C[C@@H]1CN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C[C@H]1O
CNC(=O)C(O)CN,EN300-179352,CNC(=O)C(O)CNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CNC(=O)C(O)CNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CC(C)(O)C1(N)CCOC1,EN300-7437953,CC(C)(O)C1(NC(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CCOC1,CC(C)(O)C1(NC(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CCOC1
N[C@@H]1C[C@@H]1CO,EN300-399072,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N[C@@H]1C[C@@H]1CO,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N[C@@H]1C[C@@H]1CO
NCCN1CC[C@@H](O)C1,EN300-321213,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCCN1CC[C@@H](O)C1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCCN1CC[C@@H](O)C1
OCCNc1cnccn1,EN300-370792,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N(CCO)c1cnccn1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N(CCO)c1cnccn1
Cn1cc(CC(CN)CO)cn1,EN300-199443,Cn1cc(CC(CO)CNC(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cn1,Cn1cc(CC(CO)CNC(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cn1
OCCOC1CCCNC1,EN300-157830,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCCC(OCCO)C1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCCC(OCCO)C1
O=C1NCC(O)CC12CCNCC2,EN300-365025,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCC2(CC1)CC(O)CNC2=O,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCC2(CC1)CC(O)CNC2=O
COC(=O)C1(CO)CNC1,EN300-7427589,COC(=O)C1(CO)CN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1,COC(=O)C1(CO)CN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1
OC[C@H]1CCCN1,EN300-54891,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCC[C@@H]1CO,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCC[C@@H]1CO
NC1(CO)CCOC1,EN300-133788,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC1(CO)CCOC1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC1(CO)CCOC1
Nc1nc(SCCO)n[nH]1,EN300-102533,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)Nc1nc(SCCO)n[nH]1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)Nc1nc(SCCO)n[nH]1
O[C@@H]1C[C@H]2CNCCN2C1,EN300-267855,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCN2C[C@H](O)C[C@H]2C1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCN2C[C@H](O)C[C@H]2C1
CCC(O)CN,EN300-94408,CCC(O)CNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCC(O)CNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CC(O)CCN,EN300-76843,CC(O)CCNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC(O)CCNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
NCCCN1CC[C@@H](O)C1,EN300-93878,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCCCN1CC[C@@H](O)C1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NCCCN1CC[C@@H](O)C1
COCC(O)CCN,EN300-122346,COCC(O)CCNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,COCC(O)CCNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
Cn1cnnc1C(N)CO,EN300-307155,Cn1cnnc1C(CO)NC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Cn1cnnc1C(CO)NC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CNCCN(C)CCO,EN300-304975,CN(CCO)CCN(C)C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CN(CCO)CCN(C)C(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
NC1CCN(CCO)CC1,EN300-71022,O=C(C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC1CCN(CCO)CC1,O=C(CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC1CCN(CCO)CC1
CN(C)C[C@H]1C[C@@H](O)CN1,EN300-7441279,CN(C)C[C@H]1C[C@@H](O)CN1C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CN(C)C[C@H]1C[C@@H](O)CN1C(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CNCC(=O)N[C@H]1CC[C@H](O)CC1,EN300-7442802,CN(CC(=O)N[C@H]1CC[C@H](O)CC1)C(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CN(CC(=O)N[C@H]1CC[C@H](O)CC1)C(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CC1(C)CNC[C@H](CO)O1,EN300-7412943,CC1(C)CN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C[C@H](CO)O1,CC1(C)CN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C[C@H](CO)O1
CC[C@H](O)CN1CCNCC1,EN300-2988004,CC[C@H](O)CN1CCN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,CC[C@H](O)CN1CCN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
Cc1nn(CCO)cc1CN,EN300-1693566,Cc1nn(CCO)cc1CNC(=O)C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Cc1nn(CCO)cc1CNC(=O)CC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CC(N)c1nnc(C(C)O)[nH]1,EN300-7443527,CC(O)c1nnc(C(C)NC(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)[nH]1,CC(O)c1nnc(C(C)NC(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)[nH]1
CC1(C)CNC[C@@H](CO)O1,EN300-7412945,CC1(C)CN(C(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C[C@@H](CO)O1,CC1(C)CN(C(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C[C@@H](CO)O1
CP1(=O)C[C@@H](N)[C@H](O)C1,EN300-7443347,CP1(=O)C[C@@H](O)[C@H](NC(=O)C[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1,CP1(=O)C[C@@H](O)[C@H](NC(=O)CC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1
