SMILES,ID,product_1,product_2,product_3,product_4
O=S(=O)(CCBr)CCCO,EN300-7456499,O=C(Nc1cncc2ccccc12)[C@]1(OCCS(=O)(=O)CCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCS(=O)(=O)CCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCS(=O)(=O)CCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCS(=O)(=O)CCCO)CCOc2ccc(Cl)cc21
OC1(CC2CC(CCl)=NO2)COC1,EN300-7457160,O=C(Nc1cncc2ccccc12)[C@]1(OCC2=NOC(CC3(O)COC3)C2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCC2=NOC(CC3(O)COC3)C2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCC2=NOC(CC3(O)COC3)C2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCC2=NOC(CC3(O)COC3)C2)CCOc2ccc(Cl)cc21
OCCCOCCOCCCl,EN300-7353728,O=C(Nc1cncc2ccccc12)[C@]1(OCCOCCOCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCOCCOCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCOCCOCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCOCCOCCCO)CCOc2ccc(Cl)cc21
O=S(=O)(CCO)CCBr,EN300-7463171,O=C(Nc1cncc2ccccc12)[C@]1(OCCS(=O)(=O)CCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCS(=O)(=O)CCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCS(=O)(=O)CCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCS(=O)(=O)CCO)CCOc2ccc(Cl)cc21
OC1(c2cc(CCl)no2)COC1,EN300-7457159,O=C(Nc1cncc2ccccc12)[C@]1(OCc2cc(C3(O)COC3)on2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCc2cc(C3(O)COC3)on2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCc2cc(C3(O)COC3)on2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCc2cc(C3(O)COC3)on2)CCOc2ccc(Cl)cc21
OCC1(CCl)CN(C2CC2)C1,EN300-6735421,O=C(Nc1cncc2ccccc12)[C@]1(OCC2(CO)CN(C3CC3)C2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCC2(CO)CN(C3CC3)C2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCC2(CO)CN(C3CC3)C2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCC2(CO)CN(C3CC3)C2)CCOc2ccc(Cl)cc21
Oc1nc(CCl)no1,EN300-1252913,O=C(Nc1cncc2ccccc12)[C@]1(OCc2noc(O)n2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCc2noc(O)n2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCc2noc(O)n2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCc2noc(O)n2)CCOc2ccc(Cl)cc21
Cc1ncc([N+](=O)[O-])n1CC(O)CCl,EN300-6731079,Cc1ncc([N+](=O)[O-])n1CC(O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Cc1ncc([N+](=O)[O-])n1CC(O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Cc1ncc([N+](=O)[O-])n1CC(O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Cc1ncc([N+](=O)[O-])n1CC(O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CN(C)C(=O)NCC(O)CCl,EN300-6501360,CN(C)C(=O)NCC(O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CN(C)C(=O)NCC(O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CN(C)C(=O)NCC(O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CN(C)C(=O)NCC(O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
OCC1COC(CI)C1,EN300-6494158,O=C(Nc1cncc2ccccc12)[C@]1(OCC2CC(CO)CO2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCC2CC(CO)CO2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCC2CC(CO)CO2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCC2CC(CO)CO2)CCOc2ccc(Cl)cc21
O=C1C[C@H](O)[C@@H](CBr)O1,EN300-6487407,O=C1C[C@H](O)[C@@H](CO[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)O1,O=C1C[C@H](O)[C@@H](COC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)O1,O=C1C[C@H](O)[C@@H](COCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)O1,O=C1C[C@H](O)[C@@H](COCCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)O1
OC(CBr)C1CCOC1,EN300-1911992,O=C(Nc1cncc2ccccc12)[C@]1(OCC(O)C2CCOC2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCC(O)C2CCOC2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCC(O)C2CCOC2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCC(O)C2CCOC2)CCOc2ccc(Cl)cc21
COCC(O)CBr,EN300-1915260,COCC(O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,COCC(O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,COCC(O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,COCC(O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
OC(CF)CCl,EN300-1968342,O=C(Nc1cncc2ccccc12)[C@]1(OCC(O)CF)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCC(O)CF)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCC(O)CF)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCC(O)CF)CCOc2ccc(Cl)cc21
O[C@@H]1COC[C@H]1Br,EN300-331828,O=C(Nc1cncc2ccccc12)[C@]1(O[C@@H]2COC[C@H]2O)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CO[C@@H]2COC[C@H]2O)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCO[C@@H]2COC[C@H]2O)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCO[C@@H]2COC[C@H]2O)CCOc2ccc(Cl)cc21
O=C1C[C@H]2[C@@H]1C[C@@H](O)[C@@H]2Br,EN300-6481287,O=C1C[C@H]2[C@@H]1C[C@@H](O)[C@@H]2O[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,O=C1C[C@H]2[C@@H]1C[C@@H](O)[C@@H]2OC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,O=C1C[C@H]2[C@@H]1C[C@@H](O)[C@@H]2OCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,O=C1C[C@H]2[C@@H]1C[C@@H](O)[C@@H]2OCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
OCC(F)CBr,EN300-1600517,O=C(Nc1cncc2ccccc12)[C@]1(OCC(F)CO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCC(F)CO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCC(F)CO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCC(F)CO)CCOc2ccc(Cl)cc21
OC(CF)CBr,EN300-1609255,O=C(Nc1cncc2ccccc12)[C@]1(OCC(O)CF)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCC(O)CF)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCC(O)CF)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCC(O)CF)CCOc2ccc(Cl)cc21
COC(=O)C[C@@H](O)CCl,EN300-73662,COC(=O)C[C@@H](O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,COC(=O)C[C@@H](O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,COC(=O)C[C@@H](O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,COC(=O)C[C@@H](O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CCOC(=O)CC(O)CCl,EN300-82539,CCOC(=O)CC(O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCOC(=O)CC(O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCOC(=O)CC(O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCOC(=O)CC(O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
OCC(F)Br,EN300-861925,O=C(Nc1cncc2ccccc12)[C@]1(OC(F)CO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COC(F)CO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOC(F)CO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOC(F)CO)CCOc2ccc(Cl)cc21
OCCOCCCl,EN300-52467,O=C(Nc1cncc2ccccc12)[C@]1(OCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCOCCO)CCOc2ccc(Cl)cc21
OCCCCl,EN300-22342,O=C(Nc1cncc2ccccc12)[C@]1(OCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCCO)CCOc2ccc(Cl)cc21
CCOC(=O)C[C@@H](O)CCl,EN300-102988,CCOC(=O)C[C@@H](O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCOC(=O)C[C@@H](O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCOC(=O)C[C@@H](O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCOC(=O)C[C@@H](O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
OCCBr,EN300-21258,O=C(Nc1cncc2ccccc12)[C@]1(OCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCO)CCOc2ccc(Cl)cc21
OCCCBr,EN300-67396,O=C(Nc1cncc2ccccc12)[C@]1(OCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCCO)CCOc2ccc(Cl)cc21
CCOC(=O)CC(O)CI,EN300-314144,CCOC(=O)CC(O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCOC(=O)CC(O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCOC(=O)CC(O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCOC(=O)CC(O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
OCCOCCI,EN300-298653,O=C(Nc1cncc2ccccc12)[C@]1(OCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCOCCO)CCOc2ccc(Cl)cc21
NC(=O)C(O)(CBr)c1ccccc1,EN300-248526,NC(=O)C(O)(CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1ccccc1,NC(=O)C(O)(COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1ccccc1,NC(=O)C(O)(COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1ccccc1,NC(=O)C(O)(COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)c1ccccc1
OCCOCCBr,EN300-116457,O=C(Nc1cncc2ccccc12)[C@]1(OCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCOCCO)CCOc2ccc(Cl)cc21
CC(O)CI,EN300-185378,CC(O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC(O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC(O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC(O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
OCC1(CBr)COC1,EN300-102347,O=C(Nc1cncc2ccccc12)[C@]1(OCC2(CO)COC2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCC2(CO)COC2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCC2(CO)COC2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCC2(CO)COC2)CCOc2ccc(Cl)cc21
CNS(=O)(=O)CCBr,EN300-6482967,CNS(=O)(=O)CCO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CNS(=O)(=O)CCOC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CNS(=O)(=O)CCOCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CNS(=O)(=O)CCOCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
Cc1nn(CCBr)c(=O)o1,EN300-315588,Cc1nn(CCO[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)c(=O)o1,Cc1nn(CCOC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)c(=O)o1,Cc1nn(CCOCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)c(=O)o1,Cc1nn(CCOCCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)c(=O)o1
CS(=O)(=O)NCCI,EN300-1238839,CS(=O)(=O)NCCO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CS(=O)(=O)NCCOC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CS(=O)(=O)NCCOCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CS(=O)(=O)NCCOCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CC(=O)NNC(=O)C(C)Cl,EN300-129179,CC(=O)NNC(=O)C(C)O[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC(=O)NNC(=O)C(C)OC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC(=O)NNC(=O)C(C)OCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC(=O)NNC(=O)C(C)OCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
O=C1CNC(=O)N1CCCCl,EN300-51072,O=C1CNC(=O)N1CCCO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,O=C1CNC(=O)N1CCCOC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,O=C1CNC(=O)N1CCCOCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,O=C1CNC(=O)N1CCCOCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
Cn1nc(CCl)[nH]c1=O,EN300-124918,Cn1nc(CO[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)[nH]c1=O,Cn1nc(COC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)[nH]c1=O,Cn1nc(COCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)[nH]c1=O,Cn1nc(COCCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)[nH]c1=O
CS(=O)(=O)NCCCBr,EN300-45485,CS(=O)(=O)NCCCO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CS(=O)(=O)NCCCOC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CS(=O)(=O)NCCCOCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CS(=O)(=O)NCCCOCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
O=C(CCl)C1COCCO1,EN300-6238494,O=C(CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)C1COCCO1,O=C(COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)C1COCCO1,O=C(COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)C1COCCO1,O=C(COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)C1COCCO1
ClCC1COCCO1,EN300-139167,O=C(Nc1cncc2ccccc12)[C@]1(OCC2COCCO2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCC2COCCO2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCC2COCCO2)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCC2COCCO2)CCOc2ccc(Cl)cc21
Cc1nnnn1CCCCl,EN300-197715,Cc1nnnn1CCCO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Cc1nnnn1CCCOC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Cc1nnnn1CCCOCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,Cc1nnnn1CCCOCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
COC(=O)C1CCN(C(=O)CCl)CC1,EN300-08170,COC(=O)C1CCN(C(=O)CO[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,COC(=O)C1CCN(C(=O)COC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,COC(=O)C1CCN(C(=O)COCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,COC(=O)C1CCN(C(=O)COCCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
O=C(CCl)NC(=O)c1ccc[nH]1,EN300-29897,O=C(CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC(=O)c1ccc[nH]1,O=C(COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC(=O)c1ccc[nH]1,O=C(COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC(=O)c1ccc[nH]1,O=C(COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)NC(=O)c1ccc[nH]1
CCCNC(=O)NC(=O)CCl,EN300-06452,CCCNC(=O)NC(=O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCCNC(=O)NC(=O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCCNC(=O)NC(=O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CCCNC(=O)NC(=O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
