SMILES,TITLE,fragments,Hybrid2,docked_fragment,Mpro-x0434_dock,site
c1cc(cc(c1)I)[C@@H](CC2CCCCC2)NC(=O)Nc3cccnc3,9791,x0434,-9.543938,x0434,-9.543938,active-noncovalent
c1cc(cnc1)NC(=O)Nc2cc(ccc2Oc3ccc(cc3)Cl)Br,13768,x0434,-9.533368,x0434,-9.533368,active-noncovalent
Cc1ccc(cc1)[C@H](c2ccccc2Cl)NC(=O)Nc3cccnc3,13797,x0434,-9.526793,x0434,-9.526793,active-noncovalent
c1cc(cc(c1)Br)C2(CCCCC2)NC(=O)Nc3cccnc3,10171,x0434,-9.512869,x0434,-9.512869,active-noncovalent
Cc1c(c2c(ccc(c2[nH]1)Cl)Cl)CCNC(=O)Nc3cccnc3,8007,x0434,-9.506573,x0434,-9.506573,active-noncovalent
CC(C)(C)C[C@@H](c1ccccc1)NC(=O)Nc2cccnc2,6631,x0434,-9.506411,x0434,-9.506411,active-noncovalent
C[C@@](CCC(F)(F)F)(c1ccccc1)NC(=O)Nc2cccnc2,274,x0434,-9.485169,x0434,-9.485169,active-noncovalent
C[C@](Cc1ccccc1)(c2ccccc2)NC(=O)Nc3cccnc3,2322,x0434,-9.477831,x0434,-9.477831,active-noncovalent
c1ccc(cc1)OC[C@H](c2ccc(c(c2)F)Cl)NC(=O)Nc3cccnc3,11356,x0434,-9.473123,x0434,-9.473123,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CCCC2)Cc3ccc(cc3)Cl,10185,x0434,-9.460291,x0434,-9.460291,active-noncovalent
Cc1ccc(c(c1)Br)C2(CCCCC2)NC(=O)Nc3cccnc3,4244,x0434,-9.451707,x0434,-9.451707,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H](Cc2ccc(cc2)F)c3ccc(cc3)F,4038,x0434,-9.445838,x0434,-9.445838,active-noncovalent
COc1ccc(cc1)C2(CCCCC2)NC(=O)Nc3cccnc3,12007,x0434,-9.435404,x0434,-9.435404,active-noncovalent
C[C@H](c1ccccc1C(F)(F)F)[C@@H](C)NC(=O)Nc2cccnc2,4262,x0434,-9.425467,x0434,-9.425467,active-noncovalent
CN1CC[NH+](CC1)C[C@@H](c2ccccc2)NC(=O)Nc3cccnc3,539,x0434,-9.412374,x0434,-9.412374,active-noncovalent
COc1ccc(cc1)C2(CCCCCC2)NC(=O)Nc3cccnc3,2386,x0434,-9.391527,x0434,-9.391527,active-noncovalent
Cc1cc(ccc1OC)C2=NO[C@H](C2)CNC(=O)Nc3cccnc3,13707,x0434,-9.389208,x0434,-9.389208,active-noncovalent
COC(=O)[C@H](c1ccc(cc1)O)NC(=O)Nc2cccnc2,6691,x0434,-9.387699,x0434,-9.387699,active-noncovalent
CC(C)C[C@@H](c1ccccc1)NC(=O)Nc2cccnc2,8785,x0434,-9.372591,x0434,-9.372591,active-noncovalent
Cc1ccc(cc1)c2cccc(c2)CNC(=O)Nc3cccnc3,622,x0434,-9.366246,x0434,-9.366246,active-noncovalent
COC(=O)[C@H](c1ccccc1Br)NC(=O)Nc2cccnc2,14290,x0434,-9.362473,x0434,-9.362473,active-noncovalent
c1ccc(cc1)OC[C@H](c2ccc(c(c2)Cl)F)NC(=O)Nc3cccnc3,5776,x0434,-9.359311,x0434,-9.359311,active-noncovalent
Cc1ccc(cc1)[C@@H](C(=O)OC)NC(=O)Nc2cccnc2,10420,x0434,-9.357281,x0434,-9.357281,active-noncovalent
c1ccc(cc1)CCC[C@H](c2ccccc2)NC(=O)Nc3cccnc3,7850,x0434,-9.356854,x0434,-9.356854,active-noncovalent
Cc1ccc(c(c1)C)S(=O)(=O)NC[C@@H](c2ccccc2)NC(=O)Nc3cccnc3,2119,x0434,-9.351728,x0434,-9.351728,active-noncovalent
c1ccc(cc1)C[C@@H]([C@H](C(F)F)O)NC(=O)Nc2cccnc2,12104,x0434,-9.333389,x0434,-9.333389,active-noncovalent
c1ccc2c(c1)[C@H](CCN2C(=O)c3ccco3)NC(=O)Nc4cccnc4,273,x0434,-9.332557,x0434,-9.332557,active-noncovalent
COC(=O)[C@@H]1CCc2ccccc2[C@@H]1NC(=O)Nc3cccnc3,3653,x0434,-9.329517,x0434,-9.329517,active-noncovalent
c1ccc(cc1)CC[C@H](c2cccc(c2)Cl)NC(=O)Nc3cccnc3,5982,x0434,-9.322293,x0434,-9.322293,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CCOCC2)c3ccc(cc3)Br,2717,x0434,-9.322271,x0434,-9.322271,active-noncovalent
COC(=O)[C@H](c1ccc(c(c1)F)Cl)NC(=O)Nc2cccnc2,2651,x0434,-9.321538,x0434,-9.321538,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H]2CCCc3c2cc(cc3)Br,14578,x0434,-9.320713,x0434,-9.320713,active-noncovalent
CCc1ccc(cc1)[C@H](c2cccc(c2)F)NC(=O)Nc3cccnc3,7857,x0434,-9.319229,x0434,-9.319229,active-noncovalent
COC(=O)C[C@H]1CC[C@@H](CC1)CNC(=O)Nc2cnccc2,4413,x0434,-9.314971,x0434,-9.314971,active-noncovalent
c1ccc(cc1)N2CC[NH+](CC2)C3(CCOCC3)CNC(=O)Nc4cccnc4,3924,x0434,-9.310731,x0434,-9.310731,active-noncovalent
c1ccc(cc1)[C@H](CCC(F)(F)F)NC(=O)Nc2cccnc2,2624,x0434,-9.310223,x0434,-9.310223,active-noncovalent
CS(=O)(=O)c1cccc(c1)[C@H](c2cc(ccc2F)F)NC(=O)Nc3cccnc3,257,x0434,-9.306590,x0434,-9.30659,active-noncovalent
c1cc(cnc1)NC(=O)NC[C@H]2CCN(C2)c3ccc(c(c3)F)F,10057,x0434,-9.305569,x0434,-9.305569,active-noncovalent
COc1ccc(cc1)C2=NO[C@H](C2)CNC(=O)Nc3cccnc3,606,x0434,-9.303325,x0434,-9.303325,active-noncovalent
Cc1ccc(cc1)[C@H](c2ccc(cc2)Cl)NC(=O)Nc3cccnc3,13793,x0434,-9.282588,x0434,-9.282588,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H]2CCCc3c2ccc(c3)F,12530,x0434,-9.270845,x0434,-9.270845,active-noncovalent
Cc1ccc2c(c1)[C@@H](CCC2)NC(=O)Nc3cccnc3,3039,x0434,-9.263224,x0434,-9.263224,active-noncovalent
CSc1ncc(cn1)CCNC(=O)Nc2cccnc2,10800,x0434,-9.258603,x0434,-9.258603,active-noncovalent
c1cc2c(c(c1)Br)CC([C@H]2NC(=O)Nc3cccnc3)(F)F,11348,x0434,-9.244645,x0434,-9.244645,active-noncovalent
c1ccc(cc1)[C@]2(CC2(F)F)CNC(=O)Nc3cccnc3,14253,x0434,-9.243834,x0434,-9.243834,active-noncovalent
Cc1cccc(c1CNC(=O)Nc2cccnc2)C,9050,x0434,-9.243484,x0434,-9.243484,active-noncovalent
COC(=O)[C@H](c1ccc(cc1)Cl)NC(=O)Nc2cccnc2,6697,x0434,-9.241362,x0434,-9.241362,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CCCCC2)c3ccc(cc3F)F,621,x0434,-9.239706,x0434,-9.239706,active-noncovalent
COc1ccc2c(c1)OCC[C@H]2NC(=O)Nc3cccnc3,6496,x0434,-9.236813,x0434,-9.236813,active-noncovalent
CC[NH+](CC)C[C@@H](c1ccccc1)NC(=O)Nc2cccnc2,12187,x0434,-9.235898,x0434,-9.235898,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H](Cc2ccc(cc2Cl)Cl)c3ccc(cc3)F,308,x0434,-9.233579,x0434,-9.233579,active-noncovalent
c1cc(cc(c1)F)C2(CCCCC2)NC(=O)Nc3cccnc3,12135,x0434,-9.232585,x0434,-9.232585,active-noncovalent
C[C@@H]([C@H]1CCCc2c1cccc2)NC(=O)Nc3cccnc3,10336,x0434,-9.221627,x0434,-9.221627,active-noncovalent
CC(C)c1ccc2c(c1)[C@@H](CCC2)NC(=O)Nc3cccnc3,12077,x0434,-9.214481,x0434,-9.214481,active-noncovalent
COC(=O)[C@H](c1cc(sc1)Br)NC(=O)Nc2cccnc2,1048,x0434,-9.212454,x0434,-9.212454,active-noncovalent
c1cc(c(c(c1)F)F)C2(CCCCC2)NC(=O)Nc3cccnc3,13883,x0434,-9.186783,x0434,-9.186783,active-noncovalent
Cc1nnc(n1C)[C@@H](c2ccccc2)NC(=O)Nc3cccnc3,9977,x0434,-9.180571,x0434,-9.180571,active-noncovalent
c1cc(cc(c1)C(F)(F)F)[C@H](c2cccc(c2)Cl)NC(=O)Nc3cccnc3,5894,x0434,-9.167206,x0434,-9.167206,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CCCCC2)c3ccc(cc3)Br,10199,x0434,-9.166725,x0434,-9.166725,active-noncovalent
CC(C)c1ccccc1[C@@H](c2ccc(cc2)Cl)NC(=O)Nc3cccnc3,11674,x0434,-9.162566,x0434,-9.162566,active-noncovalent
CCOC(=O)[C@H](c1ccccc1)NC(=O)Nc2cccnc2,10456,x0434,-9.160175,x0434,-9.160175,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H](c2ccc(cc2)OC(F)(F)F)C(F)(F)F,7802,x0434,-9.160148,x0434,-9.160148,active-noncovalent
CC(=O)N1CCC(CC1)CNC(=O)Nc2cccnc2,1457,x0434,-9.156403,x0434,-9.156403,active-noncovalent
CC(C)(C)c1ccncc1CNC(=O)Nc2cccnc2,2990,x0434,-9.146010,x0434,-9.14601,active-noncovalent
c1cc(cnc1)NC(=O)N[C@H](c2ccc(cc2)F)C3CCC3,2933,x0434,-9.144157,x0434,-9.144157,active-noncovalent
c1cc(cnc1)NC(=O)N[C@H](c2ccc(cc2)Cl)c3ccc(c(c3)F)F,7871,x0434,-9.139179,x0434,-9.139179,active-noncovalent
C#CCCC[C@H](c1ccc(cc1)Br)NC(=O)Nc2cccnc2,705,x0434,-9.138954,x0434,-9.138954,active-noncovalent
CC(C)(C)C[C@@H](c1ccc(cc1)F)NC(=O)Nc2cccnc2,8301,x0434,-9.131209,x0434,-9.131209,active-noncovalent
c1cc(cnc1)NC(=O)N[C@H](c2ccc(cc2)F)c3cccs3,14148,x0434,-9.120659,x0434,-9.120659,active-noncovalent
Cc1c(c(n(n1)c2ccccc2)C)[C@@H](CNC(=O)Nc3cccnc3)C(F)(F)F,13579,x0434,-9.112492,x0434,-9.112492,active-noncovalent
c1ccc(cc1)[C@H](c2cccc(c2)Cl)NC(=O)Nc3cccnc3,6281,x0434,-9.109514,x0434,-9.109514,active-noncovalent
c1cc(cnc1)NC(=O)NCCc2ccc(cc2)I,1489,x0434,-9.105433,x0434,-9.105433,active-noncovalent
C[C@@H](C1CCN(CC1)C(=O)OC)NC(=O)Nc2cccnc2,4636,x0434,-9.088893,x0434,-9.088893,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CCCCC2)C(=O)Nc3ccc(cc3)Br,358,x0434,-9.078828,x0434,-9.078828,active-noncovalent
CCOC(=O)[C@H](c1ccc(c(c1)Cl)Br)NC(=O)Nc2cccnc2,4190,x0434,-9.078321,x0434,-9.078321,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H](c2ccc(cc2)Cl)C(F)(F)F,6620,x0434,-9.075134,x0434,-9.075134,active-noncovalent
c1cc(cc(c1)Cl)[C@@H](c2ccc(cc2)OC(F)(F)F)NC(=O)Nc3cccnc3,5895,x0434,-9.072962,x0434,-9.072962,active-noncovalent
Cc1cc(cc(c1)C[C@@H](c2cccc(c2)OC)NC(=O)Nc3cccnc3)C,287,x0434,-9.070800,x0434,-9.0708,active-noncovalent
c1ccc(cc1)[C@@H](CCc2cccc(c2)F)NC(=O)Nc3cccnc3,13651,x0434,-9.066410,x0434,-9.06641,active-noncovalent
CC(C)(CNC(=O)Nc1cccnc1)c2ccc(cc2Cl)Br,6508,x0434,-9.063779,x0434,-9.063779,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CCCCC2)c3ccc(cc3)F,4560,x0434,-9.062260,x0434,-9.06226,active-noncovalent
CCC(CC)[C@@H](c1ccccc1)NC(=O)Nc2cccnc2,6632,x0434,-9.061159,x0434,-9.061159,active-noncovalent
COc1ccccc1[C@@H](C(=O)OC)NC(=O)Nc2cccnc2,8214,x0434,-9.056767,x0434,-9.056767,active-noncovalent
Cn1ccnc1[C@@H](c2cccc(c2)OC)NC(=O)Nc3cccnc3,13777,x0434,-9.054723,x0434,-9.054723,active-noncovalent
c1cc(cc(c1)F)[C@H](C2CCCC2)NC(=O)Nc3cccnc3,14560,x0434,-9.054699,x0434,-9.054699,active-noncovalent
c1ccc(c(c1)C2CC2)[C@@H](c3ccc(cc3)Cl)NC(=O)Nc4cccnc4,11435,x0434,-9.053533,x0434,-9.053533,active-noncovalent
c1cc(cc(c1)Cl)[C@H](C2CCCCC2)NC(=O)Nc3cccnc3,2498,x0434,-9.038382,x0434,-9.038382,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H]2CCOc3c2cc(cc3)F,1256,x0434,-9.037747,x0434,-9.037747,active-noncovalent
Cc1ccc(c(c1)C)C(C)(C)CNC(=O)Nc2cccnc2,12268,x0434,-9.033746,x0434,-9.033746,active-noncovalent
COC(=O)[C@H](c1cccc(c1)Br)NC(=O)Nc2cccnc2,957,x0434,-9.027028,x0434,-9.027028,active-noncovalent
c1ccc(cc1)[C@@]2(CCCOC2)NC(=O)Nc3cccnc3,12311,x0434,-9.026857,x0434,-9.026857,active-noncovalent
c1ccc(cc1)OC[C@H](c2ccc(cc2)Cl)NC(=O)Nc3cccnc3,2228,x0434,-9.020324,x0434,-9.020324,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H](c2ccc(cc2)F)C(F)(F)F,8396,x0434,-9.016712,x0434,-9.016712,active-noncovalent
c1ccc2cc(ccc2c1)[C@@H](c3ccc(cc3)Cl)NC(=O)Nc4cccnc4,7764,x0434,-9.003340,x0434,-9.00334,active-noncovalent
COc1ccc(c(c1)F)CCNC(=O)Nc2cccnc2,3031,x0434,-8.998231,x0434,-8.998231,active-noncovalent
c1ccc(cc1)[C@H](C[NH+]2CCCCC2)NC(=O)Nc3cccnc3,4337,x0434,-8.996547,x0434,-8.996547,active-noncovalent
c1ccc(c(c1)C2(CCCCC2)NC(=O)Nc3cccnc3)F,6365,x0434,-8.993589,x0434,-8.993589,active-noncovalent
CC(C)[C@@H](c1ccc(cc1)F)NC(=O)Nc2cccnc2,1231,x0434,-8.984094,x0434,-8.984094,active-noncovalent
Cc1cccc(c1)c2cccc(c2)CNC(=O)Nc3cccnc3,2462,x0434,-8.978203,x0434,-8.978203,active-noncovalent
c1cc(cnc1)NC(=O)NC(c2ccc(cc2)Cl)c3ccc(cc3)Cl,518,x0434,-8.977430,x0434,-8.97743,active-noncovalent
CC1(C[C@]1(c2ccccc2)NC(=O)Nc3cccnc3)C,8616,x0434,-8.974875,x0434,-8.974875,active-noncovalent
Cc1cccc(c1)[C@@H](C(=O)OC(C)(C)C)NC(=O)Nc2cccnc2,149,x0434,-8.973241,x0434,-8.973241,active-noncovalent
Cc1ccc(cc1)[C@@H](c2ccccc2)NC(=O)Nc3cccnc3,681,x0434,-8.960711,x0434,-8.960711,active-noncovalent
C#Cc1ccccc1CCNC(=O)Nc2cccnc2,6980,x0434,-8.960273,x0434,-8.960273,active-noncovalent
CC(C)(c1ccccc1F)NC(=O)Nc2cccnc2,7124,x0434,-8.959564,x0434,-8.959564,active-noncovalent
c1ccc(cc1)[C@H](c2cccc(c2)F)NC(=O)Nc3cccnc3,643,x0434,-8.956599,x0434,-8.956599,active-noncovalent
c1cc(cnc1)NC(=O)NCC2CC[NH+](CC2)C3CC3,3152,x0434,-8.950368,x0434,-8.950368,active-noncovalent
CC(C)C[C@H]([C@@H]1C[C@H]1c2ccccc2)NC(=O)Nc3cccnc3,8044,x0434,-8.948210,x0434,-8.94821,active-noncovalent
c1ccc(cc1)[C@H](c2cc(cc(c2)Cl)F)NC(=O)Nc3cccnc3,5725,x0434,-8.943975,x0434,-8.943975,active-noncovalent
CNC(=O)c1ccc(cc1)CCNC(=O)Nc2cccnc2,6519,x0434,-8.943821,x0434,-8.943821,active-noncovalent
c1cc(cnc1)NC(=O)NCc2cc(ccc2I)Cl,1479,x0434,-8.941906,x0434,-8.941906,active-noncovalent
C[C@@H]1CCCc2ccccc2[C@@H]1NC(=O)Nc3cccnc3,4704,x0434,-8.940734,x0434,-8.940734,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CC2)C3CCCCC3,7217,x0434,-8.938133,x0434,-8.938133,active-noncovalent
c1cc(cnc1)NC(=O)N[C@H](CCc2ccc(c(c2)Cl)F)c3ccc(c(c3)F)F,3658,x0434,-8.930149,x0434,-8.930149,active-noncovalent
Cc1ccc(cc1)[C@@H](C(F)(F)F)NC(=O)Nc2cccnc2,6670,x0434,-8.913892,x0434,-8.913892,active-noncovalent
COc1ccc(cc1)[C@@H](C(=O)OC)NC(=O)Nc2cccnc2,12105,x0434,-8.911792,x0434,-8.911792,active-noncovalent
COc1ccc(cc1)[C@@H](C(=O)OC)NC(=O)Nc2cccnc2,12139,x0434,-8.911792,x0434,-8.911792,active-noncovalent
COC(=O)[C@H](c1ccc(c(c1)O)O)NC(=O)Nc2cccnc2,4414,x0434,-8.906623,x0434,-8.906623,active-noncovalent
c1cc(cnc1)NC(=O)NC[C@H]2CC[C@@H]3[C@H](C2)C3(F)F,5742,x0434,-8.901943,x0434,-8.901943,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CCCCCC2)c3ccc(cc3)Cl,13889,x0434,-8.896632,x0434,-8.896632,active-noncovalent
c1ccc(c(c1)C2(CCCCC2)NC(=O)Nc3cccnc3)Br,6450,x0434,-8.892295,x0434,-8.892295,active-noncovalent
c1ccc(cc1)c2cccc(c2)CNC(=O)Nc3cccnc3,10165,x0434,-8.889637,x0434,-8.889637,active-noncovalent
c1cc(cnc1)NC(=O)N[C@H](CC(F)(F)F)c2ccc(cc2)Cl,4517,x0434,-8.887709,x0434,-8.887709,active-noncovalent
Cc1cccc(c1)[C@@H](C(F)(F)F)NC(=O)Nc2cccnc2,8411,x0434,-8.887317,x0434,-8.887317,active-noncovalent
C=Cc1ccc(cc1)CCNC(=O)Nc2cccnc2,6979,x0434,-8.879241,x0434,-8.879241,active-noncovalent
CC(C)[C@@H](c1ccc(cc1F)F)NC(=O)Nc2cccnc2,4754,x0434,-8.878207,x0434,-8.878207,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H](c2ccc(cc2)Br)C(F)(F)F,10487,x0434,-8.878070,x0434,-8.87807,active-noncovalent
