SMILES,TITLE,Hybrid2,fragments,site
c1c(cncc1S(=O)(=O)[N@@]2CCC3(C2)CCCCC3)F,top_hits_only_mpro-223_1,-11.533287,x0107,active-noncovalent
CCc1ccc(cc1)Oc2c3ccccc3nc(n2)c4cccnc4,top_hits_only_mpro-56_1,-11.527821,x0678,active-noncovalent
CC(C)[C@H](C(=O)NC(=O)N)Sc1ccc2ccccc2c1,top_hits_only_mpro-238_1,-11.469629,x0749,active-covalent
c1ccc(c(c1)C#N)Oc2c3ccccc3nc(n2)c4cccnc4,top_hits_only_mpro-231_1,-11.404726,x0678,active-noncovalent
c1cnc2ccncc2c1C(=O)N3CC[C@H](C3)C4CCOCC4,top_hits_only_mpro-406_1,-11.390756,x0107,active-noncovalent
c1ccc2c(c1)c(nc(n2)c3cccnc3)Oc4ccc(cc4)Cl,top_hits_only_mpro-173_1,-11.385249,x0678,active-noncovalent
Cc1cc(ccc1C(=O)Nc2cnccc2CO)F,top_hits_only_mpro-484_1,-11.376863,x0678,active-noncovalent
c1cc(cnc1)CNC(=O)c2cc(c[nH]2)F,top_hits_only_mpro-193_1,-11.334950,x0678,active-noncovalent
C[N@@H+]1CCc2cccc-3c2[C@H]1Cc4c3c(c(cc4)O)O,top_hits_only_mpro-77_1,-11.281105,x0195,active-noncovalent
Cc1c[nH+]ccc1N2CCC[C@@H](C2)c3[nH]ncn3,top_hits_only_mpro-157_1,-11.254924,x0678,active-noncovalent
C[N@@H+]1CC[N@@](C[C@H]1Cc2ccccc2)c3cncc(n3)C#N,top_hits_only_mpro-234_1,-11.246244,x0678,active-noncovalent
Cc1c(c2ccccc2[nH]1)c3csc(n3)c4cnccn4,top_hits_only_mpro-125_1,-11.233297,x0678,active-noncovalent
c1cnn(c1)c2ccc(cc2NC(=O)c3cnccn3)C(F)(F)F,top_hits_only_mpro-418_1,-11.214674,x0678,active-noncovalent
C[C@@H](c1ccccc1)NC(=O)c2cccnc2,top_hits_only_mpro-33_1,-11.206646,x0678,active-noncovalent
Cc1cccn2c1nc(c2NC(=O)c3cnccn3)c4ccccc4,top_hits_only_mpro-417_1,-11.175940,x0678,active-noncovalent
C[C@@H](c1[nH]c2ccccc2n1)NC(=O)Nc3cccc(c3)C(F)(F)F,top_hits_only_mpro-335_1,-11.156880,x0195,active-noncovalent
c1ccc(cc1)[C@H]2C3(CCCCC3)CN2C(=O)Cn4cn[nH]c4=O,-12.224361419677734_1,-11.152248,x0678,active-noncovalent
Cc1cc(cc(c1)[C@]2(CCN(C2)c3cncc(n3)C#N)F)C,top_hits_only_mpro-233_1,-11.107542,x0107,active-noncovalent
c1cnc2nc(nn2c1)SCCC34CC5CC(C3)CC(C5)C4,top_hits_only_mpro-11_1,-11.106500,x0107,active-noncovalent
c1cc(ccc1[C@@H]2CN(CCO2)c3cn[nH]c(=O)c3Cl)F,top_hits_only_mpro-205_1,-11.097708,x0107,active-noncovalent
CN(C[C@H]1CCCN1C(=O)c2cc(cnc2)F)c3ccccc3,top_hits_only_mpro-219_1,-11.060928,x0678,active-noncovalent
CCc1c(cncn1)C(=O)Nc2cc(ccc2O)Cl,top_hits_only_mpro-61_1,-11.008365,x0678,active-noncovalent
c1cc(ccc1c2c(n3ccsc3n2)NC(=O)c4cnccn4)F,top_hits_only_mpro-209_1,-11.000914,x0107,active-noncovalent
Cc1ccc(cc1)CCc2c3c(cc4c2nc[nH]4)c(=O)[nH]c(n3)N,top_hits_only_mpro-137_1,-10.971066,x0107,active-noncovalent
c1ccc(c(c1)N2CC[C@H](C2)[NH2+]Cc3cncnc3)F,top_hits_only_mpro-217_1,-10.958323,x0678,active-noncovalent
CCc1cc2c(=O)[nH]c(nc2s1)c3[nH]ncn3,top_hits_only_mpro-55_1,-10.948576,x0678,active-noncovalent
c1ccc2c(c1)c(c[nH]2)CCNc3cn[nH]c(=O)c3Cl,top_hits_only_mpro-460_1,-10.918921,x0678,active-noncovalent
COc1cncc(n1)C(=O)N2CCCC3(CCCCC3)CC2,top_hits_only_mpro-121_1,-10.877776,x0678,active-noncovalent
Cc1cc(c(n1c2cccnc2)C)C(=O)Nc3c[nH]ccc3=O,top_hits_only_mpro-501_1,-10.871468,x0107,active-noncovalent
c1ccc(cc1)[C@@H]2CN([C@@H]3[C@H]2CCC3)c4c5nncn5ccn4,top_hits_only_mpro-509_1,-10.869295,x0678,active-noncovalent
c1ccc(cc1)[C@@H]2C3(CCOCC3)C[N@]2S(=O)(=O)c4cccc5c4ccnc5,top_hits_only_mpro-450_1,-10.851897,x0678,active-noncovalent
CN(CCO)c1c2ccccc2nc(n1)c3cccnc3,top_hits_only_mpro-479_1,-10.837656,x0678,active-noncovalent
CN(C)c1cc[nH+]cc1C(=O)N2CCC[C@@H]2c3ccc(nn3)N,top_hits_only_mpro-249_1,-10.823626,x0678,active-noncovalent
Cc1cc([nH]n1)C(=O)N[C@H]2CCc3c2cccc3,top_hits_only_mpro-160_2,-10.817402,x0678,active-noncovalent
c1ccc2c(c1)c(c[nH]2)Cc3[nH]c(=O)c4ccccc4n3,top_hits_only_mpro-454_1,-10.809892,x0831,active-covalent
c1cc(cnc1)CNS(=O)(=O)c2ccc(cc2)C(=O)N,top_hits_only_mpro-241_1,-10.807232,x0107,active-noncovalent
c1cc(cnc1)C(=O)Nc2c(c3c(s2)CCCC3)C#N,top_hits_only_mpro-228_1,-10.767303,x0678,active-noncovalent
C[C@H](c1cnccn1)[NH+]2CCC(CC2)c3c[nH]c4c3cc(cc4)OC,top_hits_only_mpro-115_1,-10.743541,x0107,active-noncovalent
c1csc(n1)N2CCN(CC2)c3cn[nH]c(=O)c3Cl,top_hits_only_mpro-457_1,-10.741165,x0678,active-noncovalent
CC(C)(C)[C@H](Cc1ccccc1)NC(=O)Cn2cn[nH]c2=O,top_hits_only_mpro-306_1,-10.719757,x0107,active-noncovalent
c1ccc(cc1)CCc2c3c(cc4c2nc[nH]4)c(=O)[nH]c(n3)N,top_hits_only_mpro-246_1,-10.714119,x0107,active-noncovalent
c1ccc2c(c1)c(nc(n2)c3cccnc3)Oc4ccc(cc4Cl)F,top_hits_only_mpro-196_1,-10.707531,x0678,active-noncovalent
Cc1ccncc1N2CCN(CC2)C(=O)c3ccnn3C,top_hits_only_mpro-154_1,-10.704350,x0678,active-noncovalent
c1ccc(c(c1)[C@@H]2C[C@H]2C(=O)Nc3[nH]ncn3)Br,top_hits_only_mpro-260_1,-10.702320,x0678,active-noncovalent
CCc1ccccc1NC(=O)c2ccc3c(c2)n[nH]n3,top_hits_only_mpro-59_1,-10.691105,x0678,active-noncovalent
Cc1cccn2c1nc(c2NC(=O)c3cc(cnc3)Br)c4ccccc4,top_hits_only_mpro-9_1,-10.689064,x0678,active-noncovalent
c1cc(ccc1[C@H]2[C@H]3CC(C[C@H]3c4cc(ccc4O2)O)(F)F)O,top_hits_only_mpro-495_1,-10.672372,x0195,active-noncovalent
c1ccc(cc1)CN(C2CCCCC2)C(=O)c3cncnc3N,top_hits_only_mpro-420_1,-10.647787,x0678,active-noncovalent
C[C@H](c1cnccn1)[NH+]2CCC(CC2)c3c[nH]c4c3ccc(c4)F,top_hits_only_mpro-211_1,-10.631691,x0104,active-noncovalent
Cc1ccncc1N2CCN(CC2)C(=O)c3c(ncs3)C,top_hits_only_mpro-155_1,-10.630528,x0678,active-noncovalent
CC(C)(C)[C@H]1CCCN(C1)C(=O)c2ccnc3c2cncc3,top_hits_only_mpro-408_1,-10.625257,x0678,active-noncovalent
c1cc2c(ccnc2cc1Cl)Sc3c4c5c(sc4ncn3)CCCC5,top_hits_only_mpro-177_1,-10.605602,x0830,active-covalent
Cn1c2c(cn1)c(=O)[nH]c(n2)C[N@H+]3CCC[C@@H]3c4ccc(cc4)F,top_hits_only_mpro-204_1,-10.580943,x0678,active-noncovalent
c1c[nH]cc(c1=O)NC(=O)[C@H]2CCCN2C(=O)C34CC5CC(C3)CC(C5)C4,top_hits_only_mpro-263_1,-10.579328,x0195,active-noncovalent
Cc1c(nc(nc1[N@]2CCN3[C@@H](C2)CN(C3=O)C)c4cccnc4)C,top_hits_only_mpro-436_1,-10.570132,x1077,active-noncovalent
c1ccc2c(c1)nc(n2CC(=O)Nc3c[nH]ccc3=O)C(F)(F)F,top_hits_only_mpro-303_1,-10.561329,x1093,active-noncovalent
c1cc2c(cc1C(=O)N3CCc4c(ccs4)C3)n[nH]n2,top_hits_only_mpro-382_1,-10.483147,x0107,active-noncovalent
CC[N@H+]1CCN(C[C@@H]1c2[nH]ccn2)C(=O)c3cc(cnc3)F,top_hits_only_mpro-52_1,-10.479536,x0107,active-noncovalent
CNC(=O)c1cccc(n1)NC(=O)N[C@H]2CCCC=C2,top_hits_only_mpro-81_1,-10.474281,x1093,active-noncovalent
CC(=O)Nc1cccc(c1)Oc2c(c3ccccc3[nH]c2=O)c4ccccc4,top_hits_only_mpro-17_1,-10.450465,x0195,active-noncovalent
c1ccc2c(c1)[nH]c(n2)c3c4c(sc3NC(=O)c5cc(cnc5)Br)CCCC4,top_hits_only_mpro-10_1,-10.438540,x0678,active-noncovalent
c1ccc2c(c1)nc(s2)c3c4c(sc3NC(=O)c5ccco5)CCCC4,top_hits_only_mpro-405_1,-10.431446,x1392,active-covalent
c1cc(cc(c1)C(=O)N)C[N@@H+](Cc2cncnc2)[C@H]3CCC[NH2+]CC3,top_hits_only_mpro-242_1,-10.419001,x0678,active-noncovalent
c1cc(cnc1)C(=O)N2CCSc3c2cc(cc3)C(F)(F)F,top_hits_only_mpro-325_1,-10.417596,x0678,active-noncovalent
c1cc(c2c(c1F)CN(CC2)C(=O)c3ccnnc3)Br,top_hits_only_mpro-201_1,-10.403386,x0749,active-covalent
c1ccn2c(c1)nnc2CNC(=O)c3cc(c[nH]3)Br,top_hits_only_mpro-0_1,-10.379951,x0195,active-noncovalent
COc1ccc(cc1)c2csc3c2c(=O)[nH]c(n3)c4cccnc4,top_hits_only_mpro-106_1,-10.370603,x0387,active-noncovalent
C[C@H]1C[C@@H](c2ccccc2N1Cc3[nH]c(=O)c4ccccc4n3)C(=O)N,top_hits_only_mpro-236_1,-10.368786,x0749,active-covalent
c1cc2c(cc1F)[nH]cc2C3=CCN(CC3)C(=O)c4cnccn4,top_hits_only_mpro-210_1,-10.363797,x0107,active-noncovalent
c1cc(cc(c1)Cl)[C@H]2C[C@@H]2NC(=O)c3cccnc3,top_hits_only_mpro-178_1,-10.344867,x0107,active-noncovalent
Cc1ccc(cn1)C(=O)N2CCC(=CC2)c3c[nH]c4c3cccn4,top_hits_only_mpro-142_1,-10.336166,x0107,active-noncovalent
c1ccc(cc1)CCN([C@@H]2CCOC2)C(=O)c3cccnc3,top_hits_only_mpro-310_1,-10.329972,x0107,active-noncovalent
CC1CCN(CC1)c2c3c(csc3nc(n2)c4cccnc4)c5ccccc5,top_hits_only_mpro-40_1,-10.321548,x0107,active-noncovalent
CN(C[C@@H]1C[C@@H](CN1c2ccncn2)F)C(=O)c3cncnc3,top_hits_only_mpro-192_1,-10.310182,x0678,active-noncovalent
c1cc2c(cc1O)C=CC3=CCC=C[C@@H]3[N@@]2Cc4cnc5c(n4)c(nc(n5)N)N,top_hits_only_mpro-498_1,-10.276102,x0107,active-noncovalent
c1cc(cc(c1)N2CC=CC2)CNC(=O)Nc3c[nH]nc3,top_hits_only_mpro-339_1,-10.249241,x0195,active-noncovalent
C[C@@H](c1cccnc1)C(=O)N(CCC#N)C23CC4CC(C2)CC(C4)C3,top_hits_only_mpro-224_1,-10.248231,x0749,active-covalent
Cn1c2ccccc2nc1c3c([nH]nc3c4ccc(cc4)OC)c5ccccc5,-12.24492073059082_2,-10.191413,x1418,active-covalent
c1cc(c(cc1F)F)NC(=O)c2cc(=O)[nH]c(=O)[nH]2,top_hits_only_mpro-198_1,-10.190528,x0678,active-noncovalent
c1ccc(cc1)c2c(c3cc(ccc3[nH]2)F)c4[nH]c5ccccc5n4,top_hits_only_mpro-213_1,-10.170182,x0830,active-covalent
C[C@@H](c1cccnc1)C(=O)N2CCCC[C@@H]2[C@H](C)[NH3+],top_hits_only_mpro-21_1,-10.139837,x0678,active-noncovalent
C[C@H](c1nnnn1C)[NH+]2CCC(CC2)c3c[nH]c4c3ccc(c4)F,top_hits_only_mpro-212_1,-10.121290,x0107,active-noncovalent
CC(C)(C)C[C@@H](c1ccccc1)Nc2nn3c(=O)ccnc3s2,top_hits_only_mpro-463_1,-10.118191,x0678,active-noncovalent
c1ccc(cc1)C(=O)N2CCC[C@H](C2)[NH2+]Cc3cccnc3,top_hits_only_mpro-387_1,-10.111010,x0678,active-noncovalent
c1ccc2c(c1)CC[C@]23CC(=O)N(C3=O)Cc4cn5cccnc5[nH+]4,top_hits_only_mpro-431_1,-10.104204,x0107,active-noncovalent
c1ccc(cc1)[C@@H](c2ccc(cc2)c3c4c([nH]cn4)ncn3)[NH3+],top_hits_only_mpro-245_2,-10.090278,x0161,active-noncovalent
c1ccc(cc1)c2c(c(=O)[nH]c(=S)[nH]2)Cc3c4ccccc4ccc3O,top_hits_only_mpro-503_1,-10.075371,x0678,active-noncovalent
c1cc2c(c[nH]c2nc1)C3=CCN(CC3)C(=O)c4cc(cc(c4)Cl)Cl,top_hits_only_mpro-166_1,-10.067060,x0874,active-noncovalent
CC(C)(C)C1CCN(CC1)C(=O)c2ccnc3c2cncc3,top_hits_only_mpro-407_1,-10.066088,x0107,active-noncovalent
Cc1cccc(c1C)C(=O)N2CCC(=CC2)c3c[nH]c4c3cccn4,top_hits_only_mpro-384_1,-10.058902,x0107,active-noncovalent
COc1ccc(cc1)N2[C@@H](Nc3ccccc3C2=O)c4cccnc4,top_hits_only_mpro-104_1,-10.050878,x1093,active-noncovalent
CC(C)n1c2cc(ccc2cn1)NC(=O)c3cc(cnc3)F,top_hits_only_mpro-222_1,-10.046934,x0195,active-noncovalent
Cc1c(cnn1C)[C@@H]2[C@H](CCO2)[NH2+]Cc3cncc4c3cccc4,top_hits_only_mpro-186_1,-10.044714,x0678,active-noncovalent
c1cc2c3c(c1)[N@](C[C@H]3CCC2=O)S(=O)(=O)c4cccnc4,top_hits_only_mpro-432_1,-10.027751,x0107,active-noncovalent
C[C@@H](C(=O)NC(=O)NC)[NH+]1CCC(CC1)c2c[nH]nc2,top_hits_only_mpro-79_1,-10.008091,x0104,active-noncovalent
Cc1cc(no1)[C@H]2CCCN2C(=O)c3ccc4c(c3)n[nH]n4,top_hits_only_mpro-162_1,-10.007730,x0678,active-noncovalent
Cc1cccc2c1c(=O)[nH]c(n2)Cc3c[nH]c4c3cccc4,top_hits_only_mpro-150_1,-9.982383,x0678,active-noncovalent
c1ccc(cc1)C(=O)Nc2ccccc2n3c4c(cn3)c(=O)[nH]cn4,top_hits_only_mpro-388_1,-9.963902,x0678,active-noncovalent
c1cc(ccc1n2cc(nc2)C(=O)N3CC[C@@H](C3)O)Br,top_hits_only_mpro-490_1,-9.935746,x0107,active-noncovalent
c1cc(cnc1)C(=O)N2CCc3c(ccc(c3C2)F)Br,top_hits_only_mpro-200_1,-9.927475,x0107,active-noncovalent
Cc1ccccc1C(=O)N2CCC(=CC2)c3c[nH]c4c3cccn4,top_hits_only_mpro-151_1,-9.899481,x0874,active-noncovalent
Cc1cccc(c1)OCCn2c(nc3ccccc3c2=O)C,top_hits_only_mpro-149_1,-9.860929,x0195,active-noncovalent
Cn1ccnc1[C@@H](c2ccc(cc2)F)[NH2+]Cc3cnn(c3)C,-11.929303169250488_1,-9.818533,x0678,active-noncovalent
CCc1c(c(c2nc3ccccc3n2c1Nc4ccc(cc4)C(=O)N)C#N)C,top_hits_only_mpro-54_1,-9.812746,x0678,active-noncovalent
c1ccc(cc1)C(c2ccccc2)NC(=O)c3ccc(cc3)c4[n-]nnn4,-11.888145446777346_2,-9.809771,x0072,active-noncovalent
Cc1cc(c(n1c2nccs2)C)c3csc(n3)c4ccc(cc4)O,top_hits_only_mpro-496_1,-9.803429,x0104,active-noncovalent
CN(C)c1cc(c2ccccc2n1)C(=O)N3CCc4c(nc[nH]c4=O)C3,top_hits_only_mpro-369_1,-9.780997,x0830,active-covalent
Cc1cc(cnc1)C(=O)N2CCc3ccccc3[C@H]2CO,top_hits_only_mpro-476_1,-9.780149,x0678,active-noncovalent
C[C@H]1CCC[N@@H+](CC1)Cc2[nH]c(=O)c3ccccc3n2,top_hits_only_mpro-39_1,-9.760778,x0678,active-noncovalent
C[C@@H]1C[C@@H](C[N@]1S(=O)(=O)c2cccnc2)c3ccc(cc3)OC,top_hits_only_mpro-103_1,-9.754289,x0107,active-noncovalent
C[C@@H](c1cccc(c1)C(F)(F)F)NC(=O)c2ccc(cc2N(=O)=O)Br,top_hits_only_mpro-1_1,-9.707792,x0678,active-noncovalent
CN(Cc1nc2c(s1)CCCC2)c3c(nccn3)C#N,top_hits_only_mpro-235_1,-9.697808,x0749,active-covalent
c1ccc(cc1)c2c3c(n[nH]2)Nc4ccccc4N[C@@H]3c5ccc(cc5)Cl,top_hits_only_mpro-171_1,-9.662393,x0678,active-noncovalent
Cc1c(c(n[nH]1)C)C[C@@H](C)C(=O)NC2(CC2)c3ccccc3,top_hits_only_mpro-20_1,-9.655693,x0678,active-noncovalent
Cc1nc2ccccc2c(=O)n1CCC(=O)NC(=O)N,top_hits_only_mpro-328_1,-9.654677,x0678,active-noncovalent
Cc1ccc(cn1)C(=O)N2CCN(CC2)C(=O)C(C)(C)c3ccccc3,top_hits_only_mpro-143_1,-9.629299,x0678,active-noncovalent
C1CN(CCC12C3CC4CC(C3)CC2C4)C(=O)c5c(c(=O)[nH]c(=O)[nH]5)N,top_hits_only_mpro-453_1,-9.614774,x0161,active-noncovalent
c1cc2c(cc1NC(=O)[C@H]3CCn4cncc4C3)C(=O)NC2,top_hits_only_mpro-271_1,-9.608792,x0107,active-noncovalent
C[C@@H](c1ccc2c(c1)NC(=O)CO2)Nc3cc(cnc3)Br,top_hits_only_mpro-435_1,-9.575299,x0107,active-noncovalent
c1c[nH]cc(c1=O)NC(=O)CC23C[C@H]4C[C@@H](C2)CC(C4)(C3)O,top_hits_only_mpro-273_1,-9.548907,x1093,active-noncovalent
Cc1ccnc(c1)N[C@H](c2ccncc2)c3c([nH]c4c3cccc4)C,top_hits_only_mpro-152_1,-9.526740,x0195,active-noncovalent
Cc1c(c(n[nH]1)C)CC(=O)N2CCc3ccccc3[C@@H]2C(=O)N,top_hits_only_mpro-326_1,-9.493052,x0678,active-noncovalent
c1ccnc(c1)CNC(=O)c2cc3cc(ccc3[nH]2)Cl,top_hits_only_mpro-176_1,-9.470964,x0749,active-covalent
c1cc(c(cc1F)NC(=O)c2cc(=O)[nH]c(=O)[nH]2)F,top_hits_only_mpro-199_1,-9.468889,x0678,active-noncovalent
Cc1nc(c2c3c(sc2n1)C[C@@H](CC3)C)Oc4ccc5ccncc5c4,top_hits_only_mpro-42_1,-9.460403,x0107,active-noncovalent
Cc1cc(cc(c1)N[C@H](c2ccncc2)c3c([nH]c4c3cccc4)C)C,top_hits_only_mpro-128_1,-9.424191,x0387,active-noncovalent
C[C@@H](c1ccncc1)N(C)C(=O)c2cc3c([nH]2)ccs3,top_hits_only_mpro-67_1,-9.396744,x0678,active-noncovalent
CC1(C(=O)N(C(=O)N1)C[C@@H](Cn2c3ccccc3c4c2cccc4)O)C,top_hits_only_mpro-470_1,-9.386349,x0195,active-noncovalent
c1cc(c(=O)[nH]c1)C(=O)N2CCC(=CC2)c3c[nH]c4c3cccn4,top_hits_only_mpro-502_1,-9.317679,x0749,active-covalent
c1cc2c(cc1O)CN(CC2)C(=O)c3ccc(=O)[nH]c3,top_hits_only_mpro-497_1,-9.316737,x0678,active-noncovalent
c1ccc(cc1)n2cc(c(n2)c3cccnc3)[C@H]4Nc5ccccc5C(=O)N4C6CC6,top_hits_only_mpro-437_1,-9.296044,x0195,active-noncovalent
C[C@H](C(C)(C)C)N(C)C(=O)c1cccnc1,top_hits_only_mpro-70_1,-9.278099,x0678,active-noncovalent
c1ccc(cc1)c2c(sc(n2)NCCO)c3ccccc3,-11.869671821594238_1,-9.277067,x0434,active-noncovalent
CC(C)[C@H]1CN(c2ccccc2N1)C(=O)c3cn[nH]n3,top_hits_only_mpro-22_1,-9.272016,x0195,active-noncovalent
c1cnccc1CNC(=O)c2cc(c[nH]2)F,top_hits_only_mpro-194_1,-9.234020,x0104,active-noncovalent
CC(=O)Nc1cc(ccc1F)C(=O)N2CCc3ccc(cc3C2)O,top_hits_only_mpro-15_1,-9.207193,x0434,active-noncovalent
C[C@@]1(CN(CCO1)C(=O)c2c[nH+]ccc2N(C)C)c3ccccc3,top_hits_only_mpro-415_1,-9.193878,x1093,active-noncovalent
CC(=O)NC1CCN(CC1)C(=O)c2ccc3c(c2O)OC(C3)(C)C,top_hits_only_mpro-14_1,-9.165116,x0104,active-noncovalent
Cc1cc(=O)n2c(n1)sc(n2)N3CCC[C@H](C3)c4[nH]c5ccccc5n4,top_hits_only_mpro-126_1,-9.160469,x0749,active-covalent
c1ccc(cc1)C(c2ccccc2)[NH+]3CCN(CC3)c4c5cn[nH]c5ncn4,-11.837011337280273_1,-9.143625,x0195,active-noncovalent
c1ccc2c(c1)CCC[C@@H]2[C@H]3CCCN3C(=O)c4cn5cccnc5[nH+]4,top_hits_only_mpro-318_1,-9.137523,x0831,active-covalent
Cn1c2c(cn1)c(ncn2)SCCC34CC5CC(C3)CC(C5)C4,top_hits_only_mpro-187_1,-9.083645,x0072,active-noncovalent
Cc1c(sc(n1)NC(=O)c2ccc[nH]c2=O)c3ccccn3,top_hits_only_mpro-161_1,-9.054347,x0946,active-noncovalent
Cc1ccc(c(=O)[nH]1)C(=O)N2CCC[C@H]2c3cccc4c3cccc4,-12.136740684509276_1,-9.049721,x0678,active-noncovalent
C[NH+](C)[C@@H](CNC(=O)c1ccc[nH]c1=O)c2ccsc2,top_hits_only_mpro-71_1,-9.024748,x0678,active-noncovalent
c1cc(ccc1c2c3c([nH]cn3)ncn2)C4(CC[NH2+]CC4)c5ccc(cc5)Cl,top_hits_only_mpro-169_2,-8.993325,x0161,active-noncovalent
Cc1cccc(c1)/C=C/2\CCn3c2nc4c(c3=O)cc(cc4Cl)Cl,top_hits_only_mpro-147_1,-8.923834,x0161,active-noncovalent
