SMILES,TITLE,intermediate
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)COC(CO)F,EN300-861925_2,C1_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CC(=O)NCCO,EN300-19392_1,C2_amine
CC(CO)OCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-175186_3,C2_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCC(=O)NCCO,EN300-19392_2,C3_amine
CC(CO)OCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-175186_4,C3_alcohol
c1ccc2c(c1)cncc2NC(=O)C3c4cc(ccc4OCC3=O)Cl,VLA-UCB-1dbca3b4-16,benzopyran-isoquinoline-scaffold
CSCC(=O)N[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-07879_1,C0_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OC(CO)F,EN300-861925_1,C0_alcohol
CSCC(=O)NC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-07879_2,C1_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)COCCCO,EN300-221518_2,C1_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCNC(=O)CO,EN300-19242_3,C2_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCOC(CO)F,EN300-861925_3,C2_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCNC(=O)CO,EN300-19242_4,C3_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCOC(CO)F,EN300-861925_4,C3_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4)Cl,MAT-POS-b3e365b9-1,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)NC(=O)CCF,EN300-97758_1,C0_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OCCCO,EN300-221518_1,C0_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CNC(=O)CCF,EN300-97758_2,C1_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)COCCCO,EN300-221518_2,C1_alcohol
CN(CCO)C(=O)C[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19342_1,C2_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCOCCCO,EN300-221518_3,C2_alcohol
CCCNC(=O)CC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,JAG-UCB-706446eb-2,C3_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCOCCCO,EN300-221518_4,C3_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@H]3CCOc4c3cc(cc4)Cl,MAT-POS-b3e365b9-2,benzopyran-isoquinoline-scaffold
CC(C(=O)N[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-19542_1,C0_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OCCCO,EN300-221518_1,C0_alcohol
CC(C(=O)NC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-19542_2,C1_amine
CC(COC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-185378_2,C1_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CC(=O)NCCCO,EN300-16772_1,C2_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCOCCCO,EN300-221518_3,C2_alcohol
CN(CCO)C(=O)CC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19342_2,C3_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCOCCCO,EN300-221518_4,C3_alcohol
C[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-e4b030d8-13,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)NC(=O)C(=O)N,EN300-113507_1,C0_amine
CC(CO[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-185378_1,C0_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CNC(=O)C(=O)N,EN300-113507_2,C1_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)COC5COC5,EN300-317082_2,C1_alcohol
CC(CNC(=O)C[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-20160_1,C2_amine
CC(COCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-185378_3,C2_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCC(=O)NCCCO,EN300-16772_2,C3_amine
CC(COCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-185378_4,C3_alcohol
C[C@@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,MAT-POS-8e4737f4-1,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)NC(=O)CC#N,EN300-19926_1,C0_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OC5COC5,EN300-317082_1,C0_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CNC(=O)CC#N,EN300-19926_2,C1_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)COCC(=O)N,EN300-18249_2,C1_alcohol
CC(CO)NC(=O)C[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-29387_1,C2_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCOC5COC5,EN300-317082_3,C2_alcohol
CC(CNC(=O)CC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-20160_2,C3_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCOC5COC5,EN300-317082_4,C3_alcohol
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4)C#N,DAR-DIA-6a508060-3,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)NC(=O)C(F)F,EN300-19507_1,C0_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OCC(=O)N,EN300-18249_1,C0_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CNC(=O)C(F)F,EN300-19507_2,C1_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)COCC(CF)O,EN300-1968342_2,C1_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CC(=O)N5CC(C5)O,EN300-65115_1,C2_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCOCC(=O)N,EN300-18249_3,C2_alcohol
CC(CO)NC(=O)CC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-29387_2,C3_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCOCC(=O)N,EN300-18249_4,C3_alcohol
CC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,DAR-DIA-6a508060-10,benzopyran-isoquinoline-scaffold
CC(C)(C(=O)N[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-59285_1,C0_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OCC#CCO,EN300-83766_1,C0_alcohol
CC(C)(C(=O)NC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-59285_2,C1_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)COCC(CO)F,EN300-1600517_2,C1_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CC(=O)NC5COC5,EN300-49064_1,C2_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCOCC(CF)O,EN300-1968342_3,C2_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCC(=O)N5CC(C5)O,EN300-65115_2,C3_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCOCC(CF)O,EN300-1968342_4,C3_alcohol
CC1CC(c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,MAT-POS-8a69d52e-1,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)NC(=O)C5CC5F,EN300-97300_1,C0_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OCC(CF)O,EN300-1968342_1,C0_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CNC(=O)C5CC5F,EN300-97300_2,C1_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)COCC(CF)O,EN300-1968342_2,C1_alcohol
COCCNC(=O)C[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19016_1,C2_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCOCC(CO)F,EN300-1600517_3,C2_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCC(=O)NC5COC5,EN300-49064_2,C3_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCOCC(CO)F,EN300-1600517_4,C3_alcohol
CC1COc2ccc(cc2C1C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-8a69d52e-4,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)NC(=O)C5CSC5,EN300-95094_1,C0_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OCC(CO)F,EN300-1600517_1,C0_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CNC(=O)C5CSC5,EN300-95094_2,C1_amine
CNC(=O)COC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-2977549_2,C1_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CC(=O)NCCC#N,EN300-183001_1,C2_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCOCC(CF)O,EN300-1968342_3,C2_alcohol
COCCNC(=O)CC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19016_2,C3_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCOCC(CF)O,EN300-1968342_4,C3_alcohol
Cc1ccc2c(c1)[C@@H](CCO2)C(=O)Nc3cncc4c3cccc4,ADA-UCB-dc2b944c-5,benzopyran-isoquinoline-scaffold
CCOCC(=O)N[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-21303_1,C0_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OCC(CF)O,EN300-1968342_1,C0_alcohol
CCOCC(=O)NC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-21303_2,C1_amine
CS(=O)CCOC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-258426_2,C1_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CC(=O)NCC(=O)N,EN300-16216_1,C2_amine
CNC(=O)COCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-2977549_3,C2_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCC(=O)NCCC#N,EN300-183001_2,C3_amine
CNC(=O)COCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-2977549_4,C3_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4)F,ADA-UCB-dc2b944c-7,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)NC(=O)C5(CC5)O,EN300-25702_1,C0_amine
CNC(=O)CO[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-2977549_1,C0_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CNC(=O)C5(CC5)O,EN300-25702_2,C1_amine
COC(=O)COC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_2,C1_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CC(=O)N5CCOC5,EN300-211422_1,C2_amine
CS(=O)CCOCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-258426_3,C2_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCC(=O)NCC(=O)N,EN300-16216_2,C3_amine
CS(=O)CCOCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-258426_4,C3_alcohol
Cc1ccc2c(c1)C(CCO2)C(=O)N(C)c3cncc4c3cccc4,MAK-UNK-3875bbc8-1,benzopyran-isoquinoline-scaffold
CC(CO)C(=O)N[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-55072_1,C0_amine
CS(=O)CCO[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-258426_1,C0_alcohol
CC(CO)C(=O)NC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-55072_2,C1_amine
COC(=O)COC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_2,C1_alcohol
COCC(=O)NCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-20233_3,C2_amine
COC(=O)COCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_3,C2_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCC(=O)N5CCOC5,EN300-211422_2,C3_amine
COC(=O)COCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_4,C3_alcohol
CN(c1cncc2c1cccc2)C(=O)C3CCOc4c3cc(cc4)Cl,MAK-UNK-3875bbc8-2,benzopyran-isoquinoline-scaffold
C=CC(C(=O)N[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-181492_1,C0_amine
COC(=O)CO[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_1,C0_alcohol
C=CC(C(=O)NC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-181492_2,C1_amine
COC(=O)COC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_2,C1_alcohol
CSCC(=O)NCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-07879_3,C2_amine
COC(=O)COCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_3,C2_alcohol
COCC(=O)NCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-20233_4,C3_amine
COC(=O)COCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_4,C3_alcohol
Cc1c2ccccc2c(cn1)NC(=O)C3CCOc4c3cc(cc4)Cl,JOH-SUS-a69c159d-1,benzopyran-isoquinoline-scaffold
C[C@H](C(=O)N[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-77464_1,C0_amine
COC(=O)CO[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_1,C0_alcohol
C[C@H](C(=O)NC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-77464_2,C1_amine
CNC(=O)COC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-2977549_2,C1_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCNC(=O)CCF,EN300-97758_3,C2_amine
COC(=O)COCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_3,C2_alcohol
CSCC(=O)NCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-07879_4,C3_amine
COC(=O)COCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_4,C3_alcohol
c1ccc2c(c1)c(cnc2F)NC(=O)C3CCOc4c3cc(cc4)Cl,JOH-SUS-a69c159d-2,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)NC(=O)CC(=O)N,EN300-82179_1,C0_amine
COC(=O)CO[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-19700_1,C0_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CNC(=O)CC(=O)N,EN300-82179_2,C1_amine
CC(C(=O)N)OC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-17381_2,C1_alcohol
CC(C(=O)NCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-19542_3,C2_amine
CNC(=O)COCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-2977549_3,C2_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCNC(=O)CCF,EN300-97758_4,C3_amine
CNC(=O)COCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-2977549_4,C3_alcohol
c1ccc2c(c1)c(c[nH]c2=O)NC(=O)C3CCOc4c3cc(cc4)Cl,JOH-UNI-f51e3bbc-1,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)NC(=O)C5CCO5,EN300-85760_1,C0_amine
CNC(=O)CO[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-2977549_1,C0_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CNC(=O)C5CCO5,EN300-85760_2,C1_amine
CC(C(=O)N)OC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-17381_2,C1_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCNC(=O)C(=O)N,EN300-113507_3,C2_amine
CC(C(=O)N)OCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-17381_3,C2_alcohol
CC(C(=O)NCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-19542_4,C3_amine
CC(C(=O)N)OCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-17381_4,C3_alcohol
c1ccc2c(c1)cnc(c2NC(=O)C3CCOc4c3cc(cc4)Cl)O,JOH-UNI-f51e3bbc-3,benzopyran-isoquinoline-scaffold
C[C@@H](C(=O)N[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-91905_1,C0_amine
CC(C(=O)N)O[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-17381_1,C0_alcohol
C[C@@H](C(=O)NC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4)O,EN300-91905_2,C1_amine
CC(C(=O)N)OC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-17381_2,C1_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCNC(=O)CC#N,EN300-19926_3,C2_amine
CC(C(=O)N)OCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-17381_3,C2_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCNC(=O)C(=O)N,EN300-113507_4,C3_amine
CC(C(=O)N)OCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-17381_4,C3_alcohol
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3c(ccc4O)Cl,ALP-UNI-4b8a177c-1,benzopyran-isoquinoline-scaffold
