smiles,broad_id,pert_iname,vendor,catalog_no,vendor_name
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12,BRD-K29542628-001-04-7,1-naphthyl-PP1,Tocris,3063,1-Naphthyl PP1
CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,BRD-K03083257-001-01-6,1-octacosanol,Acros,25813,"1-Octacosanol, 90+%"
CCCCCCCCO,BRD-K09338665-001-08-9,1-octanol,Enamine,Z104473500,1-octanol
CCCCCCCCO,BRD-K09338665-001-07-1,1-octanol,Enamine,Z104473500,
NC(=N)NC(=N)Nc1ccccc1,BRD-K31491153-003-05-9,1-phenylbiguanide,Tocris,969,1-Phenylbiguanide hydrochloride
CCNCCCNCCCCNCCCNCC,BRD-K04603573-376-01-3,"1,12-Besm",Tocris,500,"N~1~,N~4~-bis[3-(ethylamino)propyl]-1,4-butanediamine tetrahydrochloride"
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,BRD-K06817181-001-02-3,"1,2,3,4,5,6-hexabromocyclohexane",Tocris,2291,"1,2,3,4,5,6-Hexabromocyclohexane"
CCCn1c2[nH]c(nc2c(=O)n(CCC)c1=O)-c1ccccc1,BRD-K41853443-001-02-9,"1,3-dipropyl-8-phenylxanthine",Tocris,486,"1,3-Dipropyl-8-phenylxanthine"
OCCCCO,BRD-K22346679-001-06-3,"1,4-butanediol",Sigma,68891,"1,4-butanediol"
O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O,BRD-K53083666-001-01-0,"1,5-dicaffeoylquinic-acid",AnalytiCon,NP-000244,
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C,BRD-K96631475-001-03-2,10-deacetylbaccatin,MedChemEx,HY-16565,10-Deacetylbaccatin III
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C,BRD-K96631475-001-02-4,10-deacetylbaccatin,Selleck,S2409,10-DAB (10-Deacetylbaccatin)
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C,BRD-K96631475-001-04-0,10-deacetylbaccatin,Selleck,S2409,10-Deacetylbaccatin-III
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12,BRD-K70792160-003-04-6,10-DEBC,Tocris,2558,10-DEBC hydrochloride
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12,BRD-K70792160-003-06-1,10-DEBC,Tocris,2558,10-DEBC hydrochloride
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,BRD-K63784565-001-05-4,10-hydroxycamptothecin,Selleck,S2423,(S)-10-Hydroxycamptothecin
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,BRD-K63784565-001-06-2,10-hydroxycamptothecin,Selleck,S2423,10-Hydroxycamptothecin
CCc1ccc(cc1)\C=C1\SC(=S)NC1=O,BRD-K49460120-001-06-6,10058-F4,Tocris,4406,10058-F4
CCc1ccc(cc1)\C=C1\SC(=S)NC1=O,BRD-K49460120-001-05-8,10058-F4,Selleck,S7153,10058-F4
CCc1ccc(cc1)\C=C1\SC(=S)NC1=O,BRD-K49460120-001-02-5,10058-F4,Selleck,S7153,10058-F4
CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O,BRD-K68552125-001-05-3,12-O-tetradecanoylphorbol-13-acetate,Enzo,PE160,Phorbol 12 myristate 13 acetate
CC(=N)NCc1cccc(CN)c1,BRD-K30237152-300-02-5,1400W,Tocris,1415,1400W dihydrochloride
CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,BRD-K92301463-001-05-5,"16,16-dimethylprostaglandin-e2",Enzo,PG021,"16,16-Dimethyl-prostaglandin E2"
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,BRD-K84036904-001-08-8,17-alpha-methyltestosterone,MedChemEx,HY-A0121,17-Methyltestosterone
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,BRD-K84036904-001-09-6,17-alpha-methyltestosterone,MedChemEx,HY-A0121,17?-Methyltestosterone
CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O,BRD-A29731977-001-04-5,17-hydroxyprogesterone-caproate,MicroSource,1500343,HYDROXYPROGESTERONE CAPROATE
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1,BRD-K07395323-001-01-0,17-PA,Tocris,2681,17-PA
CCCCCCCCCCCC([N+][O-])c1cc(C)ccc1O,BRD-A37752546-001-01-9,1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone oxime,Sigma,MFCD00900589,(1E)-1-(2-hydroxy-5-methylphenyl)-1-dodecanone oxime
C[C@@H](N)[C@@H](O)c1ccccc1,BRD-K27853494-003-04-7,"1s,2r-phenylpropanolamine",MicroSource,1500484,"1S,2R-PHENYLPROPANOLAMINE HYDROCHLORIDE"
OC(=O)CCC(CCCS)C(O)=O,BRD-A66788520-001-01-7,2-(3-mercaptopropyl)pentanedioic acid,Tocris,5033,2-(3-mercaptopropyl)pentanedioic acid
ClC=C1Nc2sc3CCCCc3c2C(=O)N1,BRD-K46989997-001-01-8,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",Enamine,EN300-01894,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one"
C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1,BRD-K91868854-001-03-6,2-[1-(4-piperonyl)piperazinyl]benzothiazole,Tocris,736,2-[1-(4-Piperonyl)piperazinyl]benzothiazole
Nc1ccccc1S(N)(=O)=O,BRD-K32681104-001-11-6,2-aminobenzenesulfonamide,Prestwick,Prestw-913,2-Aminobenzenesulfonamide
NCCOB(c1ccccc1)c1ccccc1,BRD-K13346085-001-04-7,2-APB,Tocris,1224,2-APB
C1CN=C(N1)c1cc2ccccc2o1,BRD-K22745370-003-02-3,2-BFI,Tocris,348,2-BFI hydrochloride
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12,BRD-K70088346-001-02-4,2-chloro-N6-cyclopentyladenosine,Tocris,1705,2-Chloro-N6-cyclopentyladenosine
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12,BRD-K70088346-001-01-6,2-chloro-N6-cyclopentyladenosine,Tocris,1705,2-Chloro-N6-cyclopentyladenosine
Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,BRD-K79511609-001-20-0,2-chloroadenosine,Tocris,3136,2-Chloroadenosine
Clc1cnccn1,BRD-K84075000-001-05-5,2-Chloropyrazine,Prestwick,Prestw-1087,2-Chloropyrazine
CN1CCN(CC1)C1=Cc2ccccc2Oc2ccc(Cl)cc12,BRD-K92588747-051-02-7,2-CMDO,Tocris,782,2-CMDO
N#Cc1ncccn1,BRD-K95015809-001-02-8,2-cyanopyrimidine,Enamine,Z441820390,
CN([N+][O-])C(=O)NC(C=O)C(O)C(O)C(O)CO,BRD-A55902763-001-01-3,2-Deoxy-2-{[methyl(nitroso)carbamoyl]amino}hexose,Labotest,LT00452082,2-deoxy-2-{[(1-methyl-2-oxohydrazino)carbonyl]amino}hexose
OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,BRD-K97808269-001-02-7,2-deoxyglucose,Enzo,AC1512,2-Deoxyglucose
CCOc1ccccc1C(O)=O,BRD-K04843302-001-02-5,2-ethoxybenzoic-acid,Enamine,Z111665440,2-ethoxybenzoic acid
CCCC(O)C(CC)CO,BRD-A55455283-001-02-1,"2-ethyl-1,3-hexanediol",Sigma,MFCD00004578,"2-ethyl-1,3-hexanediol"
CCCC(O)C(CC)CO,BRD-A55455283-001-01-3,"2-ethyl-1,3-hexanediol",TCI,E0119,
OCC1OC(O)C(F)C(O)C1O,BRD-A53037300-001-01-0,2-fluoro-2-deoxy-D-galactose,SantaCruz,sc-220725,
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1C(=O)C(C(=O)\C=C\c2ccc(O)cc2)C(=O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,BRD-A52169337-001-01-9,"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione",MedChemEx,HY-N0567,"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-;2-yl)cyclohexane-1,3,5-trione"
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1C(=O)C(C(=O)\C=C\c2ccc(O)cc2)C(=O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,BRD-A52169337-001-02-7,"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione",MedChemEx,HY-N0567,Hydroxysafflor yellow A
OCCOC(=O)c1ccccc1O,BRD-K41866823-001-01-3,2-hydroxyethyl-salicylate,Acros,17410,2-Hydroxyethyl salicylate
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,BRD-K82027074-001-07-5,2-hydroxyflutamide,Enamine,Z1603855929,
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,BRD-K82027074-001-08-3,2-hydroxyflutamide,Sigma,MFCD00563126,2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide
NCC(O)(CS(O)(=O)=O)c1ccc(Cl)cc1,BRD-A27924917-001-03-3,2-hydroxysaclofen,Tocris,245,2-Hydroxysaclofen
OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12,BRD-K07954936-001-01-3,2-iminobiotin,BroadPharm,BP-20532,
OC(=O)CNC(=O)c1ccccc1I,BRD-K56634222-001-03-0,2-iodohippuric-acid,Enamine,Z85887266,
COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,BRD-K25649279-001-02-0,2-iodomelatonin,Tocris,737,2-Iodomelatonin
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O,BRD-K44408410-001-21-8,2-methoxyestradiol,Tocris,1807,2-Methoxyestradiol
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O,BRD-K44408410-001-22-6,2-methoxyestradiol,Selleck,S1233,2-Methoxyestradiol (2-MeOE2)
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O,BRD-K44408410-001-17-6,2-methoxyestradiol,Tocris,1807,2-Methoxyestradiol
Cc1[nH]c2ccc(O)cc2c1CCN,BRD-K64137799-003-03-3,2-methyl-5-hydroxytryptamine,Tocris,558,3-(2-aminoethyl)-2-methyl-1H-indol-5-ol hydrochloride
Cc1[nH]c2ccc(O)cc2c1CCN,BRD-K64137799-003-02-5,2-methyl-5-hydroxytryptamine,Tocris,558,2-Methyl-5-hydroxytryptamine hydrochloride
Cc1ccc(cc1O)[N+]([O-])=O,BRD-K22327730-001-01-1,2-methyl-5-nitrophenol,Enamine,Z415740552,
Cc1ncc[nH]1,BRD-K68534611-001-07-8,2-methylimidazole,Sigma,Y0001320,2-methyl-1H-imidazole
CCCCCCCCCCC(CO)CCCCCCCC,BRD-A51407134-001-02-7,2-octyldodecan-1-ol,Sigma,MFCD01310428,2-octyl-1-dodecanol
CCCCCCCCCCC(CO)CCCCCCCC,BRD-A51407134-001-01-9,2-octyldodecan-1-ol,Bepharm,B77854,2-Octyldodecan-1-ol
CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO,BRD-K77087341-001-02-4,2-Oleoylglycerol,Cayman,16537,2-hydroxy-1-(hydroxymethyl)ethyl (9Z)-9-octadecenoate
OC(=O)CCC(=O)C(O)=O,BRD-K89712525-001-02-1,2-oxoglutaric-acid,Enamine,Z57127547,
CC(=O)C(O)=O,BRD-K86587225-236-02-5,2-oxopropanoate,Sigma,MFCD00002586,sodium 2-oxopropanoate
COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1,BRD-K41869275-001-03-6,2-phenylmelatonin,Tocris,680,2-Phenylmelatonin
COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1,BRD-K41869275-001-02-8,2-phenylmelatonin,Tocris,680,2-Phenylmelatonin
O=C1Nc2ccccc2C2=NC(CN3CCN(CC3)c3ccccc3)CN12,BRD-A04661934-001-02-9,2-PMDQ,Tocris,627,2-PMDQ
NCCc1ccccn1,BRD-K17874705-300-03-2,2-pyridylethylamine,Tocris,2478,2-Pyridylethylamine dihydrochloride
NCCc1ccccn1,BRD-K17874705-300-04-0,2-pyridylethylamine,Tocris,2478,2-Pyridylethylamine dihydrochloride
Oc1ccc(\C=C(/C#N)C(=O)OCCc2cccs2)cc1O,BRD-K89072800-001-01-8,2-TEDC,Tocris,645,2-TEDC
Oc1ccnc(S)n1,BRD-K58819470-001-04-2,2-thiouracil,Selleck,S3100,2-Thiouracil
Oc1ccnc(S)n1,BRD-K58819470-001-05-9,2-thiouracil,MicroSource,1503973,2-THIOURACIL
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)[C@@H]2O,BRD-K44602126-001-01-3,"2,3-cis/exo-camphanediol",BroadPharm,BP-30021,
CC1(C)C2CC1[C@](C)(O)[C@H](O)C2,BRD-A75263867-001-01-1,"2,3-cis/exo-pinanediol",Maybridge,JFD01247,
OCCNCCCOc1cccc(Cl)c1Cl,BRD-K61734568-003-02-1,"2,3-DCPE",Tocris,2137,"2,3-DCPE hydrochloride"
[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O,BRD-K97833335-001-08-2,"2,4-dinitrochlorobenzene",Sigma,C3762,"1-chloro-2,4-dinitrobenzene"
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,BRD-K21910317-001-12-3,"2,4-dinitrophenol",MicroSource,330008,"2,4-DINITROPHENOL"
OCc1ccc(CO)o1,BRD-K29791386-001-01-8,"2,5-furandimethanol",Key,TS-01680,"furan-2,5-diyldimethanol"
CC1CCCC(C)N1,BRD-A21276153-001-01-1,"2,6-dimethylpiperidine",MicroSource,1301019,NANOFIN
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(O)nc(N)nc12,BRD-K78092779-001-01-6,2'-c-methylguanosine,Sigma,MFCD13194756,"(2R,3R,4R,5R)-2-(2-amino-6-hydroxy-9H-purin-9-yl)-5-(hydroxymethyl)-3-methyltetrahydrofuran-3,4-diol"
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc12,BRD-K63932022-001-01-5,2'-MeCCPA,Tocris,2281,2'-MeCCPA
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc12,BRD-K63932022-001-02-3,2'-MeCCPA,Tocris,2281,2'-MeCCPA
CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@]12C,BRD-K28343777-001-01-6,20-hydroxyecdysone,Selleck,S2417,20-Hydroxyecdysone
Cc1ccc(cc1)\C=C1\C2CCC(C)(C1=O)C2(C)C,BRD-A55464252-001-01-2,3-(4-methylbenzylidene)camphor,AlfaAesar,A16566,"3-(4-Methylbenzylidene)camphor, 99+%"
CN1C2CCC1CC(C2)OC(c1ccc(F)cc1)c1ccc(F)cc1,BRD-A85216385-003-02-4,3-alpha-bis-(4-fluorophenyl)-methoxytropane,Tocris,918,3?-Bis-(4-fluorophenyl) methoxytropane hydrochloride
C[C@]12CCC3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O,BRD-A43598550-001-09-4,3-alpha-Hydroxy-5-beta-androstan-17-one,Prestwick,Prestw-697,3-alpha-Hydroxy-5-beta-androstan-17-one
NC(=O)c1cccc(N)c1,BRD-K08703257-001-12-1,3-amino-benzamide,Selleck,S1132,INO-1001
NC(=O)c1cccc(N)c1,BRD-K08703257-001-13-9,3-amino-benzamide,Tocris,788,3-Aminobenzamide
OCCCNc1ccccc1,BRD-K49721826-001-02-7,3-anilinopropan-1-ol,Enamine,Z104584292,
C=CCN1CCN(CC1)c1nc2ccccc2nc1C#N,BRD-K38370968-050-01-3,3-AQC,Tocris,666,3-AQC
[O-][N+](=O)c1cccc2c(Br)n[nH]c12,BRD-K24689407-001-07-1,3-bromo-7-nitroindazole,Tocris,735,3-Bromo-7-nitroindazole
[O-][N+](=O)c1cccc2c(Br)n[nH]c12,BRD-K24689407-001-06-3,3-bromo-7-nitroindazole,Tocris,735,3-Bromo-7-nitroindazole
CC1(C)C2CCC1(C)C(=O)C2Br,BRD-A62841832-001-01-1,3-bromocamphor,Vitas-M,STK121291,
OC(=O)C(=O)CBr,BRD-K92980438-001-05-8,3-bromopyruvate,MedChemEx,HY-19992,3-Bromopyruvic acid
OC(=O)C(=O)CBr,BRD-K92980438-001-04-1,3-bromopyruvate,MedChemEx,HY-19992,3-Bromopyruvic acid
OC(=O)C(=O)CBr,BRD-K92980438-001-03-3,3-bromopyruvate,Enamine,EN300-67360,
N[C@@H](C(O)=O)c1ccc(O)c(c1)C(O)=O,BRD-K76592088-001-02-1,3-carboxy-4-hydroxyphenylglycine-(R),Tocris,328,(R)-3-Carboxy-4-hydroxyphenylglycine
N[C@H](C(O)=O)c1ccc(O)c(c1)C(O)=O,BRD-K61585876-001-01-0,3-carboxy-4-hydroxyphenylglycine-(S),Tocris,329,(S)-3-Carboxy-4-hydroxyphenylglycine
CN1C2CCC1CC(C2)OC(c1ccccc1)c1ccc(Cl)cc1,BRD-A51713165-003-02-6,3-CPMT,Tocris,917,3-CPMT
Nc1nccc2n(cnc12)[C@@H]1O[C@H](CO)C(O)C1O,BRD-A79431551-001-01-1,3-deazaadenosine,Enzo,AC992,3-Deazaadenosine
Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,BRD-K77791657-001-01-1,3-deazaneplanocin-A,Selleck,S7120,3-Deazaneplanocin A (DZNeP)
Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,BRD-K77791657-003-01-7,3-deazaneplanocin-A,Selleck,S7120,3-deazaneplanocin A (DZNeP) HCl
OCC1OC(C(O)C1O)N1C=CC(=O)CC1=O,BRD-A26105646-001-06-1,3-deazauridine,AMS,A001578548,"1-(3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)pyridine-2,4(1H,3H)-dione"
CCC(O)(CC(N)=O)c1ccccc1,BRD-A66143912-001-01-1,3-hydroxy-3-phenylpentanamide,Enamine,Z2327510224,3-hydroxy-3-phenylpentanamide
OC(=O)CCCc1c[nH]c2ccccc12,BRD-K43187796-001-02-3,3-indolebutyric-acid,Selleck,S2253,3-Indolebutyric acid (IBA)
Cc1cc(sc1C(N)C(O)=O)C(O)=O,BRD-A87125127-001-02-2,3-MATIDA,Tocris,2196,3-MATIDA
CC(CN)CC(O)=O,BRD-A62890442-077-01-0,3-methyl-GABA,Tocris,386,3-Methyl-GABA
Cn1cnc(=N)c2nc[nH]c12,BRD-K81647657-001-04-3,3-methyladenine,Selleck,S2767,3-Methyladenine
Cn1cnc(=N)c2nc[nH]c12,BRD-K81647657-001-05-0,3-methyladenine,Selleck,S2767,3-Methyladenine (3-MA)
COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1,BRD-K62581435-001-03-8,3-MPPI,Tocris,581,3-MPPI
Clc1cccc(c1)\C=N\N=C\c1cccc(Cl)c1,BRD-K82903013-001-01-4,"3,3'-dichlorobenzaldazine",Tocris,1952,DCB
C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,BRD-K37846922-001-09-4,"3,3'-diindolylmethane",Enzo,GR207,Diindolylmethane
NC(C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O,BRD-A49947412-001-02-0,"3,4-DCPG-(+/-)",Tocris,1394,"(RS)-3,4-DCPG"
N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O,BRD-K06204668-001-02-6,"3,4-DCPG-(R)",Tocris,1395,"(R)-3,4-DCPG"
N[C@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O,BRD-K86305586-001-02-3,"3,4-DCPG-(S)",Tocris,1302,"(S)-3,4-DCPG"
N[C@H](C(O)=O)c1cc(O)cc(O)c1,BRD-K57796080-001-03-7,"3,5-DHPG-(S)",Tocris,805,"(S)-3,5-DHPG"
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1cccc(F)c1)C2=O)c1ccccc1,BRD-K45662124-050-02-3,3'-fluorobenzylspiperone,Tocris,701,3'-Fluorobenzylspiperone maleate
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1cccc(F)c1)C2=O)c1ccccc1,BRD-K45662124-050-01-5,3'-fluorobenzylspiperone,Tocris,701,3'-Fluorobenzylspiperone maleate
O=C(\C=C\c1cccnc1)c1ccncc1,BRD-K58413118-001-01-8,3PO,MedChemEx,HY-19824,3PO
Fc1ccc(cc1)C(=O)C1CCN(CCCCc2ccccc2)CC1,BRD-K47337578-034-03-3,4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,Tocris,523,4F 4PP oxalate
Fc1ccc(cc1)C(=O)C1CCN(CCCCc2ccccc2)CC1,BRD-K47337578-034-02-5,4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,Tocris,523,4F 4PP oxalate
CC(=O)N1CC[N+](C)(C)CC1,BRD-K97019106-005-02-9,"4-acetyl-1,1-dimethylpiperazinium",Tocris,352,"4-Acetyl-1,1-dimethylpiperazinium iodide"
Nc1ccc(cc1)C(=O)NCC(O)=O,BRD-K65544384-001-15-8,4-aminohippuric-acid,MicroSource,1503069,AMINOHIPPURIC ACID
Nc1ccc(cc1)C(=O)NCC(O)=O,BRD-K65544384-236-01-0,4-aminohippuric-acid,Selleck,S4414,Sodium 4-aminohippurate Hydrate
Nc1ccc(cc1)C(=O)NCC(O)=O,BRD-K65544384-236-03-6,4-aminohippuric-acid,MedChemEx,HY-A0080,Aminohippurate (sodium)
Nc1ccc(cc1)C(=O)NCC(O)=O,BRD-K65544384-001-14-1,4-aminohippuric-acid,Selleck,S2883,4-Aminohippuric Acid
Nc1ccc(cc1)C(=O)NCC(O)=O,BRD-K65544384-236-02-8,4-aminohippuric-acid,Selleck,S4414,SodiuM 4-aMinohippurate hydrate
