SMILES,TITLE,Hybrid2,fragments,site
c1ccc2c(c1)-c3ccccc3C2[NH+]4CCN(CC4)C(=O)c5ccc6c(c5)cc[nH]6,Genz-10850,-11.636246,x0104,active-noncovalent
c1cc(ccc1[C@@H]2Cc3ccc(cc3OC2)O)O,Equol,-11.620012,x0749,active-covalent
Cc1c([nH]cn1)CN2CCc3c(c4ccccc4n3C)C2=O,Alosetron,-11.610959,x0195,active-noncovalent
c1ccc(cc1)CCn2c(=O)c3ccccc3c(=O)[nH]2,"2-Phenethyl-2,3-Dihydro-Phthalazine-1,4-Dione",-11.491937,x0678,active-noncovalent
c1cc2c(cc(cn2)c3ccc(cc3)O)c4c1ccnc4,"9-(4-Hydroxyphenyl)-2,7-Phenanthroline",-11.480380,x0678,active-noncovalent
CCCC[NH+](CCCC)C[C@@H](c1cc(cc\2c1-c3ccc(cc3/C2=C/c4ccc(cc4)Cl)Cl)Cl)O,Lumefantrine,-11.434649,x0161,active-noncovalent
c1cc2c(cc1C(=[NH2+])N)nc([nH]2)Cc3[nH]c4ccc(cc4n3)C(=[NH2+])N,Bis(5-Amidino-Benzimidazolyl)Methane,-11.427685,x1077,active-noncovalent
c1ccc-2c(c1)Cc3c2[nH]nc3c4ccncc4,"3-Pyridin-4-Yl-2,4-Dihydro-Indeno[1,2-.C.]Pyrazole",-11.392682,x0749,active-covalent
c1cc(ccc1c2ccc3c(c2)ccc(c3Cl)O)O,1-CHLORO-6-(4-HYDROXYPHENYL)-2-NAPHTHOL,-11.376515,x0749,active-covalent
C[N@H+](CC=C)Cc1ccc(cc1)c2ccc(cc2)C(=O)c3ccc(cc3)Br,"(4'-{[Allyl(Methyl)Amino]Methyl}-1,1'-Biphenyl-4-Yl)(4-Bromophenyl)Methanone",-11.371954,x0104,active-noncovalent
c1ccc(cc1)NC(=O)c2ccn[nH]2,N-phenyl-1H-pyrazole-3-carboxamide,-11.371179,x0678,active-noncovalent
c1ccc(cc1)C(=O)c2ccc(cc2)C[C@@H](C(=O)[O-])[NH3+],PARA-(BENZOYL)-PHENYLALANINE,-11.360617,x0678,active-noncovalent
C[C@H](c1ccc(c(c1)F)c2ccccc2)C(=O)[O-],Tarenflurbil,-11.357160,x0678,active-noncovalent
c1ccc2c(c1)ncc(n2)NS(=O)(=O)c3ccc(cc3)N,Sulfaquinoxaline,-11.320952,x0678,active-noncovalent
c1cc(ccc1C2=Cc3ccc(cc3OC2)O)O,Idronoxil,-11.288698,x0749,active-covalent
c1cc(ccc1c2cc3ccc(cc3s2)O)O,2-(4-hydroxyphenyl)benzo[b]thiophen-6-ol,-11.269278,x0749,active-covalent
Cc1ccn(c(=O)c1c2ccc3c(c2)cnc(n3)N)c4ccc5c(c4)NCC5(C)C,"3-(2-aminoquinazolin-6-yl)-1-(3,3-dimethylindolin-6-yl)-4-methylpyridin-2(1H)-on",-11.266127,x0161,active-noncovalent
c1ccc2c(c1)C3=[NH+]c4ccc(cc4CN3C2=O)N,Daniquidone,-11.263820,x0678,active-noncovalent
c1ccc2c(c1)c([nH]n2)c3[nH]c4ccccc4n3,3-(1H-BENZIMIDAZOL-2-YL)-1H-INDAZOLE,-11.232033,x0678,active-noncovalent
CC(C)(c1cccnc1)C(=O)c2cccnc2,Metyrapone,-11.216053,x0678,active-noncovalent
c1ccc(cc1)NCc2cccnc2,N-(pyridin-3-ylmethyl)aniline,-11.209691,x0678,active-noncovalent
c1ccc(c(c1)c2[nH]c3cc(ccc3n2)C(=[NH2+])N)O,CRA_1144,-11.192276,x0678,active-noncovalent
c1ccc(c(c1)c2[nH]c3cc(ccc3n2)C(=[NH2+])N)O,2-(2-Hydroxy-Phenyl)-3h-Benzoimidazole-5-Carboxamidine,-11.192276,x0678,active-noncovalent
c1cc2c3c(c1)[C@H]4CCC[C@H]4C[N@]3CC[NH2+]C2,Vabicaserin,-11.190751,x0195,active-noncovalent
Cc1c2c(nc(n1)N)C[C@@H](C[C@H]2N=O)c3ccc(cc3c4cccnc4)F,"(5E,7S)-2-amino-7-(4-fluoro-2-pyridin-3-ylphenyl)-4-methyl-7,8-dihydroquinazolin",-11.147985,x0749,active-covalent
C[NH+]1CCC(=C2c3ccccc3CCc4c2ccs4)CC1,Pizotifen,-11.140948,x0195,active-noncovalent
c1ccc(cc1)CCc2c3c(cc4c2nc[nH]4)c(=O)[nH]c(n3)N,"6-amino-4-(2-phenylethyl)-1,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one",-11.125434,x0967,active-noncovalent
c1ccc2c(c1)C=Cc3ccccc3N2Cc4cnc5c(n4)c(nc(n5)N)N,"[N-(2,4-DIAMINOPTERIDIN-6-YL)-METHYL]-DIBENZ[B,F]AZEPINE",-11.118546,x0107,active-noncovalent
C[C@]12CCc3c4ccc(cc4ccc3[C@@H]1CCC2=O)O,Equilenin,-11.084661,x0749,active-covalent
c1ccc(cc1)c2ccc3c(c2)c(n[nH]3)N,5-phenyl-1H-indazol-3-amine,-11.072072,x0749,active-covalent
Cc1cccc(n1)[C@H]2[C@@H](CN=N2)c3ccc4c(n3)cccn4,Naphthyridine Inhibitor,-11.059591,x0397,active-noncovalent
c1cc2c(cc1C(=[NH2+])N)nc([nH]2)C(=O)c3[nH]c4ccc(cc4n3)C(=[NH2+])N,Bis(5-Amidino-2-Benzimidazolyl)Methanone,-11.054985,x1077,active-noncovalent
c1cc2c(cc1C(=[NH2+])N)nc([nH]2)C(=O)c3[nH]c4ccc(cc4n3)C(=[NH2+])N,Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone,-11.054985,x1077,active-noncovalent
c1cc(cc2c1cc(cc2)O)c3c4ccc(cc4on3)O,3-(6-HYDROXY-NAPHTHALEN-2-YL)-BENZO[D]ISOOXAZOL-6-OL,-11.038447,x0678,active-noncovalent
C[N@@H+]1CCc2cccc-3c2[C@H]1Cc4c3c(c(cc4)O)O,Apomorphine,-11.037971,x0195,active-noncovalent
C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1C[C@H]([C@@H]2O)O)O,Estriol,-11.030424,x0749,active-covalent
c1ccc2c(c1)/C(=N/c3ccc(cc3)O)/C(=O)N2,(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One,-11.021921,x0749,active-covalent
c1cc2ccc3cc4c(c5c3c2c(c1)cc5)C[C@H]([C@H]([C@@H]4O)O)O,"1,2,3-TRIHYDROXY-1,2,3,4-TETRAHYDROBENZO[A]PYRENE",-11.008533,x0749,active-covalent
C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C)O,"17Alpha-methyl-3beta,17beta-dihydroxy-5alpha-androstane",-11.001923,x0749,active-covalent
CC1(CCC(c2c1ccc(c2)[C@H](c3ccc4cc(ccc4c3)C(=O)[O-])O)(C)C)C,BMS184394,-10.989280,x0161,active-noncovalent
c1cc(ccc1[C@H]2[C@H]3CC(C[C@H]3c4cc(ccc4O2)O)(F)F)O,"(3AS,4R,9BR)-2,2-DIFLUORO-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[",-10.982422,x0195,active-noncovalent
c1ccc2c(c1)C(=C(C(=O)C2=O)C3CCC(CC3)c4ccc(cc4)Cl)[O-],"2-[4-(4-Chlorophenyl)Cyclohexylidene]-3,4-Dihydroxy-1(2h)-Naphthalenone",-10.958655,x0161,active-noncovalent
CC1=C(C(=O)C(=C(C1=O)[NH+]2CC2)CO)[NH+]3CC3,RH-1,-10.949577,x0195,active-noncovalent
C/C(=C/1\c2cc(ccc2NC1=O)NC(=O)N)/c3ccc[nH]3,1-{2-OXO-3-[(1R)-1-(1H-PYRROL-2-YL)ETHYL]-2H-INDOL-5-YL}UREA,-10.941818,x0749,active-covalent
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@H]4[C@@H]3CCC(=O)C4=O,17alpha-methyl-4-hydroxynandrolone,-10.933439,x0749,active-covalent
Cc1c(c(nc(n1)N)N)C#C[C@H](C)c2cc(cc(c2)OC)c3ccccc3,"5-[(3R)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine",-10.926559,x0678,active-noncovalent
Cc1c(=O)c2cc(ccc2oc1c3cc(c(c(c3)Br)[O-])Br)O,"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone",-10.916977,x0749,active-covalent
c1cc(c(cc1C(F)(F)F)Cl)Oc2ccc(c(c2)C(=O)[O-])N(=O)=O,Acifluorfen,-10.915106,x1093,active-noncovalent
c1cc2c(cc1Cl)n(c(=O)n(c2=O)Cc3ccc(cc3F)Br)CC(=O)[O-],Zenarestat,-10.890029,x0830,active-covalent
C[C@]12CCC(=O)C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C,5beta-dihydrotestosterone,-10.882597,x0749,active-covalent
C[C@]12CC[C@@H]3c4cc(c(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O)O,2-Hydroxyestradiol,-10.873961,x0749,active-covalent
c1ccc2c(c1)c(c[nH]2)Cc3c[nH]c4c3cccc4,"3,3'-diindolylmethane",-10.868416,x1093,active-noncovalent
C[NH+](C)CCCN1c2ccccc2CCc3c1cccc3,Imipramine,-10.859057,x0195,active-noncovalent
Cn1c2c(c(n1)c3ccc4ccccc4c3)c(ncn2)N,"1-methyl-3-naphthalen-2-yl-1H-pyrazolo[3,4-d]pyrimidin-4-amine",-10.850032,x0678,active-noncovalent
CC1(CCC(c2c1ccc(c2)C(=O)c3ccc4cc(ccc4c3)C(=O)[O-])(C)C)C,CD564,-10.829392,x0161,active-noncovalent
c1ccc2c(c1)c(c([nH]2)O)c3c(c4ccccc4[nH]3)N=O,Indirubin-3'-monoxime,-10.825436,x0678,active-noncovalent
C[C@@H](c1cccc2c1occ2c3ccccc3)C(=O)[O-],Furaprofen,-10.824141,x0678,active-noncovalent
Cc1ccc(cc1)CCc2c3c(cc4c2nc[nH]4)c(=O)[nH]c(n3)N,"6-AMINO-4-[2-(4-METHYLPHENYL)ETHYL]-1,7-DIHYDRO-8H-IMIDAZO[4,5-G]QUINAZOLIN-8-ON",-10.818161,x0107,active-noncovalent
c1cc(c(cc1/C=C/c2cc(cc(c2)O)O)O)O,PICEATANNOL,-10.811160,x0749,active-covalent
c1ccc2c(c1)c(=O)c3cc(ccc3o2)S(=O)(=O)[N-]c4n[n-]nn4,"N-(1,4-dihydro-5H-tetrazol-5-ylidene)-9-oxo-9H-xanthene-2-sulfonamide",-10.809532,x0678,active-noncovalent
COc1ccc2c(c1)/C(=C/c3cnc[nH]3)/C(=O)N2,SU9516,-10.803868,x0195,active-noncovalent
Cc1ccccc1c2cc3ccc(cc3[nH]2)C(=[NH2+])N,2-(2-METHYLPHENYL)-1H-INDOLE-6-CARBOXIMIDAMIDE,-10.802519,x0678,active-noncovalent
CCn1c2ccccc2c3c1ccc(c3)C[NH2+]C,1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine,-10.797463,x0195,active-noncovalent
c1ccc2cc(ccc2c1)C[C@@H](C(=O)[O-])[NH3+],Beta-(2-Naphthyl)-Alanine,-10.797232,x0830,active-covalent
c1ccc2c(c1)CCN(C2)C(=[NH2+])N,Debrisoquine,-10.796881,x0195,active-noncovalent
C/C(=C/1\c2cc(ccc2NC1=O)O)/c3ccc[nH]3,5-HYDROXY-3-[(1R)-1-(1H-PYRROL-2-YL)ETHYL]-2H-INDOL-2-ONE,-10.796027,x0195,active-noncovalent
c1ccc(cc1)c2cc(c3[nH+]cc(n3c2)Br)NCc4cncnc4,"3-bromo-6-phenyl-N-(pyrimidin-5-ylmethyl)imidazo[1,2-a]pyridin-8-amine",-10.788913,x0678,active-noncovalent
CCN1c2cc3c(cc2C(C1=O)(C)C)[nH]c-4c3CCCc5c4n[nH]c5C,"8-ethyl-3,10,10-trimethyl-4,5,6,8,10,12-hexahydropyrazolo[4',3':6,7]cyclohepta[1",-10.785570,x0749,active-covalent
CC(C)[C@H]1c2cc(ccc2CC[NH2+]1)NC(=O)c3ccc4cc(ccc4c3)C(=[NH2+])N,"6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarb",-10.780117,x0104,active-noncovalent
c1cc(ccc1c2ccc(o2)/C=C\3/C(=O)NC(=[NH2+])S3)C(=O)[O-],"4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZOIC ACI",-10.776232,x0107,active-noncovalent
CCS/C(=[NH+]/c1ccc(cc1)C(F)(F)F)/N,S-Ethyl-N-[4-(Trifluoromethyl)Phenyl]Isothiourea,-10.765605,x0195,active-noncovalent
c1ccc2c(c1)c(ccc2O)/N=N/c3ccccc3C(=O)[O-],2-((4'-HYDROXYNAPHTHYL)-AZO)BENZOIC ACID,-10.749926,x0195,active-noncovalent
C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C)O,"5-Alpha-Androstane-3-Beta,17beta-Diol",-10.740103,x0749,active-covalent
CC1=C2C(=Cc3cccc(c3C2=O)[O-])C[C@H](O1)CC(=O)[O-],"[(3S)-9-hydroxy-1-methyl-10-oxo-4,10-dihydro-3H-benzo[g]isochromen-3-yl]acetic a",-10.739415,x0749,active-covalent
CCC1=C[C@@H]2Cc3c(c(c4ccc(cc4[nH+]3)Cl)N)[C@@H](C2)C1,"3-Chloro-9-Ethyl-6,7,8,9,10,11-Hexahydro-7,11-Methanocycloocta[B]Quinolin-12-Ami",-10.738072,x0749,active-covalent
C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C,Prasterone,-10.734205,x0749,active-covalent
C[C@]12CCc3c4ccc(cc4ccc3[C@@H]1CC[C@@]2(C)O)O,17-METHYL-17-ALPHA-DIHYDROEQUILENIN,-10.732480,x0749,active-covalent
c1cc(c(cc1c2ccc(cc2F)F)C(=O)[O-])O,Diflunisal,-10.732103,x0749,active-covalent
c1cc(ccc1Cn2c(c3c(c2O)[C@@H]([N@@H+]4[C@H]3CCC4)c5ccc(cc5)C(=[NH2+])N)O)F,"(3ASR,4RS,8ASR,8BRS)-4-(2-(4-FLUOROBENZYL)-1,3-DIOXODEACAHYDROPYRROLO[3,4-A] PYR",-10.723947,x0434,active-noncovalent
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(Cc5c(non5)C4)C,Furazabol,-10.722659,x0749,active-covalent
c1cc2c(cc1O)sc(n2)C3=NC(=O)CS3,"2-(6-HYDROXY-1,3-BENZOTHIAZOL-2-YL)-1,3-THIAZOL-4(5H)-ONE",-10.700084,x0749,active-covalent
C[C@]12CC[C@@H]3[C@H]4CC[C@@H](CC4=CC[C@H]3[C@@H]1CC[C@@H]2O)O,19-Nor-5-androstenediol,-10.695486,x0749,active-covalent
c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)[O-])O,Apigenin,-10.685080,x0749,active-covalent
c1ccc2cc3c(cccc3N)cc2c1,Aminoanthracene,-10.685076,x0195,active-noncovalent
C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)[O-],Flurbiprofen,-10.678944,x0830,active-covalent
C[NH2+]CCCC1c2ccccc2C=Cc3c1cccc3,Protriptyline,-10.678865,x0195,active-noncovalent
c1ccc(cc1)C(c2ccccc2)(c3ccccc3)OC[C@@H]4[C@H](C[C@@H](O4)n5ccc(=O)[nH]c5=O)F,"1-{(2S,5S)-4-FLUORO-5-[(TRITYLOXY)METHYL]TETRAHYDROFURAN-2-YL}PYRIMIDINE-2,4(1H,",-10.667377,x0195,active-noncovalent
C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC[C@@H]4[C@@H]3CCC(=O)C4,"(13S)-13-METHYLDODECAHYDRO-1H-CYCLOPENTA[A]PHENANTHRENE-3,17(2H,4H)-DIONE",-10.659962,x0749,active-covalent
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(Cc5cn[nH]c5C4)C,Stanozolol,-10.635459,x0749,active-covalent
C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@H]4O)C)O,"5-Alpha-Androstane-3-Beta,17-Alpha-Diol",-10.632685,x0749,active-covalent
C[N@@H+]1CCC2=C(C1)c3ccccc3Cc4c2cccc4,Setiptiline,-10.631288,x0072,active-noncovalent
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C[C@H](CC[C@]34C)O,4-Androstenediol,-10.628994,x0749,active-covalent
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@@H]4[C@@]3(C=C[C@@H](C4)O)C,1-Androstenediol,-10.614017,x0749,active-covalent
CC[C@@]1(Cc2ccc(cc2C1)F)c3cnc[nH]3,Fipamezole,-10.610895,x0161,active-noncovalent
c1ccc(cc1)c2cc(on2)c3ccn[nH]3,3-phenyl-5-(1H-pyrazol-3-yl)isoxazole,-10.603693,x0678,active-noncovalent
CC\1=C(c2cc(ccc2/C1=C\c3ccc(cc3)[S@@](=O)C)F)CC(=O)[O-],Sulindac,-10.595797,x0830,active-covalent
c1ccc(cc1)c2ccc(n2CC(=O)NC(=[NH2+])N)c3ccccc3,"N-[amino(imino)methyl]-2-(2,5-diphenyl-1H-pyrrol-1-yl)acetamide",-10.592916,x0967,active-noncovalent
Cc1nnc2n1-c3ccc(cc3[C@@H](N=C2)c4ccccc4Cl)Cl,Triazolam,-10.587616,x1077,active-noncovalent
CC1(Cc2c(c(c(n2C1)CC(=O)[O-])c3ccc(cc3)Cl)c4ccccc4)C,Licofelone,-10.586469,x1418,active-covalent
C/C(=C\C(=O)[O-])/C=C/C=C(/C)\C=C\1/CCCc2c1cccc2,9CUAB30,-10.581276,x0831,active-covalent
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,Norethynodrel,-10.580162,x0749,active-covalent
C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CCC2=O)O,Estrone,-10.575466,x0749,active-covalent
c1cc(cc(c1)N2c3cccc(c3Oc4c2cccc4C(=O)[O-])C(=O)[O-])C(F)(F)F,"N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid",-10.561419,x0830,active-covalent
c1cc2c(cc1C(=[NH2+])N)[nH]c(n2)c3cc(ccc3O)F,CRA_1802,-10.557934,x0678,active-noncovalent
c1cncc2c1n3c(n2)C[C@@H]([C@H](C3)[NH3+])c4cc(c(cc4F)F)F,"(7R,8R)-8-(2,4,5-trifluorophenyl)-6,7,8,9-tetrahydroimidazo[1,2-a:4,5-c']dipyrid",-10.556579,x0749,active-covalent
c1cc(ccc1/C=c\2/c(=O)n(/c(=C\[NH3+])/[nH]2)CC(=O)[O-])O,"[2-(Methyleneamine)-4-(4-Hydroxy-Benzylidine)-5-Oxo-4,5-Dihydro-Imidazol-1-Yl]-A",-10.538618,x0678,active-noncovalent
CNc1ccc(cc1[18F])c2nc3ccc(cc3s2)O,Flutemetamol (18F),-10.536270,x0749,active-covalent
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],Carprofen,-10.533113,x0749,active-covalent
c1ccc2c(c1)c3c([nH]2)[C@@H]4CCCC[N@H+]4CC3=O,"(7as,12ar,12bs)-1,2,3,4,7a,12,12a,12b-Octahydroindolo[2,3-a]Quinolizin-7(6h)-One",-10.528099,x0195,active-noncovalent
C[C@]12CC[C@@H]3[C@H]4CCC(=O)CC4=CC[C@H]3[C@@H]1CCC2=O,19-Nor-5-androstenedione,-10.515950,x0749,active-covalent
c1cc(cc(c1)I)C[NH+]=C(N)N,Iobenguane,-10.515469,x0195,active-noncovalent
c1cc(cc(c1)[123I])C[NH+]=C(N)N,Iobenguane sulfate I-123,-10.515469,x0195,active-noncovalent
c1cnc(nc1)[N-]S(=O)(=O)c2ccc(cc2)N,Sulfadiazine,-10.514614,x0072,active-noncovalent
c1cnc(nc1)[N-]S(=O)(=O)c2ccc(cc2)N,Silver sulfadiazine,-10.514614,x0072,active-noncovalent
CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34,18-methyl-19-nortestosterone,-10.513809,x0749,active-covalent
COc1ccc(c(c1)c2[nH]c3cc(ccc3n2)C(=[NH2+])N)O,2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine,-10.503323,x0107,active-noncovalent
COc1ccc(c(c1)OC)/C=C/2\CCCN=C2c3cccnc3,GTS-21,-10.501475,x0107,active-noncovalent
c1cc(cc2c1cc[nH]2)CCc3cc(=O)[nH]c(n3)N,2-amino-6-[2-(1H-indol-6-yl)ethyl]pyrimidin-4(3H)-one,-10.495667,x0678,active-noncovalent
C[NH+]1CCC(=C2c3ccccc3C=Cc4c2cccc4)CC1,Cyproheptadine,-10.486872,x0195,active-noncovalent
C[C@]12CC[C@@H]3c4ccc(cc4CC=C3[C@@H]1CCC2=O)O,Equilin,-10.479601,x0749,active-covalent
c1cc2c(c(c1)Sc3ccc(cc3)N4CCOCC4)c(nc(n2)N)N,"5-(4-Morpholin-4-Yl-Phenylsulfanyl)-2,4-Quinazolinediamine",-10.478854,x0749,active-covalent
c1cc(ccc1/C=C/c2cc(cc(c2)O)O)O,Resveratrol,-10.467901,x0749,active-covalent
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(C/C(=C/[O-])/C(=O)C4)C,Oxymetholone,-10.464322,x0749,active-covalent
Cc1nccn1C[C@H]2CCc3c(c4cccc5c4n3CCC5)C2=O,Cilansetron,-10.463753,x0749,active-covalent
C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1[C@H]([C@H]([C@@H]2O)O)O)O,Estetrol,-10.461740,x0749,active-covalent
COC(=O)[C@H](c1ccccc1Cl)[N@H+]2CCc3c(ccs3)C2,Clopidogrel,-10.458050,x0749,active-covalent
C[NH+](C)C/C=C(/c1ccc(cc1)Br)\c2cccnc2,Zimelidine,-10.456805,x0107,active-noncovalent
C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1C[C@H]([C@H]2O)O)O,17alpha-Estriol,-10.455505,x0749,active-covalent
C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,Cholecalciferol,-10.450566,x0104,active-noncovalent
c1cc2c(cc1F)cc([nH]2)C(=O)NCCS,Fica,-10.450373,x0678,active-noncovalent
C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O,Estradiol,-10.439062,x0749,active-covalent
c1ccc2c(c1)[nH]c(n2)Cc3[nH]c4cc(ccc4n3)C(=[NH2+])N,Hemi-Babim,-10.431572,x0104,active-noncovalent
COc1ccc2c(c1)occ(c2=O)c3ccc(cc3)O,Isoformononetin,-10.425697,x0749,active-covalent
C[C@@H](c1ccccc1F)/[NH+]=C\2/NC(=O)[C@@](S2)(C)C(F)(F)F,"(5S)-2-{[(1S)-1-(2-fluorophenyl)ethyl]amino}-5-methyl-5-(trifluoromethyl)-1,3-th",-10.417786,x0678,active-noncovalent
C[NH+](C)C[C@@H](Cn1c2ccc(cc2c3c1ccc(c3)Br)Br)O,(S)-wiskostatin,-10.416639,x0195,active-noncovalent
C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,Trenbolone,-10.413925,x0749,active-covalent
C[C@]12CC[C@@H]3c4cc(c(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O)OC,2-Methoxyestradiol,-10.411283,x0749,active-covalent
c1cc(ccc1c2cc3cc(ccc3o2)O)O,2-(4-HYDROXY-PHENYL)BENZOFURAN-5-OL,-10.409985,x0749,active-covalent
c1ccc(cc1)CSC[C@@H](C(=O)[O-])[NH3+],Benzylcysteine,-10.406841,x0678,active-noncovalent
C[C@@H]1CC2=CC(=O)CC[C@@H]2[C@@H]3[C@@H]1[C@@H]4CC[C@]([C@]4(CC3)C)(C)O,Mibolerone,-10.404454,x0749,active-covalent
CN1CC[NH+](CC1)CCCN2c3ccccc3Sc4c2cc(cc4)C(F)(F)F,Trifluoperazine,-10.390505,x0195,active-noncovalent
C[NH+](C)CC/C=C/1\c2ccccc2CSc3c1cccc3,Dosulepin,-10.388539,x0104,active-noncovalent
C[N@H+](C/C=C/c1ccccc1)Cc2cccc3c2cccc3,Naftifine,-10.381157,x0161,active-noncovalent
CC1=CC(=O)C=C2[C@]1([C@H]3CC[C@]4([C@H]([C@@H]3CC2)CCC4=O)C)C,Atamestane,-10.381104,x0749,active-covalent
CC[C@H]1C[NH2+]Cc2c1cc(cc2)NC(=O)c3ccc4cc(ccc4c3)C(=[NH2+])N,"6-[N-(4-Ethyl-1,2,3,4-Tetrahydro-6-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxam",-10.379058,x0104,active-noncovalent
