SMILES,TITLE,pert_iname,vendor,catalog_no,vendor_name,Hybrid2,docked_fragment,Mpro-_dock,site
COc1cc2c(cc1OCCC[NH+]3CCCC3)[NH+]=C(C24CCC4)N,BRD-K06182768-001-01-5,A-366,MedChemEx,HY-12583,A-366,-12.457256,x1077,1.558067,active-noncovalent
COc1cc2c(cc1OCCC[NH+]3CCCC3)[NH+]=C(C24CCC4)N,BRD-K06182768-001-06-4,A-366,MedChemEx,HY-12583,A-366,-12.457256,x1077,1.558067,active-noncovalent
COc1cc2c(cc1OCCC[NH+]3CCCC3)[NH+]=C(C24CCC4)N,BRD-K06182768-001-02-3,A-366,Tocris,5163,A-366,-12.457256,x1077,1.558067,active-noncovalent
COc1cc2c(cc1OCCC[NH+]3CCCC3)[NH+]=C(C24CCC4)N,BRD-K06182768-001-03-1,A-366,MedChemEx,HY-12583,A-366,-12.457256,x1077,1.558067,active-noncovalent
c1cc(c(c2c1[C@@H](O[C@@H](C2)C34CC5CC(C3)CC(C5)C4)C[NH3+])O)O,BRD-K72226571-003-01-2,A77636,Tocris,1701,A 77636 hydrochloride,-12.421812,x0749,-0.226401,active-covalent
c1ccc2c(c1)c3c4c(c5c6ccccc6[nH]c5c3[nH]2)C(=O)NC4=O,BRD-K72726508-001-02-1,arcyriaflavin-a,Tocris,2457,Arcyriaflavin A,-12.239515,x0678,1.854395,active-noncovalent
c1ccc2c(c1)c3c4c(c5c6ccccc6[nH]c5c3[nH]2)C(=O)NC4=O,BRD-K72726508-001-03-9,arcyriaflavin-a,Tocris,2457,Arcyriaflavin A,-12.239515,x0678,1.854395,active-noncovalent
CN1C(=O)c2c(nn(c2Nc3ccccc3)Cc4ccc(cc4)c5cccc(n5)F)N6C1=[NH+][C@H]7[C@@H]6CCC7,BRD-K77987496-011-01-9,ITI214,MedChemEx,HY-12501A,ITI214,-12.193553,x0434,9.331999,active-noncovalent
c1c(cc(c(c1O)O)O)[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O,BRD-K55591206-001-18-1,epigallocatechin-gallate-(-),Selleck,S2250,(-)-Epigallocatechin Gallate,-12.171526,x0831,1.923191,active-covalent
c1c(cc(c(c1O)O)O)[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O,BRD-K55591206-001-19-9,epigallocatechin-gallate-(-),Selleck,S2250,(-)-Epigallocatechin gallate,-12.171526,x0831,1.923191,active-covalent
c1c(cc(c(c1O)O)O)[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O,BRD-K55591206-001-20-7,epigallocatechin-gallate-(-),MedChemEx,HY-13653,(-)-Epigallocatechin Gallate,-12.171526,x0831,1.923191,active-covalent
c1c(cc(c(c1O)O)O)[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O,BRD-K55591206-001-22-3,epigallocatechin-gallate-(-),MedChemEx,HY-13653,(-)-Epigallocatechin Gallate,-12.171526,x0831,1.923191,active-covalent
Cc1c(c2cc(ccc2n1CC(=O)[O-])F)Cc3ccc4ccccc4n3,BRD-K36463073-001-02-1,OC000459,Selleck,S2822,OC000459,-12.096975,x0830,1.395827,active-covalent
Cc1c(c2cc(ccc2n1CC(=O)[O-])F)Cc3ccc4ccccc4n3,BRD-K36463073-001-03-9,OC000459,MedChemEx,HY-15342,OC000459,-12.096975,x0830,1.395827,active-covalent
Cc1c(c2cc(ccc2n1CC(=O)[O-])F)Cc3ccc4ccccc4n3,BRD-K36463073-001-01-3,OC000459,Selleck,S2822,OC000459,-12.096975,x0830,1.395827,active-covalent
c1cc(c(cc1I)F)Nc2cnccc2C(=O)NC[C@@H](CO)O,BRD-K89014967-001-04-3,AS-703026,Selleck,S1475,Pimasertib (AS-703026),-12.051374,x0678,1.766209,active-noncovalent
c1cc(ccc1/C=C/c2cc(cc(c2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,BRD-K43236057-001-07-1,polydatin,Selleck,S2390,Polydatin(Piceid),-11.783890,x0161,3.159029,active-noncovalent
c1cc(ccc1/C=C/c2cc(cc(c2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,BRD-K43236057-001-09-7,polydatin,Selleck,S2390,Polydatin,-11.783890,x0161,3.159029,active-noncovalent
c1cc(ccc1c2ccc3cc(c(cc3c2)C45CC6CC(C4)CC(C6)C5)O)C(=O)[O-],BRD-K09619322-001-03-8,CD-1530,Tocris,2554,CD 1530,-11.759232,x0104,6.23101,active-noncovalent
CC(C)[NH2+]C[C@H](COc1cccc2c1cccc2)O,BRD-K92830582-003-10-5,propranolol-(R),Tocris,835,(R)-(+)-Propranolol hydrochloride,-11.744864,x0195,0.161161,active-noncovalent
Cc1c(cnc(n1)C)OC[C@]2(C[C@H]2C(=O)Nc3ccc(cn3)F)c4cccc(c4)F,BRD-K78666663-001-01-6,lemborexant,MedChemEx,HY-16725,Lemborexant,-11.741239,x0678,3.028779,active-noncovalent
c1cc(cnc1)/C=C/C(=O)c2ccncc2,BRD-K58413118-001-01-8,3PO,MedChemEx,HY-19824,3PO,-11.732655,x0678,-1.094131,active-noncovalent
CO/[NH+]=C(\N)/c1ccc(cc1)c2oc(cc2)c3ccc(cc3)/C(=[NH+]/OC)/N,BRD-K68805147-001-01-8,pafuramidine,MedChemEx,HY-14932,Pafuramidine,-11.567801,x0104,9.376078,active-noncovalent
c1cc(c(cc1[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O)O)O,BRD-K50660797-001-04-4,epicatechin-gallate-(-),AnalytiCon,NP-002326,,-11.565519,x0678,1.459131,active-noncovalent
c1cc(c(cc1[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O)O)O,BRD-K50660797-001-05-1,epicatechin-gallate-(-),MedChemEx,HY-N0002,(-)-Epicatechin gallate,-11.565519,x0678,1.459131,active-noncovalent
CCc1cc2c(s1)-n3c(nnc3C=N[C@H]2c4ccccc4Cl)C,BRD-K68232413-001-01-2,etizolam,MedChemEx,HY-B0677,Etizolam,-11.564081,x0708,0.50805,active-covalent
c1ccc(cc1)Oc2nc3c(c(n2)NC4CCCCC4)[nH]cn3,BRD-K10575656-034-01-0,MRS3777,Tocris,2403,MRS 3777 hemioxalate,-11.546358,x0678,0.419307,active-noncovalent
c1ccc(cc1)Oc2nc3c(c(n2)NC4CCCCC4)[nH]cn3,BRD-M86143595-034-03-4,MRS-3777,Tocris,2403,MRS 3777 hemioxalate,-11.546358,x0678,0.419307,active-noncovalent
c1ccc(cc1)OCc2ccc(cc2)CCC[NH+]3CCOCC3,BRD-K44942188-001-09-1,fomocaine,ChemDiv,1822-0278,,-11.528082,x0104,3.276085,active-noncovalent
C[N@H+]1CCc2cccc-3c2[C@@H]1Cc4c3c(c(cc4)O)O,BRD-A35931254-003-04-3,r(-)-apomorphine,MicroSource,1500129,APOMORPHINE HYDROCHLORIDE,-11.522030,x0195,-0.433611,active-noncovalent
Cc1c(c2ccccc2[nH]1)CC[NH2+]Cc3ccc(cc3)CCC(=O)N=O,BRD-K02130563-001-12-2,panobinostat,Selleck,S1030,Panobinostat,-11.509398,x0967,3.45696,active-noncovalent
Cc1c(c2ccccc2[nH]1)CC[NH2+]Cc3ccc(cc3)CCC(=O)N=O,BRD-K02130563-001-14-8,panobinostat,MedChemEx,HY-10224,Panobinostat,-11.509398,x0967,3.45696,active-noncovalent
Cc1c(c2ccccc2[nH]1)CC[NH2+]Cc3ccc(cc3)CCC(=O)N=O,BRD-K02130563-001-15-5,panobinostat,MedChemEx,HY-10224,Panobinostat,-11.509398,x0967,3.45696,active-noncovalent
Cc1c(c2ccccc2[nH]1)CC[NH2+]Cc3ccc(cc3)CCC(=O)N=O,BRD-K02130563-001-11-4,panobinostat,Selleck,S1030,Panobinostat (LBH589),-11.509398,x0967,3.45696,active-noncovalent
C[C@@]12CCc3c(cco3)[C@H]1CC[C@]45[C@H]2CC[C@H](C4)[C@](C5)(CO)O,BRD-K46741531-001-02-4,cafestol,Enzo,NP418,Cafestol,-11.504668,x0749,0.145644,active-covalent
c1cc(ccc1c2coc3cc(ccc3c2=O)O)O,BRD-K42095107-001-18-9,daidzein,Enzo,T110,Daidzein,-11.492462,x0749,3.003708,active-covalent
c1cc(ccc1c2coc3cc(ccc3c2=O)O)O,BRD-K42095107-001-16-3,daidzein,Selleck,S1849,Daidzein,-11.492462,x0749,3.003708,active-covalent
c1cc(ccc1c2coc3cc(ccc3c2=O)O)O,BRD-K42095107-001-22-1,daidzein,Tocris,1417,Daidzein,-11.492462,x0749,3.003708,active-covalent
c1cc(ccc1c2coc3cc(ccc3c2=O)O)O,BRD-K42095107-001-17-1,daidzein,Tocris,1417,Daidzein,-11.492462,x0749,3.003708,active-covalent
c1cc(ccc1c2coc3cc(ccc3c2=O)O)O,BRD-K42095107-001-21-3,daidzein,Selleck,S1849,Daidzein,-11.492462,x0749,3.003708,active-covalent
c1cc(cc2c1cc(cc2)C(=O)[O-])c3ccc(c(c3)C45CC6CC(C4)CC(C6)C5)O,BRD-K28907958-001-05-0,CD-437,Tocris,1549,CD 437,-11.491298,x0161,6.061302,active-noncovalent
c1cc(cc2c1cc(cc2)C(=O)[O-])c3ccc(c(c3)C45CC6CC(C4)CC(C6)C5)O,BRD-K28907958-001-04-3,CD-437,Tocris,1549,CD 437,-11.491298,x0161,6.061302,active-noncovalent
c1cc(ccc1C2=Cc3ccc(cc3OC2)O)O,BRD-K74671368-001-01-8,idronoxil,Sigma,MFCD06636630,3-(4-hydroxyphenyl)-2H-chromen-7-ol,-11.462839,x0749,1.968427,active-covalent
c1cc(ccc1c2[nH]c(c(n2)c3ccncc3)c4ccc(cc4)F)O,BRD-K54330070-001-15-4,SB-202190,Selleck,S1077,SB202190 (FHPI),-11.455310,x0434,2.481209,active-noncovalent
c1cc(ccc1c2[nH]c(c(n2)c3ccncc3)c4ccc(cc4)F)O,BRD-K54330070-001-16-2,SB-202190,Tocris,1264,SB 202190,-11.455310,x0434,2.481209,active-noncovalent
c1cc(ccc1c2[nH]c(c(n2)c3ccncc3)c4ccc(cc4)F)O,BRD-K54330070-001-19-6,SB-202190,Tocris,1264,SB 202190,-11.455310,x0434,2.481209,active-noncovalent
CC(=O)NCCc1c2ccccc2[nH]c1Cc3ccccc3,BRD-K67013324-001-04-9,luzindole,Tocris,877,Luzindole,-11.436106,x0749,-0.451491,active-covalent
CC(=O)NCCc1c2ccccc2[nH]c1Cc3ccccc3,BRD-K67013324-001-03-1,luzindole,Tocris,877,Luzindole,-11.436106,x0749,-0.451491,active-covalent
c1cc2cnccc2c(c1)S(=O)(=O)NCC[NH2+]C/C=C/c3ccc(cc3)Br,BRD-K27737647-300-08-9,H-89,Tocris,2910,H 89 dihydrochloride,-11.430328,x0678,1.797919,active-noncovalent
c1cc2cnccc2c(c1)S(=O)(=O)NCC[NH2+]C/C=C/c3ccc(cc3)Br,BRD-K27737647-300-04-8,H-89,Tocris,2910,H 89 dihydrochloride,-11.430328,x0678,1.797919,active-noncovalent
c1cc2cnccc2c(c1)S(=O)(=O)NCC[NH2+]C/C=C/c3ccc(cc3)Br,BRD-K27737647-300-03-0,H-89,Selleck,S1582,H 89 2HCl,-11.430328,x0678,1.797919,active-noncovalent
c1cc(ccc1Nc2cc3c(cc2Nc4ccc(cc4)F)C(=O)NC3=O)F,BRD-K32292990-001-04-4,CGP-53353,Tocris,2442,CGP 53353,-11.413448,x0678,1.014022,active-noncovalent
c1cc(ccc1Nc2cc3c(cc2Nc4ccc(cc4)F)C(=O)NC3=O)F,BRD-K32292990-001-03-6,CGP-53353,Tocris,2442,CGP 53353,-11.413448,x0678,1.014022,active-noncovalent
C[N@@H+]1CCc2c(c3ccccc3n2Cc4ccc(cc4)C(=O)NO)C1,BRD-K00627859-003-03-7,tubastatin-a,Selleck,S2627,Tubastatin A HCl,-11.396202,x0195,0.149513,active-noncovalent
C[N@@H+]1CCc2c(c3ccccc3n2Cc4ccc(cc4)C(=O)NO)C1,BRD-K00627859-001-06-4,tubastatin-a,Selleck,S8049,Tubastatin A,-11.396202,x0195,0.149513,active-noncovalent
C[N@@H+]1CCc2c(c3ccccc3n2Cc4ccc(cc4)C(=O)NO)C1,BRD-K00627859-001-07-2,tubastatin-a,Selleck,S8049,Tubastatin A,-11.396202,x0195,0.149513,active-noncovalent
CNC(=O)c1ccccc1Sc2ccc3c(c2)n[nH]c3/C=C/c4ccccn4,BRD-K29905972-001-12-1,axitinib,Tocris,4350,Axitinib,-11.394080,x0104,4.569163,active-noncovalent
CNC(=O)c1ccccc1Sc2ccc3c(c2)n[nH]c3/C=C/c4ccccn4,BRD-K29905972-001-08-9,axitinib,Selleck,S1005,Axitinib,-11.394080,x0104,4.569163,active-noncovalent
CNC(=O)c1ccccc1Sc2ccc3c(c2)n[nH]c3/C=C/c4ccccn4,BRD-K29905972-001-06-3,axitinib,Selleck,S1005,Axitinib,-11.394080,x0104,4.569163,active-noncovalent
CNC(=O)c1ccccc1Sc2ccc3c(c2)n[nH]c3/C=C/c4ccccn4,BRD-K29905972-001-11-3,axitinib,Adooq,A10103,N-methyl-2-({3-[(E)-2-(2-pyridinyl)ethenyl]-1H-indazol-6-yl}sulfanyl)benzamide,-11.394080,x0104,4.569163,active-noncovalent
CNC(=O)c1ccccc1Sc2ccc3c(c2)n[nH]c3/C=C/c4ccccn4,BRD-K29905972-001-10-5,axitinib,Selleck,S1005,axitinib,-11.394080,x0104,4.569163,active-noncovalent
c1c[nH]c2c1c(c(c[nH+]2)C(=O)N)NC3[C@@H]4CC5C[C@H]3CC(C4)(C5)O,BRD-A14577621-001-01-5,peficitinib,Selleck,S7650,"Peficitinb (ASP015K, JNJ-54781532)",-11.379725,x0161,0.205033,active-noncovalent
C[C@H](c1ccc(c(c1)F)c2ccccc2)C(=O)[O-],BRD-K75410565-001-02-9,flurizan,Tocris,4495,Flurizan,-11.357160,x0678,1.7205,active-noncovalent
C[C@]12CC[C@H]3c4ccc(cc4CC[C@@H]3[C@H]1C[C@@H]([C@@H]2O)O)O,BRD-A63433173-001-02-1,estriol,MicroSource,1504520,EPIESTRIOL,-11.353638,x0749,1.896488,active-covalent
CCOC(=O)NNc1c2ccccc2cnn1,BRD-K68553471-003-12-3,todralazine,MicroSource,1501174,TODRALAZINE HYDROCHLORIDE,-11.343122,x0678,-0.127023,active-noncovalent
c1ccc2c(c1)ncc(n2)NS(=O)(=O)c3ccc(cc3)N,BRD-K71133585-236-14-4,sulfaquinoxaline,MicroSource,1501145,SULFAQUINOXALINE SODIUM,-11.320952,x0678,-0.44607,active-noncovalent
c1ccc2c(c1)ccc3c2cc(c4c3cccc4)N,BRD-K00656370-001-10-5,6-aminochrysene,Sigma,MFCD00003699,6-chrysenamine,-11.298630,x0749,-1.207984,active-covalent
Cn1cc2c3c1cccc3[C@H]4C[C@@H](C[N@H+]([C@@H]4C2)C)NS(=O)(=O)N(C)C,BRD-K91336023-003-01-0,mesulergine,Enzo,AC834,Mesulergine HCl,-11.295732,x0195,1.195673,active-noncovalent
c1c(cc(c(c1O)O)O)c2c(cc3c(cc(cc3[o+]2)O)O)O,BRD-K79107392-003-02-2,delphinidin,Cayman,11012,"3,5,7-trihydroxy-2-(3,4,5-trihydroxyphenyl)chromenium chloride",-11.289549,x0749,1.40684,active-covalent
c1c(cc(c(c1O)O)O)c2c(cc3c(cc(cc3[o+]2)O)O)O,BRD-K79107392-003-01-4,delphinidin,Cayman,11012,,-11.289549,x0749,1.40684,active-covalent
C[N@@H+]1CCc2cccc-3c2[C@H]1Cc4c3c(c(cc4)O)O,BRD-K76022557-001-03-9,r(-)-apomorphine,Selleck,S4350,R-(-)-Apomorphine HCl Hemihydrate,-11.281105,x0195,0.551533,active-noncovalent
C[N@@H+]1CCc2cccc-3c2[C@H]1Cc4c3c(c(cc4)O)O,BRD-K76022557-003-02-7,r(-)-apomorphine,Tocris,2073,(R)-(-)-Apomorphine hydrochloride,-11.281105,x0195,0.551533,active-noncovalent
C[N@@H+]1CCc2c(c3ccccc3n2Cc4ccccc4)C1,BRD-K29713308-077-04-1,"mebhydroline-1,5-naphtalenedisulfonate",Prestwick,Prestw-455,"Mebhydroline 1,5-naphtalenedisulfonate",-11.277544,x0195,-0.530432,active-noncovalent
C[N@@H+]1CCc2c(c3ccccc3n2Cc4ccccc4)C1,BRD-K29713308-001-01-7,mebhydrolin,MicroSource,1501116,MEBHYDROLIN,-11.277544,x0195,-0.530432,active-noncovalent
c1cc(ccc1c2ccc(o2)c3ccc(cc3)C(=[NH2+])N)C(=[NH2+])N,BRD-K77758223-300-01-1,furamidine,Tocris,5202,Furamidine dihydrochloride,-11.259153,x0395,4.282551,active-noncovalent
c1cc(ccc1C[C@@H]2c3cc(c(cc3CC[NH2+]2)O)O)O,BRD-A55204514-003-01-2,higenamine,Accela,SY029900,"1-(4-hydroxybenzyl)-1,2,3,4-tetrahydro-6,7-isoquinolinediol hydrochloride",-11.253945,x0195,-0.269596,active-noncovalent
c1cc(ccc1c2coc3cc(cc(c3c2=O)[O-])O)O,BRD-K43797669-001-28-8,genistein,Selleck,S1342,Genistein,-11.252321,x0749,2.774267,active-covalent
c1cc(ccc1c2coc3cc(cc(c3c2=O)[O-])O)O,BRD-K43797669-001-31-2,genistein,Tocris,1110,Genistein,-11.252321,x0749,2.774267,active-covalent
c1cc(ccc1c2coc3cc(cc(c3c2=O)[O-])O)O,BRD-K43797669-001-30-4,genistein,MicroSource,210296,GENISTEIN,-11.252321,x0749,2.774267,active-covalent
c1cc(ccc1c2coc3cc(cc(c3c2=O)[O-])O)O,BRD-K43797669-001-29-6,genistein,Tocris,1110,Genistein,-11.252321,x0749,2.774267,active-covalent
c1cc(c(cc1Oc2c(cc(cc2I)C[C@@H](C(=O)[O-])[NH3+])I)I)O,BRD-K89152108-236-07-6,liothyronine,Selleck,S4217,Liothyronine Sodium,-11.238697,x0678,2.059945,active-noncovalent
c1cc(c(cc1Oc2c(cc(cc2I)C[C@@H](C(=O)[O-])[NH3+])I)I)O,BRD-K89152108-236-06-8,liothyronine,MicroSource,1502047,LIOTHYRONINE (L- isomer) SODIUM,-11.238697,x0678,2.059945,active-noncovalent
c1cc(c(cc1Oc2c(cc(cc2I)C[C@@H](C(=O)[O-])[NH3+])I)I)O,BRD-K89152108-236-05-0,liothyronine,Selleck,S4217,Liothyronine Sodium,-11.238697,x0678,2.059945,active-noncovalent
c1ccc2c(c1)cccc2C[C@@H]3c4cc(c(cc4CC[NH2+]3)O)O,BRD-A26458246-004-02-1,CKD-712,MedChemEx,HY-15477,YS-49,-11.237705,x0195,-0.276368,active-noncovalent
c1ccc2c(c1)cccc2C[C@@H]3c4cc(c(cc4CC[NH2+]3)O)O,BRD-A26458246-004-01-3,CKD-712,MedChemEx,HY-15477,YS-49,-11.237705,x0195,-0.276368,active-noncovalent
c1cc(c(cc1/C=C/c2cc(cc(c2)O)O)O)O,BRD-K91509126-001-25-1,piceatannol,Selleck,S3026,Piceatannol,-11.220980,x0749,0.067257,active-covalent
c1cc(c(cc1/C=C/c2cc(cc(c2)O)O)O)O,BRD-K91509126-001-24-4,piceatannol,Tocris,1554,Piceatannol,-11.220980,x0749,0.067257,active-covalent
c1cc(c(cc1/C=C/c2cc(cc(c2)O)O)O)O,BRD-K91509126-001-23-6,piceatannol,Selleck,S3026,Piceatannol,-11.220980,x0749,0.067257,active-covalent
C=Cc1cc(cc2c1oc(n2)c3ccc(c(c3)F)O)O,BRD-K87316765-001-01-4,prinaberel,MedChemEx,HY-14933,Prinaberel,-11.213451,x0749,1.444244,active-covalent
c1cc(ccc1c2c[nH]nc2)[C@@](C[NH3+])(c3ccc(cc3)Cl)O,BRD-K32127727-001-03-4,AT13148,MedChemEx,HY-16071,AT13148,-11.206308,x1077,0.17107,active-noncovalent
c1cc(ccc1c2c[nH]nc2)[C@@](C[NH3+])(c3ccc(cc3)Cl)O,BRD-K32127727-001-04-2,AT13148,Selleck,S7563,AT13148,-11.206308,x1077,0.17107,active-noncovalent
c1cc(ccc1c2c[nH]nc2)[C@@](C[NH3+])(c3ccc(cc3)Cl)O,BRD-K32127727-001-02-6,AT13148,MedChemEx,HY-16071,(S)-1-(4-(1H-pyrazol-4-yl)phenyl)-2-amino-1-(4-chlorophenyl)ethan-1-ol,-11.206308,x1077,0.17107,active-noncovalent
c1cc(ccc1c2c[nH]nc2)[C@@](C[NH3+])(c3ccc(cc3)Cl)O,BRD-K32127727-001-01-8,AT13148,MedChemEx,HY-16071,AT13148,-11.206308,x1077,0.17107,active-noncovalent
CCCC[NH+](CCCC)C[C@@H](c1cc(cc\2c1-c3ccc(cc3/C2=C/c4ccc(cc4)Cl)Cl)Cl)O,BRD-A05926236-001-05-3,lumefantrine,Enamine,Z1541758602,,-11.202807,x0161,7.005849,active-noncovalent
CCCC[NH+](CCCC)C[C@@H](c1cc(cc\2c1-c3ccc(cc3/C2=C/c4ccc(cc4)Cl)Cl)Cl)O,BRD-A05926236-001-03-8,lumefantrine,MedChemEx,HY-B0803,Lumefantrine,-11.202807,x0161,7.005849,active-noncovalent
CCCC[NH+](CCCC)C[C@@H](c1cc(cc\2c1-c3ccc(cc3/C2=C/c4ccc(cc4)Cl)Cl)Cl)O,BRD-A05926236-001-04-6,lumefantrine,MedChemEx,HY-B0803,Lumefantrine,-11.202807,x0161,7.005849,active-noncovalent
c1cc(ccc1[C@@H]2Cc3ccc(cc3OC2)O)O,BRD-K54847683-001-04-0,equol,Selleck,S2450,Equol,-11.198337,x0749,-0.411931,active-covalent
c1cc(ccc1[C@@H]2Cc3ccc(cc3OC2)O)O,BRD-K54847683-001-03-2,equol,Selleck,S2450,Equol,-11.198337,x0749,-0.411931,active-covalent
c1cc(cc(c1)O)c2ccc(cc2)[C@H]3C[C@@H]3[NH3+],BRD-K26349472-001-02-1,OG-L002,Selleck,S7237,OG-L002,-11.191685,x0749,2.5187,active-covalent
c1cc(cc(c1)O)c2ccc(cc2)[C@H]3C[C@@H]3[NH3+],BRD-K26349472-001-01-3,OG-L002,Selleck,S7237,OG-L002,-11.191685,x0749,2.5187,active-covalent
c1ccc(cc1)CNC(=O)c2csc(n2)Nc3ccncn3,BRD-K03164761-001-02-1,thiazovivin,Selleck,S1459,Thiazovivin,-11.191407,x0678,5.078568,active-noncovalent
c1ccc(cc1)C(c2ccccc2)(c3ccccc3)SC[C@H](C(=O)[O-])[NH3+],BRD-K09774593-001-01-7,S-Trityl-L-cysteine,Tocris,2191,S-Trityl-L-cysteine,-11.188899,x0678,0.640313,active-noncovalent
Cc1cc2c([nH]1)ccc(c2F)Oc3ccnc4c3cc(c(c4)OCC5(CC5)[NH3+])OC,BRD-K36949735-001-01-1,anlotinib,MedChemEx,HY-19716,Anlotinib,-11.164289,x0161,3.477052,active-noncovalent
c1ccc2c(c1)[nH]c(n2)c3[nH]c4ccccc4n3,BRD-K79132813-001-09-0,pibenzimol,Vitas-M,STK098943,,-11.147039,x0678,0.985917,active-noncovalent
C[NH+]1CCC(=C2c3ccccc3CCc4c2ccs4)CC1,BRD-K75958195-037-09-4,pizotifen,MicroSource,1505003,PIZOTYLINE MALATE,-11.140948,x0195,0.075642,active-noncovalent
C[NH+]1CCC(=C2c3ccccc3CCc4c2ccs4)CC1,BRD-K75958195-037-08-6,pizotifen,Selleck,S1394,Pizotifen Malate,-11.140948,x0195,0.075642,active-noncovalent
Cc1c([nH]cn1)CN2CCc3c(c4ccccc4n3C)C2=O,BRD-K46742498-003-11-0,alosetron,Enzo,AC3010,ALOSETRON HYDROCHLORIDE,-11.133524,x0195,-0.845207,active-noncovalent
c1ccc2c(c1)c(cn2Cc3ccc(cc3)Cl)C(=O)C(=O)Nc4ccncc4,BRD-K74057757-001-01-9,indibulin,Vitas-M,STK783524,,-11.127198,x0104,2.687581,active-noncovalent
c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)[O-])O,BRD-K01493881-001-29-4,apigenin,Tocris,1227,Apigenin,-11.106043,x0749,0.763497,active-covalent
c1cc(ccc1c2cc(=O)c3c(cc(cc3o2)O)[O-])O,BRD-K01493881-001-28-6,apigenin,Selleck,S2262,Apigenin,-11.106043,x0749,0.763497,active-covalent
CCc1c(c2c(n1Cc3ccccc3)cccc2OCC(=O)[O-])C(=O)C(=O)N,BRD-K09711437-001-04-3,varespladib,Selleck,S1110,Varespladib (LY315920),-11.100426,x0830,3.363288,active-covalent
Cc1cc(cc2c1[nH]c(n2)c3c(cc[nH]c3=O)NC[C@H](c4cccc(c4)Cl)O)N5CCOCC5,BRD-K34581968-001-04-6,BMS-536924,MedChemEx,HY-10262,BMS-536924,-11.097097,x0678,3.833676,active-noncovalent
Cc1cc(cc2c1[nH]c(n2)c3c(cc[nH]c3=O)NC[C@H](c4cccc(c4)Cl)O)N5CCOCC5,BRD-K34581968-001-05-3,BMS-536924,Tocris,4774,BMS 536924,-11.097097,x0678,3.833676,active-noncovalent
c1ccc(cc1)Nc2cc3c(cc2Nc4ccccc4)C(=O)NC3=O,BRD-K13087974-001-03-3,CGP-52411,Tocris,3360,CGP 52411,-11.088956,x0678,0.352905,active-noncovalent
