SMILES,TITLE,Hybrid2,docked_fragment,site
Cc1ccc(o1)C2=NN([C@@H](C2)c3ccco3)C(=O)CCl,4961646,-8.600817,x0749,active-covalent
c1ccc2c(c1)c(n(n2=O)CCC(=O)N)C(=O)c3cc(c(c(c3)Cl)N)Cl,24817255,-8.584827,x0195,active-noncovalent
CCCCCCNC(=O)n1cc(c(=O)[nH]c1=O)F,carmofur,-8.581223,x0195,active-noncovalent
Cc1ccc(cc1)S(=O)(=O)n2ccc3c2ccc(c3)C(=O)Oc4cc(cnc4)Cl,7,-8.578849,x0104,active-noncovalent
Cc1ccc(cc1)C(=O)N/C(=C\c2ccc(o2)c3cccc(c3)N(=O)=O)/C(=O)NCCCC(C)C,13,-8.577428,x0161,active-noncovalent
CC(=O)Nc1c2cc(ccc2n(c1O)CC[NH+]3CCOCC3)F,24761173,-8.575221,x0195,active-noncovalent
COc1ccccc1OCCNC(=O)c2cc(=O)[nH]c3c2cccc3,2558401,-8.549057,x1093,active-noncovalent
COC(=O)c1cc2c(=O)cc([nH]c2o1)C(F)(F)F,MAC-13985,-8.455855,x0195,active-noncovalent
c1cc(ccc1S(=O)(=O)c2cnc(nc2N)N)Cl,2819040,-8.429440,x0678,active-noncovalent
c1ccnc(c1)SCC(=O)Nc2c(non2)N(=O)=O,4917203,-8.424897,x0397,active-noncovalent
Cc1cc(c(c(c1C)S(=O)(=O)N2CCN(CC2)C(=O)c3cc(=O)[nH]c4c3cccc4)C)C,2417657,-8.398966,x0434,active-noncovalent
CC(C)(C)c1ccc(cc1)N([C@H](c2cccnc2)C(=O)NC(C)(C)C)C(=O)c3ccco3,16(r),-8.396872,x0874,active-noncovalent
COc1cc2c(cc1OC)[C@H](N(CC2)C(=O)CCl)c3cc(ccc3F)Br,3912197,-8.314960,x0161,active-noncovalent
Cc1ccc(cc1)[C@@H]2CC(=NN2C(=O)CCl)c3cccs3,4437603,-8.257563,x1093,active-noncovalent
CC[C@H](C)c1ccc(cc1)N([C@H](c2cccnc2)C(=O)NC3CCCC3)C(=O)c4ccco4,3196508,-8.202114,x0678,active-noncovalent
CCC(C)(C)NC(=O)[C@@H](c1cccn1C)N(c2ccc(cc2)NC(=O)C)C(=O)Cn3c4ccccc4nn3,3198732,-8.193928,x0678,active-noncovalent
Cc1cc(c(n1c2cccc(c2)N(=O)=O)C)C(=O)CCl,2526861,-8.150683,x0161,active-noncovalent
c1ccc(c(c1)/C=C/C(=O)c2cc(ccc2OC(=O)c3ccco3)Br)F,5734448,-8.067646,x0195,active-noncovalent
Cc1ccccc1CCN(Cc2cc3cc(c(cc3[nH]c2=O)C)C)C(=O)NCc4ccccc4,PJ 169,-7.944145,x0161,active-noncovalent
Cc1c(c(on1)NC(=O)c2ccc(s2)c3cc(nn3C)C(F)(F)F)N(=O)=O,3776668,-7.939018,x0161,active-noncovalent
Cc1c(c(on1)NC(=O)c2ccc(s2)c3cc(nn3C)C(F)(F)F)N(=O)=O,16,-7.939018,x0161,active-noncovalent
Cc1c(c(n(n1)C)n2c(c(c(n2)SC)C#N)c3cccs3)N(=O)=O,4398304,-7.794198,x0195,active-noncovalent
COc1ccc(cc1OC)[C@@H]2CC(=NN2C(=O)CCl)c3cccs3,3811656,-7.748017,x0107,active-noncovalent
c1cc(cc(c1)S(=O)(=O)n2ccc3c2ccc(c3)C(=O)Oc4cc(cnc4)Cl)N(=O)=O,8,-7.722032,x1077,active-noncovalent
c1cc(ccc1S(=O)(=O)c2ccc(cc2N(=O)=O)C(F)(F)F)Cl,2797358,-7.673141,x0749,active-covalent
c1cc(ccc1S(=O)(=O)c2ccc(cn2=O)N(=O)=O)Cl,2774667,-7.581022,x0072,active-noncovalent
CC1=C([C@@H](C2=C(N1)CCCC2=O)c3ccccc3N(=O)=O)C(=O)OCCc4ccccc4,MP576,-7.565653,x0946,active-noncovalent
CCc1nc(c2c3c(sc2n1)C[C@@H](CC3)C)N4CCN(CC4)C(=O)CCl,3192987,-7.547823,x1392,active-covalent
Cc1ccc(cc1)S(=O)(=O)c2c(c(c(c(n2)C)N(=O)=O)C)C#N,2726176,-7.493286,x1093,active-noncovalent
Cc1c(cc(o1)C(C)(C)C)c2cc(n[nH]2)NS(=O)(=O)c3cccs3,2742278,-7.442471,x0874,active-noncovalent
CC(=O)c1ccccc1S(=O)(=O)c2ccccc2C(=O)[O-],4270495,-7.398745,x1077,active-noncovalent
CCN(CC)C(=S)SSC(=S)N(CC)CC,disulfiram,-7.349272,x0195,active-noncovalent
COc1cc(ccc1OC(F)F)[C@@H]2CC(=NN2C(=O)CCl)c3cccs3,3859741,-7.336775,x0107,active-noncovalent
CC[C@@H](C)SSc1[nH]ccn1,px-12,-7.296520,x1093,active-noncovalent
Cc1cc(c(c(c1)C)N([C@H](c2ccsc2)C(=O)NC(C)(C)C)C(=O)Cn3c4ccccc4nn3)C,3197965,-7.291201,x0678,active-noncovalent
c1c2c(nc3c1sc(n3)N)nc(s2)N,MAC-22272,-7.237694,x0749,active-covalent
Cc1c(c(nc(c1N(=O)=O)C)S(=O)(=O)c2ccccc2)C#N,2726174,-7.146700,x0072,active-noncovalent
COCCC(=O)Nc1ccc(cc1)N(Cc2ccsc2)C(=O)Cn3c4ccccc4nn3,16D,-7.109322,x0161,active-noncovalent
CCc1ccc2c(c1)c(c(n2CC[NH+]3CCOCC3)O)NC(=O)C,24747373,-7.091981,x0161,active-noncovalent
CC(=O)Nc1c2cc(ccc2n(c1O)CC[NH+]3CCOCC3)Br,24747455,-7.048366,x0195,active-noncovalent
c1cc(ccc1C(=O)[O-])S(=O)(=O)c2cc(c(c(c2)Br)[O-])Br,2775844,-7.043464,x0072,active-noncovalent
c1ccc2c(c1)c(nc(n2)C3CCCCC3)SCC(=O)NCc4ccco4,PJ 107,-7.018990,x0874,active-noncovalent
c1cc(ccc1N(=O)=O)S(=O)(=O)c2ccc(cc2)N(=O)=O,70871,-6.932912,x1093,active-noncovalent
Cc1cc(c(cc1Cl)Cl)S(=O)(=O)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O,2799606,-6.275576,x0104,active-noncovalent
Cc1cc(c(cc1Cl)Cl)S(=O)(=O)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O,3,-6.275576,x0104,active-noncovalent
COc1cccc(c1)[C@H](C(=O)NCc2ccco2)N(Cc3ccco3)C(=O)Cn4c5ccccc5nn4,3206295,-6.161955,x0195,active-noncovalent
CC(=O)Nc1ccc(cc1)N([C@H](c2ccc(cc2)OC)C(=O)NC[C@@H]3CCCO3)C(=O)Cn4c5ccccc5nn4,3191469,-6.090816,x0678,active-noncovalent
c1cc(ccc1OC(=O)C(=C(Cl)Cl)Cl)S(=O)(=O)c2ccc(cc2)OC(=O)C(=C(Cl)Cl)Cl,2774892,-5.738641,x0161,active-noncovalent
c1cc(ccc1OC(=O)C(=C(Cl)Cl)Cl)S(=O)(=O)c2ccc(cc2)OC(=O)C(=C(Cl)Cl)Cl,4,-5.738641,x0161,active-noncovalent
CCOC(=O)[C@H](C#N)/C=N/c1ccc(cc1)S(=O)(=O)c2ccc(cc2)/N=C/[C@H](C(=O)OCC)C#N,2799801,-5.371338,x0072,active-noncovalent
CCOC(=O)C(C(=O)OCC)/C=N/c1ccc(cc1)S(=O)(=O)c2ccc(cc2)/N=C/C(C(=O)OCC)C(=O)OCC,2799800,-5.365859,x0305,active-noncovalent
Cc1cc(no1)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C[C@H]2CCNC2=O)/C=C\C(=O)OCc3ccccc3,N3,-0.912793,x0967,active-noncovalent
