Molecule Name,CDD Number,SMILES,Canonical PostEra ID,stereochem comments,Covalent Warhead,shipment_SMILES,suspected_SMILES,why_suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Run Date,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0019830,"",CC(C)(O)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,ALP-UNI-fe744232-18,"",False,"","","",2021-12-09,26.5,24.1,29.2,0.924,2.1
CVD-0019823,"",CC1(OCCO1)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,ALP-UNI-fe744232-11,"",False,"","","",2021-12-09,83.1,73.6,93.8,1.05,2.1
CVD-0019755,"",C[C@]1(CNS(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2CCCCc12,MIK-ENA-5d9157e9-6,Single unknown enantiomer,False,"C[C@]1(CNS(=O)(=O)C=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4CCCCC34 |o1:1,r|",C[C@@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21 |o1:1|,shipment_SMILES,2021-12-15,3.72,3.60,3.85,1.03,1.1
CVD-0019754,"",C[C@@]1(CNS(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2CCCCc12,MIK-ENA-5d9157e9-5,Single unknown enantiomer,False,"C[C@@]1(CNS(=O)(=O)C=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4CCCCC34 |o1:1,r|",C[C@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21 |o1:1|,shipment_SMILES,2021-12-15,0.214,0.206,0.222,1.08,2.1
CVD-0019753,"",CNC(=O)CN1C[C@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,MIK-ENA-5d9157e9-4,Single unknown enantiomer,False,"CNC(=O)CN1C[C@H](C(=O)NC=2C=NC=C3C=CC=C(Cl)C23)C=4C=C(Cl)C=CC4C1=O |o1:7,r|",CNC(=O)CN1C[C@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O |o1:7|,shipment_SMILES,2021-11-24,0.0964,0.0906,0.103,1.14,2.1
CVD-0019752,"",CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,MIK-ENA-5d9157e9-3,Single unknown enantiomer,False,"CNC(=O)CN1C[C@@H](C(=O)NC=2C=NC=C3C=CC=C(Cl)C23)C=4C=C(Cl)C=CC4C1=O |o1:7,r|",CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O |o1:7|,shipment_SMILES,2021-11-24,14.6,12.2,17.4,1.09,1.1
CVD-0019751,"",Clc1ccc2CN(C[C@@]3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,MIK-ENA-5d9157e9-2,Single unknown enantiomer,False,"ClC=1C=CC=2CN(C[C@@]3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CC6)C#N |o1:8,r|",N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@]3(CCN(c4cncc5ccccc45)C3=O)C2)CC1 |o1:16|,shipment_SMILES,2021-12-01,13.5,11.5,15.7,1.02,1.1
CVD-0019750,"",Clc1ccc2CN(C[C@]3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,MIK-ENA-5d9157e9-1,Single unknown enantiomer,False,"ClC=1C=CC=2CN(C[C@]3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CC6)C#N |o1:8,r|",N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@]3(CCN(c4cncc5ccccc45)C3=O)C2)CC1 |o1:16|,shipment_SMILES,2021-12-01,< 0.0500,"","",0.914,2.1
CVD-0019749,"",Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4CCCCc34)c2c1)S(=O)(=O)CC1(CC1)C#N,EDJ-MED-705e09b8-2,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5CCCCC45)C2C1)S(=O)(=O)CC6(CC6)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5c4CCCC5)C3=O)C2)CC1,shipment_SMILES,2021-12-15,0.515,0.490,0.540,1.00,1.1
CVD-0019748,"",CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3CCCCc23)C1,EDJ-MED-705e09b8-1,Racemic or presumed racemic or meso,False,CNC(=O)CN1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5CCCCC45)C1,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4c3CCCC4)C2=O)C1,shipment_SMILES,2021-12-15,0.258,0.247,0.271,1.08,1.1
CVD-0019743,"",Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC#N)CC1,ALP-POS-ecbed2ba-22,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CC#N)CC6,N#CCC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,shipment_SMILES,2021-12-28,0.337,0.320,0.354,1.10,1.1
CVD-0019742,"",COCCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,ALP-POS-ecbed2ba-21,Racemic or presumed racemic or meso,False,COCCN(C)S(=O)(=O)N1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C1,COCCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,2021-12-28,0.993,0.927,1.06,1.11,1.1
CVD-0019741,"",Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)N1CCC1,ALP-POS-ecbed2ba-20,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)N6CCC6,O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)N1CCC1)Cc1ccc(Cl)cc12,shipment_SMILES,2021-12-28,0.330,0.313,0.347,1.08,1.1
CVD-0019739,"",CCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,ALP-POS-ecbed2ba-18,Racemic or presumed racemic or meso,False,CCN(C)S(=O)(=O)N1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C1,CCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,2021-12-28,0.563,0.526,0.601,1.06,1.1
CVD-0019737,"",CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,ALP-POS-ecbed2ba-16,Racemic or presumed racemic or meso,False,CN(CCC#N)S(=O)(=O)N1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C1,CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,2021-12-28,0.613,0.579,0.648,1.10,1.1
CVD-0019735,"",Clc1ccc2CN(CC(=O)NCC#N)CC3(CCN(C3=O)c3cncc4ccccc34)c2c1,ALP-POS-ecbed2ba-14,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC(=O)NCC#N)CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1,N#CCNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,2021-12-28,0.263,0.248,0.279,1.18,1.1
CVD-0019734,"",CC(C)(CS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1)C#N,ALP-POS-ecbed2ba-13,Racemic or presumed racemic or meso,False,CC(C)(CS(=O)(=O)N1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C1)C#N,CC(C)(C#N)CS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,2021-12-16,0.448,0.410,0.489,1.04,1.1
CVD-0019732,"",Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CCOCC1)C#N,ALP-POS-ecbed2ba-11,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CCOCC6)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCOCC1,shipment_SMILES,2021-12-16,0.338,0.301,0.381,0.948,2.1
CVD-0019731,"",COC1CN(C1)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,ALP-POS-ecbed2ba-10,Racemic or presumed racemic or meso,False,COC1CN(C1)S(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,COC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)C1,shipment_SMILES,2021-12-28,0.224,0.213,0.235,1.14,2.1
CVD-0019730,"",Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)N1CC(C1)C#N,ALP-POS-ecbed2ba-9,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)N6CC(C6)C#N,N#CC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)C1,shipment_SMILES,2021-12-28,0.181,0.174,0.188,1.08,2.1
CVD-0019729,"",Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CCC1)C#N,ALP-POS-ecbed2ba-8,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CCC6)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCC1,shipment_SMILES,2021-12-16,0.263,0.233,0.296,0.931,2.1
CVD-0019727,"",COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccccc34)C2)CC1,ALP-POS-ecbed2ba-6,Racemic or presumed racemic or meso,False,COC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2)CC1,COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,shipment_SMILES,2021-12-16,0.356,0.325,0.391,0.988,2.1
CVD-0019726,"",Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1CS(=O)(=O)C1,ALP-POS-ecbed2ba-5,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6CS(=O)(=O)C6,O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1CS(=O)(=O)C1)Cc1ccc(Cl)cc12,shipment_SMILES,2021-12-16,0.353,0.315,0.395,0.946,2.1
CVD-0019725,"",CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccccc34)C2)CC1,ALP-POS-ecbed2ba-3,Racemic or presumed racemic or meso,False,CC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2)CC1,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,shipment_SMILES,2021-12-16,0.265,0.243,0.289,0.932,2.1
CVD-0019724,"",Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CCS(=O)(=O)CC1)C#N,ALP-POS-ecbed2ba-2,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CCS(=O)(=O)CC6)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCS(=O)(=O)CC1,shipment_SMILES,2021-12-28,0.211,0.201,0.222,1.03,2.1
CVD-0019723,"",CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccccc34)C2)CS(=O)(=O)C1,ALP-POS-ecbed2ba-1,Racemic or presumed racemic or meso,False,CC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2)CS(=O)(=O)C1,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CS(=O)(=O)C1,shipment_SMILES,2021-12-28,0.144,0.137,0.150,1.05,2.1
CVD-0019667,"",CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4cc(ccc34)S(C)(=O)=O)C2)CC1,MAT-POS-853c0ffa-22,Racemic or presumed racemic or meso,False,CC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=C(C=CC56)S(=O)(=O)C)C2)CC1,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)C2)CC1,shipment_SMILES,2021-12-28,0.155,0.148,0.163,1.14,2.1
CVD-0019661,"",COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4cc(ccc34)S(C)(=O)=O)C2)CC1,MAT-POS-853c0ffa-16,Racemic or presumed racemic or meso,False,COC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=C(C=CC56)S(=O)(=O)C)C2)CC1,COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)C2)CC1,shipment_SMILES,2021-12-16,0.413,0.332,0.514,0.897,1.1
CVD-0019660,"",CS(=O)(=O)c1ccc2c(cncc2c1)N1CCC2(CN(Cc3ccc(Cl)cc23)S(=O)(=O)CC2(CC2)C#N)C1=O,MAT-POS-853c0ffa-15,Racemic or presumed racemic or meso,False,CS(=O)(=O)C=1C=CC=2C(=CN=CC2C1)N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O,CS(=O)(=O)c1ccc2c(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)cncc2c1,shipment_SMILES,2021-12-28,0.103,0.0983,0.109,1.08,2.1
CVD-0019658,"",Fc1ccc2cncc(N3CCC4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,MAT-POS-853c0ffa-13,Racemic or presumed racemic or meso,False,FC=1C=CC=2C=NC=C(N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(F)cc45)C3=O)C2)CC1,shipment_SMILES,2021-12-16,0.828,0.699,0.981,1.05,1.1
CVD-0019655,"",COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccc(OCCN(C)C)cc34)C2)CC1,MAT-POS-853c0ffa-10,Racemic or presumed racemic or meso,False,COC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC(OCCN(C)C)=CC56)C2)CC1,COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN(C)C)cc45)C3=O)C2)CC1,shipment_SMILES,2021-12-28,0.181,0.173,0.189,1.08,2.1
CVD-0019654,"",CN(C)CCOc1ccc2cncc(N3CCC4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,MAT-POS-853c0ffa-9,"",False,"","","",2021-12-16,0.161,0.146,0.177,0.883,2.1
CVD-0019650,"",Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4cccc(Cl)c34)c2c1)S(=O)(=O)CC1(CC1)C#N,MAT-POS-853c0ffa-5,"",False,"","","",2021-12-28,7.79,6.61,9.19,0.872,1.1
CVD-0019649,"",CNC(=O)CN1CC2(CCN(C2=O)c2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,MAT-POS-853c0ffa-1,"",False,"","","",2021-12-16,1.67,1.53,1.83,1.38,1.1
CVD-0019646,"",Clc1ccc2CN(C[C@@]3(CC(=O)N(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,LUO-POS-868e8996-10,Single unknown enantiomer,False,"ClC=1C=CC=2CN(C[C@@]3(CC(=O)N(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CC6)C#N |o1:8,r|",N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@]3(CC(=O)N(c4cncc5ccccc45)C3=O)C2)CC1 |o1:16|,shipment_SMILES,2021-12-01,30.2,22.0,41.4,0.693,2.1
CVD-0019645,"",Clc1ccc2CN(C[C@]3(CC(=O)N(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,LUO-POS-868e8996-9,Single unknown enantiomer,False,"ClC=1C=CC=2CN(C[C@]3(CC(=O)N(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CC6)C#N |o1:8,r|",N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@]3(CC(=O)N(c4cncc5ccccc45)C3=O)C2)CC1 |o1:16|,shipment_SMILES,2021-12-01,< 0.0500,"","",0.915,2.1
CVD-0019644,"",CNC(=O)CN1C[C@]2(CC(=O)N(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,LUO-POS-868e8996-8,Single unknown enantiomer,False,"CNC(=O)CN1C[C@]2(CC(=O)N(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O |o1:7,r|",CNC(=O)CN1C[C@]2(CC(=O)N(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O |o1:7|,shipment_SMILES,2021-11-24,84.6,64.7,110,1.26,2.3
CVD-0019643,"",CNC(=O)CN1C[C@@]2(CC(=O)N(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,LUO-POS-868e8996-7,Single unknown enantiomer,False,"CNC(=O)CN1C[C@@]2(CC(=O)N(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O |o1:7,r|",CNC(=O)CN1C[C@@]2(CC(=O)N(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O |o1:7|,shipment_SMILES,2021-11-24,0.123,0.109,0.138,1.10,2.1
CVD-0019638,"",CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,LUO-POS-868e8996-2,Single unknown enantiomer,False,"CNC(=O)CN1C[C@@](C)(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4S1(=O)=O |o1:7,r|",CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O |o1:7|,shipment_SMILES,2021-11-24,16.1,12.2,21.2,1.24,1.1
CVD-0019637,"",CNC(=O)CN1C[C@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,LUO-POS-868e8996-1,Single unknown enantiomer,False,"CNC(=O)CN1C[C@](C)(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4S1(=O)=O |o1:7,r|",CNC(=O)CN1C[C@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O |o1:7|,shipment_SMILES,2021-11-24,0.0758,0.0719,0.0799,1.14,2.1
CVD-0019636,"",Clc1ccc2CN(C[C@@H](C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CNC1)C#N,MAT-POS-777f5926-4,Single unknown enantiomer,False,"ClC=1C=CC=2CN(C[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CNC5)C#N |o1:8,r|",N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)CNC1 |o1:16|,shipment_SMILES,2021-11-24,0.0849,0.0718,0.100,1.00,1.1
