product_SMILES,CatalogID,BB_SMILES,scaffold_SMILES
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cc(C(F)(F)F)nn2C)c1,EN300-212615,Cn1nc(C(F)(F)F)cc1B(O)O,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccc(-c2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)o1,EN300-122703,Cc1ccc(B(O)O)o1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(O)cc(Cl)c1,EN300-194952,O[B-](O)(O)c1cc(F)ccn1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CCCN=[N+]=[N-])c1,EN300-206659,CC1(C)OB(CCCN=[N+]=[N-])OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CCCI)c1,EN300-207813,CC1(C)OB(CCCI)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CCC(=O)O)c1,EN300-200134,O=C(O)CCB(O)O,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc3c(c2)CC(=O)N3)c1,EN300-138961,CC1(C)OB(c2ccc3c(c2)CC(=O)N3)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
C=C(c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1)C(F)(F)F,EN300-214510,C=C(B1OC(C)(C)C(C)(C)O1)C(F)(F)F,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cncc(C(F)F)c2)c1,EN300-217048,CC1(C)OB(c2cncc(C(F)F)c2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cncc(OC(F)F)c2)c1,EN300-218797,CC1(C)OB(c2cncc(OC(F)F)c2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cnn3cccnc23)c1,EN300-247430,CC1(C)OB(c2cnn3cccnc23)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cc(C(F)(F)F)n[nH]2)c1,EN300-261415,CC1(C)OB(c2cc(C(F)(F)F)n[nH]2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cnc(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)nc2)c1,EN300-246322,CC(C)(C)OC(=O)N(C(=O)OC(C)(C)C)c1ncc(B2OC(C)(C)C(C)(C)O2)cn1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Cc2ccc(F)cc2)c1,EN300-129603,CC1(C)OB(Cc2ccc(F)cc2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CN)c1,EN300-259919,CC1(C)OB(CN)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C#CC2CC2)c1,EN300-342292,CC1(C)OB(C#CC2CC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccsc2C(F)(F)F)c1,EN300-254398,CC1(C)OB(c2ccsc2C(F)(F)F)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C=C2CCS(=O)(=O)CC2)c1,EN300-703510,CC1(C)OB(C=C2CCS(=O)(=O)CC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
CCCCCc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,EN300-206193,CCCCCB(O)O,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(F)c(C(F)(F)F)c2)c1,EN300-250789,CC1(C)OB(c2ccc(F)c(C(F)(F)F)c2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CC2CCCC2)c1,EN300-258456,OB(O)CC1CCCC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc([C@@H]2C[C@H]2C(C)(C)C)c1,EN300-391783,CC(C)(C)[C@@H]1C[C@H]1B1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C=C2CN(C(=O)OC(C)(C)C)C2)c1,EN300-697298,CC(C)(C)OC(=O)N1CC(=CB2OC(C)(C)C(C)(C)O2)C1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(C)c(F)c2F)c1,EN300-106778,Cc1ccc(B(O)O)c(F)c1F,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
CC(C)=Cc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,EN300-260121,CC(C)=CB1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc([C@@H]2C[C@H]2c2cccc(Cl)c2)c1,EN300-3177553,CC1(C)OB([C@@H]2C[C@H]2c2cccc(Cl)c2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C=C2CCOCC2)c1,EN300-686967,CC1(C)OB(C=C2CCOCC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CN)c1,EN300-210674,CC1(C)OB(CN)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
CCc1cc(F)ccc1-c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,EN300-298506,OB1OCCc2cc(F)ccc21,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cnn(-c3ccccn3)c2)c1,EN300-313910,CC1(C)OB(c2cnn(-c3ccccn3)c2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(C3(C)CC3)cc2)c1,EN300-1073310,CC1(c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)CC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
CCOC(=O)c1cc(-c2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)[nH]n1,EN300-299518,CCOC(=O)c1cc(B2OC(C)(C)C(C)(C)O2)[nH]n1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CC2CCN(C(=O)OC(C)(C)C)CC2)c1,EN300-702584,CC(C)(C)OC(=O)N1CCC(CB2OC(C)(C)C(C)(C)O2)CC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CC2CN(C(=O)OC(C)(C)C)C2)c1,EN300-1620627,CC(C)(C)OC(=O)N1CC(CB2OC(C)(C)C(C)(C)O2)C1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
COC(=O)c1ccc(-c2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)c(OC)c1,EN300-316592,COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)c(OC)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc3c(c2)CCOC3)c1,EN300-303608,CC1(C)OB(c2ccc3c(c2)CCOC3)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cnc(F)c(C(F)(F)F)c2)c1,EN300-359542,OB(O)c1cnc(F)c(C(F)(F)F)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
COc1c(-c2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)ccnc1C,EN300-149982,COc1c(B(O)O)ccnc1C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1cc(-c2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)on1,EN300-171000,Cc1cc(B2OC(C)(C)C(C)(C)O2)on1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cnsc2)c1,EN300-372049,CC1(C)OB(c2cnsc2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CCN(C(=O)OC(C)(C)C)CC2)c1,EN300-181624,CC(C)(C)OC(=O)N1CCC(B2OC(C)(C)C(C)(C)O2)CC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cnn(-c3cccnc3)c2)c1,EN300-311774,CC1(C)OB(c2cnn(-c3cccnc3)c2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
COC(=O)c1ccc(F)cc1-c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,EN300-363385,COC(=O)c1ccc(F)cc1B1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2=CC(=O)N(C)CC2)c1,EN300-363832,CN1CCC(B2OC(C)(C)C(C)(C)O2)=CC1=O,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CCCCN2C(=O)OC(C)(C)C)c1,EN300-1652970,CC(C)(C)OC(=O)N1CCCCC1B1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C=C2CCN(C(=O)OC(C)(C)C)CC2)c1,EN300-258163,CC(C)(C)OC(=O)N1CCC(=CB2OC(C)(C)C(C)(C)O2)CC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(S(C)(=O)=O)cc2Cl)c1,EN300-365771,CC1(C)OB(c2ccc(S(C)(=O)=O)cc2Cl)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2c(F)cncc2Br)c1,EN300-363413,CC1(C)OB(c2c(F)cncc2Br)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
C=CCc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,EN300-105979,C=CCB1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cnc(Cl)n2C)c1,EN300-298557,Cn1c(B2OC(C)(C)C(C)(C)O2)cnc1Cl,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CN)c1,EN300-269572,NCB(O)O,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
CCc1cccc(-c2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)n1,EN300-301691,CCc1cccc([B-](OC(C)C)(OC(C)C)OC(C)C)n1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CCNCC2)c1,EN300-373944,CC1(C)OB(C2CCNCC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cc(C(F)(F)F)nn2C2CC2)c1,EN300-359282,OB(O)c1cc(C(F)(F)F)nn1C1CC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C23CCCCC2C3)c1,EN300-359811,OB(O)C12CCCCC1C2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc3cc(C(F)(F)F)[nH]c3c2)c1,EN300-360076,CC1(C)OB(c2ccc3cc(C(F)(F)F)[nH]c3c2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2nc(Br)sc2C)c1,EN300-360147,Cc1sc(Br)nc1B(O)O,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C(C)CCC(F)F)c1,EN300-360156,CC(CCC(F)F)B(O)O,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cc(-c3nccs3)nn2C)c1,EN300-361197,Cn1nc(-c2nccs2)cc1B1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(F)o2)c1,EN300-378670,CC1(C)OB(c2ccc(F)o2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
CCOCCc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,EN300-378243,CCOCCB1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2(N)CCC2)c1,EN300-398596,CC1(C)OB(C2(N)CCC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2(N)CC2)c1,EN300-399336,CC1(C)OB(C2(N)CC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(C3CC(F)(F)C3(F)F)cc2)c1,EN300-364488,CC1(C)OB(c2ccc(C3CC(F)(F)C3(F)F)cc2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C23CCN(C(=O)OC(C)(C)C)CC2C3)c1,EN300-746226,CC(C)(C)OC(=O)N1CCC2(B3OC(C)(C)C(C)(C)O3)CC2C1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C=C2CCN(C(=O)OC(C)(C)C)C2)c1,EN300-703512,CC(C)(C)OC(=O)N1CC/C(=C/B2OC(C)(C)C(C)(C)O2)C1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C=C2COC2)c1,EN300-703517,CC1(C)OB(C=C2COC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CC23CCOCC3)c1,EN300-832853,CC1(C)OB(C2CC23CCOCC3)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2(c3ccccc3)CC2(F)F)c1,EN300-705961,CC1(C)OB(C2(c3ccccc3)CC2(F)F)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc([C@@H]2[C@H]3CCCC[C@H]32)c1,EN300-1266304,CC1(C)OB([C@H]2[C@@H]3CCCC[C@@H]32)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CC23CCCCCC3)c1,EN300-1155544,CC1(C)OB(C2CC23CCCCCC3)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CC23CCCCC3)c1,EN300-1155546,CC1(C)OB(C2CC23CCCCC3)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CC23CCN(C(=O)OC(C)(C)C)CC3)c1,EN300-1155560,CC(C)(C)OC(=O)N1CCC2(CC1)CC2B1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CC23CCC2(CC2)CC3)c1,EN300-1155576,CC1(C)OB(C2CC23CCC2(CC2)CC3)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CC3CCC2N3C(=O)OC(C)(C)C)c1,EN300-1590013,CC(C)(C)OC(=O)N1C2CCC1C(B1OC(C)(C)C(C)(C)O1)C2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(C3(C)CCO3)cc2)c1,EN300-1086686,CC1(c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)CCO1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CC2CCC2)c1,EN300-1448493,CC1(C)OB(CC2CCC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CC(F)(F)F)c1,EN300-1655764,CC1(C)OB(CC(F)(F)F)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C23CCCC2C3)c1,EN300-817089,CC1(C)OB(C23CCCC2C3)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cnn(C)c2C(F)F)c1,EN300-1425849,Cn1ncc(B2OC(C)(C)C(C)(C)O2)c1C(F)F,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(C3OCC3(F)F)cc2)c1,EN300-1709240,CC1(C)OB(c2ccc(C3OCC3(F)F)cc2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CC(F)(F)C(F)(F)F)c1,EN300-1723454,CC1(C)OB(CC(F)(F)C(F)(F)F)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CC23CCC3)c1,EN300-1697422,CC1(C)OB(C2CC23CCC3)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CCCN)c1,EN300-1725148,NCCCB(O)O,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc([C@@H]2C[C@H]2NC(=O)OC(C)(C)C)c1,EN300-1722014,CC(C)(C)OC(=O)N[C@@H]1C[C@H]1B1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C=C(c2ccccc2)C(F)(F)F)c1,EN300-1704613,CC1(C)OB(C=C(c2ccccc2)C(F)(F)F)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
COC(=O)C1CC(=Cc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)C1,EN300-1704696,COC(=O)C1CC(=CB2OC(C)(C)C(C)(C)O2)C1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
COC(=O)C1CC(Cc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)C1,EN300-1732257,COC(=O)C1CC(CB2OC(C)(C)C(C)(C)O2)C1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CC2CCNCC2)c1,EN300-1722968,CC1(C)OB(CC2CCNCC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CC2CC3(CCOCC3)C2)c1,EN300-6474796,CC1(C)OB(CC2CC3(CCOCC3)C2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CNC2)c1,EN300-6758786,CC1(C)OB(C2CNC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CCCNC2)c1,EN300-6487473,CC1(C)OB(C2CCCNC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(CC2CC3(CC3)C2)c1,EN300-6489774,CC1(C)OB(CC2CC3(CC3)C2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CCCNCC2)c1,EN300-1722935,CC1(C)OB(C2CCCNCC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc([C@@H]2C[C@H]2N)c1,EN300-6491326,CC1(C)OB([C@@H]2C[C@H]2N)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C=C(F)F)c1,EN300-6492049,CC1(C)OB(C=C(F)F)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
CCOC(=O)C1CCC2(C1)CC2c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,EN300-6729805,CCOC(=O)C1CCC2(C1)CC2B1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cccc(C(F)F)c2)c1,EN300-1425728,CC1(C)OB(c2cccc(C(F)F)c2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cccc(C3(C)CC3)c2)c1,EN300-1425832,CC1(c2cccc(B3OC(C)(C)C(C)(C)O3)c2)CC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cccc(P(C)(C)=O)c2)c1,EN300-6495292,CC1(C)OB(c2cccc(P(C)(C)=O)c2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CC(N)C2)c1,EN300-6746831,CC1(C)OB(C2CC(N)C2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CNC2)c1,EN300-6758786,CC1(C)OB(C2CNC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cc(F)cs2)c1,EN300-384181,OB(O)c1cc(F)cs1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CC23CN(C)C3)c1,EN300-6759922,CN1CC2(CC2B2OC(C)(C)C(C)(C)O2)C1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
