SMILES,CID (canonical),Structure ID,CDD_name,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50
CCC(O)(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,BAR-COM-0f94fc3d-38,,CVD-0005517,,7.886458241531358,,11.574052,14.951379999999999,
O=C(Cc1cc(Cl)c2c(c1)OCCO2)Nc1cnccc1-c1ccccc1,BAR-COM-0f94fc3d-40,,CVD-0005520,,0.0,,-45.13978,-10.369000999999999,
COc1ccc2c(c1)C(C(=O)Nc1cnccc1-n1cccn1)CCC2,BAR-COM-0f94fc3d-43,,CVD-0005523,,0.0,,-15.205565,7.303486,
COc1ccncc1NC(=O)C(C)(C)c1cc(F)cc(C#N)c1,BAR-COM-0f94fc3d-45,,CVD-0005525,,40.62935628757832,,19.958665,30.776455,
Cc1ccnc(C)c1NC(=O)C(C)c1ccc(F)c(F)c1,BAR-COM-0f94fc3d-46,,CVD-0005526,,0.0,,-0.4111225000000001,-2.873356,
CSc1ccncc1NC(=O)Cc1ccc2c(c1)CCCC2,BAR-COM-0f94fc3d-49,,CVD-0005529,,0.0,,-1.1586189999999998,11.601515,
COc1ccc(Br)cc1C(N)C(=O)Nc1cnccc1C,BAR-COM-0f94fc3d-58,,CVD-0005539,,3.5384164669203533,,15.313070000000002,2.2922635,
CC(=O)Nc1ccncc1NC(=O)C1Cc2ccc(F)cc21,BAR-COM-0f94fc3d-59,,CVD-0005540,,0.0,,-2.4353420000000003,-1.0148320000000002,
Cc1ccncc1NC(=O)Cc1cccc(C(N)=O)c1,ANN-UNI-98d2bf15-2,,CVD-0005872,,0.535,,2.6551055000000003,-5.830779,
Cc1ccncc1NC(=O)Cc1cccc(OC(F)(F)F)c1,ANN-UNI-98d2bf15-5,,CVD-0005874,,12.575,,-3.1648979500000003,-22.530474,
Cc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)c1,JAN-GHE-83b26c96-14,x10247,CVD-0004565,,49.31505745158303,,23.988545,49.125045,
Cc1ccncc1NC(=O)Cc1ccc2[nH]ccc2c1,VLA-UCB-00f2c2b3-1,,CVD-0007572,,0.0,,2.8551305,-2.3296125,
Cc1ccncc1NC(=O)Cc1ccc2[nH]ncc2c1,VLA-UCB-00f2c2b3-2,,CVD-0007573,,,99.0,-1.1074453199999998,0.24765660000000003,
O=C(Cc1cccc(Cl)c1)Nc1cncc2ccccc12,ADA-UCB-6c2cb422-1,,CVD-0007756,,84.91021548594235,1.0567184857043144,93.50417,84.803335,0.7211970272821312
CN(C)c1ncccc1N(C)C(=O)C1CCOc2ccc(Cl)cc21,LON-WEI-0a73fcb8-1,,CVD-0007823,,0.0,,1.4194384999999998,-4.9626175,
COc1ncccc1N(C)C(=O)C1CCOc2ccc(Cl)cc21,LON-WEI-0a73fcb8-2,,CVD-0007824,,0.0,,-2.6059165,2.5409040000000003,
O=C(Nc1cnccc1CO)C1CCOc2ccc(Cl)cc21,LON-WEI-0a73fcb8-7,,CVD-0007829,,58.93035555395501,66.35080662836985,64.54653499999999,84.22906,13.671987134000284
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,TRY-UNI-2eddb1ff-7,,CVD-0004754,,87.191315835,0.9407487777541652,94.4703,97.00562,3.609856311923299
Cc1ccncc1NC(=O)Cc1cccc(OC2CC(=O)N2)c1,BRU-LEF-c49414a7-1,,CVD-0005077,,0.0,,5.501569999999999,16.656155,
