SMILES,TITLE,IC50 (uM),IC50 (uM) - std,Average Inhibition @ 20 uM,Average Inhibition @ 20 uM - std,Average Inhibition @ 50 uM,Average Inhibition @ 50 uM - std,Trypsin IC50 (uM),Relative Solubility @ 20 uM,Relative Solubility @ 100 uM,Hybrid2,docked_fragment,Mpro-_dock,site
c1ccc(cc1)NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,WAR-XCH-b6889685-29,,,,,,-2.59,3.83,,,-10.363422,x0072,2.334424,active-noncovalent
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],AAR-POS-fca48359-19,,,,-0.548,0.936,3.97,0.598,1.0,0.98,-10.343470,x0749,-0.456877,active-covalent
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],AAR-POS-fca48359-20,,,,-0.548,0.936,3.97,0.598,1.0,0.98,-10.343470,x0749,-0.456877,active-covalent
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],GER-UNI-ec786817-1,,,,-0.548,0.936,3.97,0.598,1.0,0.98,-10.343470,x0749,-0.456877,active-covalent
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],MAK-UNK-0d6072ac-4,,,,-0.548,0.936,3.97,0.598,1.0,0.98,-10.343470,x0749,-0.456877,active-covalent
c1ccc(c(c1)C(=O)NC[C@@H](Cn2ccnn2)O)OC3CCC3,BAR-COM-4e090d3a-34,,,,-1.11,0.298,2.04,0.416,1.0,1.0,-10.300408,x0678,0.74999,active-noncovalent
Cc1c(cncn1)NC(=O)Nc2ccccc2,HAN-NEW-5f56c3bc-1,,,,-2.06,0.489,-0.628,0.645,0.99,0.99,-10.278812,x0678,0.416726,active-noncovalent
c1cc(cc(c1)N2CCC2=O)NC(=O)NCc3cccnn3,BAR-COM-4e090d3a-60,,,,3.61,0.361,6.82,1.29,1.0,1.0,-10.245558,x0397,1.46643,active-noncovalent
Cn1cc(nn1)CNC(=O)N(CCc2ccccc2)Cc3cccnc3,BAR-COM-4e090d3a-47,,,,,,3.88,1.33,,,-10.219568,x0678,3.48158,active-noncovalent
c1ccc(cc1)C(c2ccccc2)[NH+]3CCN(CC3)C(=O)CCl,SIM-SYN-f15aaa3a-1,,,,,,102.0,0.34,,,-10.115160,x1392,0.387517,active-covalent
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cc3)Cl,TRY-UNI-1fd04853-7,,,,2.99,2.55,3.45,2.03,1.0,0.95,-10.089762,x0678,-0.169899,active-noncovalent
C=CC(=O)N1CCC[C@H](C1)c2nc3ccccc3s2,JOO-IND-b13e14cc-1,,,,,,2.57,2.14,,,-10.088066,x0749,0.473663,active-covalent
Cc1ccncc1NC(=O)CCNc2ccc(cc2)S(=O)(=O)N,GAB-REV-70cc3ca5-3,,,,,,6.53,1.08,,,-10.081774,x0107,2.506008,active-noncovalent
Cc1nnc(s1)NC(=O)Nc2cccnc2,ALE-HEI-f28a35b5-4,,,,1.19,0.867,7.32,0.613,1.0,0.99,-10.058550,x0678,0.117892,active-noncovalent
C=CC(=O)N1CC[NH+](CC1)Cc2cc(cc3c2cccc3)Cl,MAT-POS-4e253971-2,,,,,,27.0,1.8,,,-10.049481,x0830,-0.926787,active-covalent
Cc1ccc(s1)NC(=O)Nc2cccnc2,DAR-DIA-842b4336-3,,,,1.9,0.0997,11.3,0.612,1.0,0.96,-10.044557,x0678,0.931477,active-noncovalent
c1ccc(cc1)[C@H](C[NH+]2CCOCC2)NC(=O)CCn3ccnn3,BAR-COM-4e090d3a-45,,,,2.31,2.35,5.19,0.0531,1.0,1.0,-10.001107,x0678,2.025949,active-noncovalent
CS(=O)(=O)Nc1cccc(c1)C(=O)Oc2cccc(c2)N3CCCC3=O,MAK-UNK-9159f8ed-7,,,,,,32.0,1.8,,,-9.903871,x0161,2.378839,active-noncovalent
c1cc(ccc1NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N)F,WAR-XCH-b6889685-26,,,,,,2.89,0.411,,,-9.858924,x0072,3.298033,active-noncovalent
c1cc(cnc1)NC(=O)Nc2cc(cnc2)Cl,DAR-DIA-23aa0b97-15,,,,,,8.99,2.75,,,-9.845115,x0107,1.439826,active-noncovalent
CS(=O)(=O)Cc1ccc(o1)C(=O)Nc2cccnc2,ANT-DIA-3c79be55-4,,,,0.469,4.68,6.26,0.497,1.0,1.0,-9.845098,x0107,1.335997,active-noncovalent
c1cc(cc(c1)Cl)NC(=O)Cc2c[nH]c3c2cccn3,DAR-DIA-23aa0b97-12,,,,5.95,0.725,9.34,0.727,0.99,0.97,-9.791058,x0397,0.083451,active-noncovalent
c1ccc(cc1)CCCc2cccc(c2)NC(=O)Cc3cncnc3,BAR-COM-4e090d3a-11,,,,1.12,2.19,10.1,0.911,0.96,0.94,-9.786640,x0678,1.821448,active-noncovalent
Cc1coc(n1)NC(=O)Nc2cccnc2,DAR-DIA-842b4336-7,,,,2.91,1.58,8.86,1.0,1.0,1.0,-9.765095,x0678,-1.054899,active-noncovalent
Cc1ccncc1NC(=O)Nc2cccc(c2)Cl,TRY-UNI-714a760b-12,68.0,7.1,> 99.0,32.1,0.539,58.7,0.386,0.99,0.96,-9.759779,x0678,0.844232,active-noncovalent
Cc1ccncc1NC(=O)Nc2cccc(c2)Cl,JAG-UCB-cedd89ab-8,68.0,7.1,> 99.0,32.1,0.539,58.7,0.386,0.99,0.96,-9.759779,x0678,0.844232,active-noncovalent
CS(=O)(=O)NCC[C@H]1CCCC[N@@H+]1CC(=O)Nc2cccnc2,BEN-DND-362d364a-10,,,,,,-4.5,4.45,,,-9.718414,x0678,3.139141,active-noncovalent
CCC(C)(C)CCN(Cc1ccsc1)C(=O)Cn2c3ccccc3nn2,RUT-UNI-630c5802-20,,,,,,40.2,1.75,,,-9.695564,x0678,3.082506,active-noncovalent
c1ccc2c(c1)cccc2C[NH+]3CCN(CC3)C(=O)CCl,MED-COV-4280ac29-31,,,,,,105.0,1.63,,,-9.686901,x0830,-0.848441,active-covalent
c1ccc2c(c1)cccc2C[NH+]3CCN(CC3)C(=O)CCl,AAR-POS-d2a4d1df-40,,,,,,105.0,1.63,,,-9.686901,x0830,-0.848441,active-covalent
c1cc(cc(c1)Cl)NC(=O)Nc2cc(cnc2)N,DAR-DIA-23aa0b97-13,,,,,,38.7,0.694,,,-9.678142,x0678,1.872844,active-noncovalent
CC(C)[N@@H+](C)CC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b72a1bbc-48,,,,,,2.5,1.96,,,-9.625897,x0104,2.55227,active-noncovalent
c1cc(cc(c1)Cl)C(=O)Nc2cccnc2,CHR-SOS-7098f804-12,,,,5.47,4.83,6.67,1.98,1.0,0.92,-9.620449,x0678,-0.643055,active-noncovalent
Cc1ccc(cc1)NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,WAR-XCH-b6889685-25,,,,2.67,1.97,5.62,1.35,0.92,0.84,-9.584717,x0072,3.504407,active-noncovalent
c1cc(cnc1)NC(=O)c2cc(ccc2O)Cl,CHR-SOS-7098f804-11,,,,18.3,5.97,22.8,0.315,1.0,0.89,-9.563734,x0678,-1.265068,active-noncovalent
c1cc(cc(c1)N2CCOCC2)NC(=O)NCc3cncs3,BAR-COM-4e090d3a-58,,,,5.65,0.438,13.6,0.678,1.0,1.01,-9.563450,x0195,1.044545,active-noncovalent
Cc1ccnc(c1)NC(=O)Cc2ccc3ccccc3c2,ALV-UNI-7ff1a6f9-45,,,,3.57,2.7,8.23,1.36,0.98,0.94,-9.554324,x1093,-7.9e-05,active-noncovalent
c1cc2c(c[nH]c2nc1)CC(=O)NCc3cc(ccn3)Cl,TRY-UNI-1fd04853-9,,,,2.58,5.3,8.45,0.533,1.0,0.98,-9.539196,x0678,1.212471,active-noncovalent
c1cc(cnc1)NC(=O)Nc2ccc(s2)Cl,DAR-DIA-842b4336-4,,,,8.85,1.1,23.7,0.259,0.99,0.95,-9.498690,x0678,0.434402,active-noncovalent
c1cc(cc(c1)NC(=O)NCc2ccns2)CN3CCCC3=O,BAR-COM-4e090d3a-61,,,,-0.28,2.18,-2.05,4.67,1.0,0.97,-9.494002,x0195,1.589024,active-noncovalent
C[C@@H](c1cnccn1)C(=O)Nc2cccc(c2)NC3CCCC3,BAR-COM-4e090d3a-20,,,,-2.77,1.4,0.913,1.17,1.0,0.98,-9.470178,x0678,2.061615,active-noncovalent
Cc1ccncc1c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b72a1bbc-4,,,,,,3.16,1.64,,,-9.448851,x0678,1.01328,active-noncovalent
C[C@@H](c1cnccn1)NC(=O)c2ccccc2OC3CCCCC3,BAR-COM-4e090d3a-26,,,,,,-3.41,4.65,,,-9.447334,x0678,1.952261,active-noncovalent
Cc1cccc(c1)NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,WAR-XCH-b6889685-27,,,,-2.59,1.29,-0.838,0.583,0.96,0.87,-9.421846,x0072,3.046688,active-noncovalent
CC(=O)N1CC[NH+](CC1)Cc2cc(cc(c2)Cl)O,KIM-UNI-2ee5d8f9-1,,,,,,7.39,2.3,,,-9.378798,x0749,-0.828812,active-covalent
CNC(=O)OC1CCN(CC1)C(=O)c2ccncc2,GIA-UNK-595fac82-3,,,,,,5.88,1.84,,,-9.361073,x0104,-0.075203,active-noncovalent
CNC(=O)OC1CCN(CC1)C(=O)c2ccccc2,GIA-UNK-595fac82-2,,,,,,0.862,1.05,,,-9.340299,x0104,-0.294727,active-noncovalent
CCC(=O)NCC[C@@H]1CCc2c1c3c(cc2)OCC3,JOH-MSK-ec639444-2,,,,0.473,4.55,6.69,0.651,1.0,1.0,-9.332843,x0104,-0.012259,active-noncovalent
c1ccc(cc1)CCNS(=O)(=O)c2ccoc2,MIH-UNI-6b9ca91a-6,,,,,,-0.468,0.836,,,-9.325847,x0678,-0.676827,active-noncovalent
COC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b72a1bbc-9,,,,2.98,0.417,6.82,2.32,1.0,1.0,-9.316606,x0749,1.088976,active-covalent
c1ccc(cc1)C[C@@H](c2cccs2)NC(=O)NCc3cccnn3,BAR-COM-4e090d3a-29,,,,,,-3.45,2.61,,,-9.271416,x1077,1.003721,active-noncovalent
CC(=O)N1CCN(CC1)C(=O)Cc2ccccn2,JON-UIO-066ce08b-3,,,,-0.517,1.67,3.52,0.855,1.0,1.0,-9.234826,x0107,-0.430216,active-noncovalent
c1cc(ccc1N2CCC(CC2)C[NH+]3CCCCCC3)S(=O)(=O)N,WAR-XCH-b72a1bbc-20,,,,-5.53,5.18,-0.987,1.55,0.99,0.91,-9.220327,x0104,4.040286,active-noncovalent
C[C@@H]1CS[C@@H]([N@H+]1C)/N=N/C(=O)C(=O)[C@@H](C2CCOCC2)NC(=O)C3CCCCCC3,AAR-POS-dddeddbf-5,,,,,,16.8,3.67,,,-9.213070,x0749,2.918438,active-covalent
Cn1cncc1CNC(=O)Nc2cccc(n2)OCC(F)F,BAR-COM-4e090d3a-52,,,,,,27.6,5.57,,,-9.207413,x1093,1.514276,active-noncovalent
COc1cc(c2ccccc2n1)CNC(=O)Cc3[nH]ccn3,BAR-COM-4e090d3a-22,,,,,,-23.6,6.33,,,-9.205212,x0104,0.739302,active-noncovalent
CC(=O)NCCc1cn(c2c1cccc2)CC(=O)N3CCOCC3,DUN-NEW-f8ce3686-13,,,,,,3.44,2.95,,,-9.162056,x0104,0.718361,active-noncovalent
CC[C@H](c1ccccc1OCC(=O)N2CCCC2)NC(=O)NCc3cnccn3,BAR-COM-4e090d3a-27,,,,,,1.22,0.554,,,-9.135799,x0072,4.382787,active-noncovalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,AAR-POS-0daf6b7e-9,,,,18.5,3.55,31.4,0.724,1.0,1.0,-9.132237,x0749,-0.456349,active-covalent
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,VIR-GIT-7b3d3065-2,,,,18.5,3.55,31.4,0.724,1.0,1.0,-9.132237,x0749,-0.456349,active-covalent
c1cc(ccc1N2CCC(CC2)CO)S(=O)(=O)N,WAR-XCH-b72a1bbc-14,,,,3.95,0.594,7.03,0.975,1.0,1.0,-9.132140,x0749,0.321987,active-covalent
Cc1ccncc1NC(=O)c2cccc(c2)NC(=O)Nc3cccnc3,MAK-UNK-129dcd6f-9,,,,,,10.6,0.2,,,-9.129883,x0678,5.986294,active-noncovalent
Cc1ccncc1NC(=O)c2cccc(c2)NC(=O)Nc3cccnc3,MAK-UNK-129dcd6f-11,,,,,,10.6,0.2,,,-9.129883,x0678,5.986294,active-noncovalent
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cn3)Cl,TRY-UNI-1fd04853-11,,,,1.55,1.25,4.16,1.46,1.0,1.0,-9.105130,x0749,-0.033133,active-covalent
C[C@H]([C@@H](Cc1ccccc1)C(=O)OC)NC(=O)[C@H](C)n2ccnc2,BAR-COM-4e090d3a-36,,,,,,-2.6,2.81,,,-9.083750,x0678,0.680563,active-noncovalent
Cc1cccc(c1OCC(=O)NCCc2ccccc2)C,ALE-UNK-fca05062-3,,,,1.78,1.98,7.25,1.1,1.0,0.98,-9.082601,x0104,1.012458,active-noncovalent
CC(=O)N1CCN(CC1)S(=O)(=O)c2cccs2,MAK-UNK-6435e6c2-1,,,,2.33,3.2,4.21,4.43,1.0,1.0,-9.079074,x0072,-0.360562,active-noncovalent
CC(=O)Nc1cccc(c1)N2CCCC2=O,MAK-UNK-6435e6c2-4,,,,27.1,0.0478,51.4,0.201,,,-9.072135,x0749,-0.622703,active-covalent
CC(=O)N1CCN(CC1)S(=O)(=O)c2cccc(c2)F,MAK-UNK-6435e6c2-5,,,,6.2,7.06,1.43,0.641,1.0,1.0,-9.055698,x0072,-0.272488,active-noncovalent
c1ccc(cc1)CCOc2cccc(c2)NC(=O)Cc3cccnc3Cl,BAR-COM-4e090d3a-15,,,,1.54,1.06,6.9,0.335,0.81,0.27,-9.012136,x0195,4.464138,active-noncovalent
CC(=O)N1CCN(CC1)S(=O)(=O)c2c(cccc2F)F,MAK-UNK-6435e6c2-6,,,,-1.42,5.78,4.18,0.576,1.0,1.0,-9.008776,x0072,-0.472361,active-noncovalent
Cc1ccncc1NC(=O)[C@@H](C)c2cccc(c2)C#N,TRY-UNI-714a760b-22,55.2,3.65,> 99.0,35.4,1.38,61.4,0.439,1.0,1.0,-8.995143,x0831,-0.611714,active-covalent
c1ccc(cc1)CCNC(=O)COc2ccccc2,ALE-UNK-fca05062-4,,,,-0.178,1.95,-0.0738,2.77,1.0,1.0,-8.960869,x0678,1.511668,active-noncovalent
Cc1cc(cc(c1)Cl)NC(=O)Nc2cccnc2,WAR-XCH-eb7b662f-5,,,,,,18.0,0.287,,,-8.949402,x0678,1.038997,active-noncovalent
c1cc(oc1)C2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,WAR-XCH-b72a1bbc-7,,,,5.4,0.328,8.47,1.73,1.0,0.83,-8.915313,x0195,1.821337,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,JOH-MSK-35a8745a-1,,,,1.37,3.81,-0.962,1.03,1.0,0.99,-8.913157,x0104,-1.58685,active-noncovalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)OC,ALE-ACE-2610ee4d-1,,,,1.37,3.81,-0.962,1.03,1.0,0.99,-8.913157,x0104,-1.58685,active-noncovalent
c1ccc2c(c1)c(no2)CNC(=O)c3ccccc3OCC4CC4,BAR-COM-4e090d3a-43,,,,5.31,0.679,11.7,1.64,1.0,0.64,-8.908870,x0678,1.314141,active-noncovalent
C[C@H](c1cccc(c1)NC(=O)Cc2cnccc2Cl)[NH+]3CCOCC3,BAR-COM-4e090d3a-66,,,,2.12,1.78,3.92,0.0791,0.97,0.92,-8.907784,x0107,2.379714,active-noncovalent
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cc3)C#N,TRY-UNI-1fd04853-8,,,,2.44,4.57,1.71,1.04,1.0,0.99,-8.901452,x0749,-0.271994,active-covalent
C[C@H](C(=O)N(CCc1ccccc1)Cc2cccnc2)OC[C@@H]3CCCCO3,BAR-COM-4e090d3a-55,,,,,,14.1,0.189,,,-8.880486,x0678,3.497102,active-noncovalent
c1cc(cnc1)NC(=O)Nc2ccc(cc2)C#N,ANN-UNI-26382800-3,,,,5.82,0.482,11.6,0.824,1.0,1.0,-8.835213,x0749,0.975317,active-covalent
c1cc(cnc1)NC(=O)Nc2ccc(cc2)C#N,JOH-UNK-14e6adc5-2,,,,5.82,0.482,11.6,0.824,1.0,1.0,-8.835213,x0749,0.975317,active-covalent
CCOCC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b6889685-20,,,,,,0.838,0.312,,,-8.822823,x0161,1.813001,active-noncovalent
c1cc(ccc1N2CCC(CC2)c3ccsc3)S(=O)(=O)N,WAR-XCH-b72a1bbc-16,,,,7.4,0.16,17.1,0.0726,0.98,0.76,-8.814410,x0195,3.787546,active-noncovalent
c1cc(cc(c1)Cl)C[NH+]2CCN(CC2)C(=O)CCl,MED-COV-4280ac29-16,,,,,,100.0,0.0832,,,-8.791433,x0831,-0.522922,active-covalent
c1cc(cc(c1)Cl)C[NH+]2CCN(CC2)C(=O)CCl,MED-COV-4280ac29-15,,,,,,100.0,0.0832,,,-8.791433,x0831,-0.522922,active-covalent
c1cc(cc(c1)Cl)C[NH+]2CCN(CC2)C(=O)CCl,AAR-POS-d2a4d1df-35,,,,,,100.0,0.0832,,,-8.791433,x0831,-0.522922,active-covalent
c1cc(cc(c1)OCCn2cncn2)NC(=O)Cc3cccnc3Br,BAR-COM-4e090d3a-35,,,,,,13.6,1.91,,,-8.784991,x0195,5.101603,active-noncovalent
c1cc(ccc1N2CCSCC2)S(=O)(=O)N,WAR-XCH-b72a1bbc-1,,,,,,12.8,0.959,,,-8.766706,x0749,0.927176,active-covalent
CC(=O)N1CC[NH+](CC1)Cc2cccc(c2)C#N,PAT-UNK-b2d83456-1,,,,-0.339,7.61,6.59,0.42,1.0,0.99,-8.765173,x0749,-1.116944,active-covalent
Cc1cc(ccc1NC(=O)[C@@H](c2cccnc2)N(c3ccc4c(c3)scn4)C(=O)C=C)OC,LON-WEI-b8d98729-1,,,,3.21,1.6,11.3,0.114,0.94,0.92,-8.756179,x0831,4.602241,active-covalent
c1ccc(cc1)C(=O)N2CCN(CC2)C(=O)C3CCOCC3,GIA-UNK-eaadd1d4-1,,,,2.9,1.43,6.27,1.02,1.0,1.0,-8.754841,x0946,2.595766,active-noncovalent
CCSCC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b72a1bbc-39,,,,,,6.96,1.63,,,-8.731390,x0161,1.043037,active-noncovalent
c1cc(cc(c1)O[C@H]2CC(=O)N2)NC(=O)Cc3cncnc3,BAR-COM-4e090d3a-39,,,,7.86,1.84,22.8,6.11,1.0,1.0,-8.729742,x0678,1.320221,active-noncovalent
c1ccc(c(c1)NC(=O)c2cc(ccc2O)Cl)Cl,CHR-SOS-7098f804-4,,,,5.47,3.87,5.58,1.3,0.91,0.7,-8.723997,x0195,-0.480806,active-noncovalent
CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CC[NH+](C)C,LON-WEI-b8d98729-34,,,,4.66,5.34,2.38,1.67,1.0,1.0,-8.722964,x0072,-0.018803,active-noncovalent
CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CC[NH+](C)C,TOM-OIS-cbf37265-2,,,,4.66,5.34,2.38,1.67,1.0,1.0,-8.722964,x0072,-0.018803,active-noncovalent
CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CC[NH+](C)C,ANT-OPE-47f3bb65-1,,,,4.66,5.34,2.38,1.67,1.0,1.0,-8.722964,x0072,-0.018803,active-noncovalent
Cc1ccc2c(c1S(=O)(=O)[O-])sc(n2)c3ccc(cc3)N,AAR-POS-dddeddbf-1,,,,,,18.7,3.38,,,-8.717568,x0749,1.554171,active-covalent
c1ccc(cc1)NC(=O)CC(=O)N2CCOCC2,GIA-UNK-3f36037a-2,,,,,,6.66,1.94,,,-8.713440,x1093,-0.133909,active-noncovalent
c1cc(ccc1N2CCC(CC2)[C@@H]3CCCO3)S(=O)(=O)N,WAR-XCH-b72a1bbc-18,,,,,,4.23,0.489,,,-8.696627,x0161,1.222047,active-noncovalent
c1ccc2c(c1)cncc2CC(=O)Nc3cccc(c3)C#N,DAR-DIA-23aa0b97-19,28.2,2.7,> 99.0,48.7,0.877,73.0,0.425,0.99,0.98,-8.666809,x0831,-1.347108,active-covalent
c1ccc(cc1)NC(=O)c2cc(ccc2O)Cl,CHR-SOS-7098f804-7,,,,3.75,1.9,8.41,0.723,1.0,0.89,-8.661772,x0749,-1.143114,active-covalent
c1ccc(cc1)[C@@H](Cn2cccn2)NC(=O)CCc3cn[nH]n3,BAR-COM-4e090d3a-30,,,,-1.52,2.71,-1.11,1.55,,,-8.655871,x0678,0.961316,active-noncovalent
Cc1ccccc1NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,WAR-XCH-b6889685-30,,,,4.98,0.13,7.22,2.41,0.91,0.91,-8.649417,x0072,1.965924,active-noncovalent
c1ccc(cc1)C(=O)N2CCC[C@@H]2C(=O)N3CCOCC3,GIA-UNK-d2defdc3-6,,,,,,-1.33,0.0464,,,-8.646894,x1093,0.014361,active-noncovalent
CNC(=O)OC1CC[NH+](CC1)Cc2ccccc2,GIA-UNK-595fac82-5,,,,,,22.1,0.43,,,-8.642924,x0678,0.322854,active-noncovalent
c1cc(cc(c1)NC(=O)Nc2cc(cnc2)N)C#N,DAR-DIA-23aa0b97-8,,,,,,59.9,6.01,,,-8.612061,x0749,2.455765,active-covalent
C[C@@H](c1ccc(cc1)S(=O)(=O)NC)NC(=O)[C@@H]2CC2=C,VIJ-CYC-1a381570-5,,,,-2.67,0.373,-0.972,0.0824,1.0,1.0,-8.562788,x0195,0.366719,active-noncovalent
COc1ccccc1OCCNC(=O)c2cc(=O)[nH]c3c2cccc3,MAT-POS-916a2c5a-2,7.02,0.47,> 99.0,83.7,0.902,92.7,0.173,0.99,0.96,-8.549057,x1093,1.915458,active-noncovalent
c1cc(sc1)C[NH+]2CCN(CC2)C(=O)CCl,AAR-POS-0daf6b7e-17,5.66,0.395,> 99.0,,,,,1.0,1.0,-8.544258,x0831,-1.384621,active-covalent
c1cc(sc1)C[NH+]2CCN(CC2)C(=O)CCl,LON-WEI-8f408cad-5,5.66,0.395,> 99.0,,,,,1.0,1.0,-8.544258,x0831,-1.384621,active-covalent
c1cscc1C[NH+]2CCN(CC2)C(=O)CCl,AAR-POS-0daf6b7e-13,3.27,0.19,> 99.0,,,,,1.0,0.99,-8.542832,x0831,-1.102679,active-covalent
c1cscc1C[NH+]2CCN(CC2)C(=O)CCl,LON-WEI-8f408cad-7,3.27,0.19,> 99.0,,,,,1.0,0.99,-8.542832,x0831,-1.102679,active-covalent
c1cscc1C[NH+]2CCN(CC2)C(=O)CCl,MAK-UNK-212f693e-8,3.27,0.19,> 99.0,,,,,1.0,0.99,-8.542832,x0831,-1.102679,active-covalent
COc1ccnc(c1)NC(=O)Cc2ccc3ccccc3c2,ALV-UNI-7ff1a6f9-47,,,,3.47,0.377,6.09,0.746,0.95,0.91,-8.538442,x0104,0.73586,active-noncovalent
